RptDt;TckrSymb;ISIN;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-17;13G0249947;BRRBRACRI200;776,927018;804,307505;795,180676;804,307505;;;3;53
2020-08-17;1550812P35;;0,31487;0,31487;0,31487;0,31487;;;4;21224624,7984
2020-08-17;15I0011480;BRRBRACRI366;903,713839;903,713839;903,713839;903,713839;;;1;1
2020-08-17;16F0071780;BRAPCSCRI218;495,852282;495,852282;495,852282;495,852282;;;2;100
2020-08-17;16G0000001;BRRBRACRI3O8;951,211775;951,211775;951,211775;951,211775;;;2;20
2020-08-17;16I0965158;BRRBRACRI3Q3;982,482846;990,013425;988,377616;990,013425;;;18;1178
2020-08-17;16I0965520;BRRBRACRI3R1;724,439281;724,439281;724,439281;724,439281;;;2;4
2020-08-17;16L0074884;BRCBSCCRI3T1;968,498818;977,818723;973,861792;968,498818;;;3;1520
2020-08-17;17C0000201;BRRBRACRI465;978,223576;982,896434;981,631989;982,896434;;;11;648
2020-08-17;17C0868823;BRRBRACRI424;1031,138021;1031,288021;1031,213021;1031,288021;;;2;80
2020-08-17;17G1674856;BRIMWLCRI146;40847,364821;40897,364821;40872,364821;40897,364821;;;4;4
2020-08-17;17I0181214;BRHBSCCRI254;367,521857;367,521857;367,521857;367,521857;;;1;290
2020-08-17;17I0181659;BRAPCECRI028;1035,147821;1086,611829;1076,187548;1086,611829;;;25;1920
2020-08-17;17I0904388;BRAPCSCRI2U7;975,585404;975,585404;975,585404;975,585404;;;3;900
2020-08-17;17I0905011;BRAPCSCRI2R3;1192,584002;1195,530843;1194,928178;1195,530843;;;38;3544
2020-08-17;17J0000001;BRRBRACRI4F4;971,825873;972,0283;971,866358;971,825873;;;5;376
2020-08-17;17J0040025;BRAPCSCRI2Z6;523,23;674,16;667,637136;673,823832;;;48;1033
2020-08-17;17K0231156;BRRBRACRI4L2;828,917094;865,929547;847,42332;828,917094;;;2;800
2020-08-17;18C0682649;BRRBRACRI4T5;971,921053;971,921053;971,921053;971,921053;;;2;200
2020-08-17;18D0788427;BRIMWLCRI0V7;9362,957357;9363,893653;9363,425505;9362,957357;;;2;2916
2020-08-17;18E0907339;BRBZRSCRI098;658,06055;662,268936;661,500354;658,06055;;;25;1106
2020-08-17;18E0915989;BRIMWLCRI0U9;1003,03;1003,11;1003,101578;1003,11;;;19;55
2020-08-17;18F0744615;BRAPCSCRI3B5;956,082622;956,082622;956,082622;956,082622;;;2;100
2020-08-17;18G0687521;BRRBRACRI4Y5;1160,320626;1160,320626;1160,320626;1160,320626;;;1;251
2020-08-17;18G0728587;BRVERTCRI040;553,57418;556,57418;555,07418;556,57418;;;2;216
2020-08-17;18H0014828;BRAPCSCRI3D1;938,441728;968,35;946,724166;938,441728;;;4;349
2020-08-17;18J0673053;BROSECCRI072;349,625526;349,865526;349,777224;349,865526;;;4;156
2020-08-17;18K0000201;BRAPCSCRI4C1;953,720017;970,081188;967,06038;953,720017;;;36;993
2020-08-17;18L0541633;BRAPCSCRI4N8;1057,657485;1080,549241;1070,207657;1075,91;;;31;785
2020-08-17;18L1085825;BRRBRACRI523;939,30228;960,08;954,63557;959,58;;;4;253
2020-08-17;18L1085826;BRRBRACRI549;1108,422378;1143,18;1120,008252;1143,18;;;3;189
2020-08-17;18L1299235;BRGAIACRI3U0;881,101531;881,101531;881,101531;881,101531;;;1;226
2020-08-17;18L1301404;BRIMWLCRI138;341,47185;344,47185;342,97185;344,47185;;;2;212
2020-08-17;19D1329253;BROSECCRI0E2;959,723514;960,009229;959,9078;960,009229;;;4;142
2020-08-17;19F0260732;BROSECCRI0F9;874,828168;874,888168;874,858168;874,888168;;;2;200
2020-08-17;19G0000001;BRRBRACRI5Q8;923,04012;964,4;941,433462;964,4;;;8;641
2020-08-17;19G0269138;BRAPCSCRI523;914,585246;914,585246;914,585246;914,585246;;;1;247
2020-08-17;19G0311435;BRAPCSCRI5M7;864,32437;864,370436;864,347403;864,370436;;;2;7236
2020-08-17;19G0311514;BRAPCSCRI5N5;864,32437;864,370436;864,347403;864,370436;;;2;7236
2020-08-17;19G0311543;BRAPCSCRI5O3;864,328979;864,365828;864,347403;864,365828;;;2;9046
2020-08-17;19H0000001;;936,256966;936,256966;936,256966;936,256966;;;1;5
2020-08-17;19H0135701;BRRBRACRI5U0;955,763785;969,166995;962,46539;955,763785;;;2;242
2020-08-17;19H0262186;BRRBRACRI5T2;968,955445;1011,734238;1002,046377;1011,734238;;;12;1562
2020-08-17;19I0739707;BRIMWLCRI1M4;950,994184;950,994184;950,994184;950,994184;;;1;30
2020-08-17;19I0744943;BRAPCSCRI622;100359,8385;100369,874484;100364,856492;100359,8385;;;2;60
2020-08-17;19I0755306;;668,39113;668,63113;668,51113;668,63113;;;2;50
2020-08-17;19K1124486;BROSECCRI0K9;1000,246474;1000,46076;1000,389331;1000,46076;;;3;56
2020-08-17;19K1145372;BRRBRACRI630;1081,78;1081,78;1081,78;1081,78;;;1;185
2020-08-17;19L0840477;;1042,28708;1056,884407;1047,261503;1042,527978;;;6;776
2020-08-17;19L0906036;;766,830608;767,022363;766,926485;766,830608;;;2;460
2020-08-17;19L0906443;;1009,210848;1009,210848;1009,210848;1009,210848;;;1;5
2020-08-17;20B0980166;BRAPCSCRI770;985,191891;985,191891;985,191891;985,191891;;;3;6
2020-08-17;20C0818565;BRIMWLCRI2B5;1000,259769;1000,805224;1000,532496;1000,805224;;;2;22
2020-08-17;20E0031084;;1024,355042;1057,032901;1041,606868;1057,032901;;;3;615
2020-08-17;20E0031112;;961,086587;961,086587;961,086587;961,086587;;;1;1325
2020-08-17;20E0979858;BRGAIACRI4K9;997,14257;1023,385248;1005,89013;1023,385248;;;3;4326
2020-08-17;20F0689770;BRASTECRI0J8;1049,161939;1063,192179;1056,169606;1063,192179;;;7;296
2020-08-17;20F0704753;BRTSSACRI0T1;958,681165;976,97;972,974022;965,72939;;;11;500
2020-08-17;20F0849801;BRIMWLCRI2O8;989,81977;1007,677911;1001,247031;1002,488879;;;6;2146
2020-08-17;20G0703083;BRASTECRI0K6;1016,672254;1021,529656;1019,100955;1016,672254;;;4;3220
2020-08-17;2308316ANG;BRANSBCTF001;159,992867;159,992867;159,992867;159,992867;;;1;26
2020-08-17;2567420SN2;BRFCLOCTF019;1,002073;1,002073;1,002073;1,002073;;;3;224534445
2020-08-17;2654217SEN;BRFIAMCTF005;1239,925248;1242,925248;1242,410962;1242,925248;;;11;41
2020-08-17;2703318SEN;BRNTLSCTF000;318,500173;318,579818;318,539995;318,579818;;;2;724
2020-08-17;2747819SBM;;1002,989834;1003,189834;1003,089834;1003,189834;;;2;2000
2020-08-17;2778218SR1;;1008,419713;1008,671881;1008,545797;1008,419713;;;2;582
2020-08-17;2778218SR2;;1010,313747;1010,66748;1010,490613;1010,313747;;;2;388
2020-08-17;3541720BRE;BR0402CTF000;909,007227;909,395278;909,201252;909,007227;;;2;16500
2020-08-17;3635216IPE;;0,499944;0,499944;0,499944;0,499944;;;7;67255046
2020-08-17;AALR22;BRAALRDBS032;9184,572671;9185,481761;9185,027216;9184,572671;;;2;110
2020-08-17;AEGP13;BRAEGPDBS020;10041,884427;10041,884427;10041,884427;10041,884427;;;1;1
2020-08-17;AGRU11;BRAGRUDBS006;926,010164;1092,789179;987,311151;1092,789179;;;4;100
2020-08-17;AGRU21;BRAGRUDBS014;897,604867;1074,461069;962,550686;1074,461069;;;4;100
2020-08-17;AGRU31;BRAGRUDBS022;1072,772065;1260,29981;1142,15608;1129,019966;;;6;120
2020-08-17;AGRU41;BRAGRUDBS030;1038,656251;1238,08555;1111,769796;1238,08555;;;4;100
2020-08-17;ALGA26;BRALGTDBS050;1267,349352;1290,116764;1284,424911;1290,116764;;;4;63
2020-08-17;ALGA28;BRALGTDBS0A7;9505,879416;9505,879416;9505,879416;9505,879416;;;2;184
2020-08-17;ALUP17;BRALUPDBS034;993,431634;993,431634;993,431634;993,431634;;;2;6000
2020-08-17;ANHB18;BRANHBDBS0D8;1161,312387;1190,507379;1176,566574;1176,290615;;;11;1943
2020-08-17;ARTR35;BRARTRDBS054;1216,77;1217,11;1217,025;1217,11;;;4;17
2020-08-17;B80118F2NLM;;830,13;830,13;830,13;830,13;;;3;108
2020-08-17;B80118I2R64;;1130,17;1131,41;1130,996666;1131,41;;;3;15
2020-08-17;B80118J2SB1;;1085,37;1085,37;1085,37;1085,37;;;3;600
2020-08-17;B80119I2ZXU;;716,63;716,63;716,63;716,63;;;3;30
2020-08-17;B80120H35HX;;1000;1000;1000;1000;;;872;16700
2020-08-17;B80120H35HY;;1000;1000;1000;1000;;;1034;19786
2020-08-17;BCPS15;BRBCPSDBS043;1001,03465;1001,052675;1001,043662;1001,03465;;;2;37334
2020-08-17;BKBR18;BRBKBRDBS048;971,430436;972,133691;971,782063;971,430436;;;2;824
2020-08-17;BLMN12;BRBLMNDBS026;1309,099687;1370,696449;1339,898068;1370,696449;;;2;48
2020-08-17;BRFS31;BRBRFSDBS026;1096,849364;1096,849364;1096,849364;1096,849364;;;1;6
2020-08-17;BRFS41;BRBRFSDBS034;985,907282;986,76691;986,15289;986,76691;;;7;3045
2020-08-17;BRML17;BRBRMLDBS076;9364,187657;9368,443097;9366,315377;9368,443097;;;8;428
2020-08-17;CART12;BRRPTADBS017;1376,568943;1476,92979;1401,659154;1476,92979;;;4;9
2020-08-17;CART22;BRRPTADBS025;1396,391102;1508,171677;1433,651293;1508,171677;;;3;11
2020-08-17;CASN12;BRCASNDBS040;10331,054026;10331,054026;10331,054026;10331,054026;;;1;194
2020-08-17;CBAN12;BRCRBDDBS025;1037,256429;1135,671966;1091,505183;1099,361642;;;42;1391
2020-08-17;CBAN72;BRCRBDDBS082;1099,171258;1099,171258;1099,171258;1099,171258;;;1;15000
2020-08-17;CBRDB6;BRPCARDBS0C5;973,189323;973,189323;973,189323;973,189323;;;2;1400
2020-08-17;CEAR26;BRCOCEDBS0B1;1209,996549;1219,062395;1214,529472;1219,062395;;;2;1640
2020-08-17;CELU13;BRRANIDBS023;1030,125291;1030,795015;1030,460153;1030,795015;;;2;178
2020-08-17;CEMA17;BREQMADBS018;1229,587377;1239,071929;1236,850302;1239,071929;;;10;1094
2020-08-17;CEMA27;BREQMADBS026;1275,62;1293,049914;1281,205821;1275,95;;;8;2213
2020-08-17;CEPE19;BRCEPEDBS0B8;1156,404646;1164,331491;1160,368068;1164,331491;;;2;172
2020-08-17;CEPE27;BRCEPEDBS096;1,214548;1,225289;1,220978;1,223982;;;17;13094459
2020-08-17;CERN21;BRCERNDBS010;970,852217;970,869698;970,860957;970,852217;;;2;38496
2020-08-17;CLMO24;BRCLMODBS055;1014643,261155;1014661,568121;1014652,414638;1014643,261155;;;2;36
2020-08-17;CLPP13;BREQPADBS011;1246,883465;1257,670036;1250,519485;1257,670036;;;8;3953
2020-08-17;CMDT23;BRCMGDDBS033;508,434591;519,519036;512,307403;508,434591;;;8;304
2020-08-17;CMDT33;BRCMGDDBS041;1551,913625;1554,317107;1553,12889;1551,913625;;;3;1251
2020-08-17;CMGD17;BRCMGDDBS082;927,709812;927,709812;927,709812;927,709812;;;4;32000
2020-08-17;CMGD27;BRCMGDDBS090;1022,830535;1058,801798;1044,061265;1041,816283;;;19;7252
2020-08-17;CMTR33;BRCMGTDBS062;1074,666803;1121,164885;1108,356954;1111,502731;;;6;7706
2020-08-17;CPGT13;BRCPGTDBS024;998,102593;1005,389796;1001,471075;999,95;;;24;291
2020-08-17;CPGT16;BRCPGTDBS057;965,259998;965,259998;965,259998;965,259998;;;1;1
2020-08-17;CPGT26;BRCPGTDBS065;1027,360977;1081,956604;1057,648968;1061,765201;;;10;913
2020-08-17;CPLD14;BRCPLDDBS036;1,028753;1,038681;1,034709;1,028753;;;5;1463000
2020-08-17;CPLE17;BRCPLEDBS0C7;500,124481;500,506699;500,25454;500,506699;;;3;2985
2020-08-17;CRA0150000D;BRGAFLCRA0E8;984,985939;998,33;995,730305;996,010179;;;17;4347
2020-08-17;CRA0150000O;BRBSCSCRA019;146551,938641;147547,612;147279,56234;147471,09622;;;4;6
2020-08-17;CRA0160000I;BRECOACRA135;504,201672;506,023988;505,810844;506,023988;;;19;1030
2020-08-17;CRA0160000P;BRRBRACRA025;982,89;993,042353;989,204713;991,97;;;5;263
2020-08-17;CRA0160000V;BRRBRACRA033;1299,02;1299,02;1299,02;1299,02;;;1;100
2020-08-17;CRA0160000X;BRECOACRA150;1195,470712;1233,222682;1224,41801;1230,955944;;;7;354
2020-08-17;CRA01600010;BRAPCSCRA009;1047,223913;1047,223913;1047,223913;1047,223913;;;2;40
2020-08-17;CRA0160001X;BRECOACRA1I9;1002,972599;1003,139647;1003,044665;1002,972599;;;5;516
2020-08-17;CRA0160001Y;BRAPCSCRA033;1006,156833;1014,31;1010,035715;1014,31;;;6;68
2020-08-17;CRA01600020;BRVERTCRA005;857,34;1007,56;1005,852322;1007,04766;;;120;1718
2020-08-17;CRA01600021;BRVERTCRA013;1123,06;1317,970649;1293,460449;1295,928189;;;21;2428
2020-08-17;CRA01600028;BRECOACRA1G3;984,14;997,641357;991,447662;994,35;;;16;5522
2020-08-17;CRA01600029;BRECOACRA1H1;1271,727026;1279,172885;1275,449955;1271,727026;;;2;600
2020-08-17;CRA0160002L;BROSECCRA046;976,15;978,3;977,225;978,3;;;2;264
2020-08-17;CRA017000B5;BRECOACRA1R0;999,338056;1001,26;1000,875611;1001,26;;;5;505
2020-08-17;CRA017000RT;BRECOACRA1S8;989,060443;998,710734;993,457771;992,50833;;;11;2073
2020-08-17;CRA017001JL;BRVERTCRA054;1003,42663;1005,32;1005,118784;1003,42663;;;11;704
2020-08-17;CRA017001JM;BRVERTCRA062;1195,233252;1204,099135;1199,663852;1195,233252;;;5;124
2020-08-17;CRA017001P5;BRRBRACRA058;824,35;976,97;957,911136;968,375443;;;10;1700
2020-08-17;CRA017002BD;BRECOACRA1Y6;984,754385;1004,866547;990,884243;1004,866547;;;12;3093
2020-08-17;CRA017002BE;BRECOACRA1Z3;1181,141644;1188,675458;1186,03371;1188,675458;;;6;600
2020-08-17;CRA0170040K;BRECOACRA242;993,532222;996,67794;995,708334;993,532222;;;6;1040
2020-08-17;CRA0170066B;BROCTSCRA259;1013,7434;1013,7434;1013,7434;1013,7434;;;1;30
2020-08-17;CRA017006HF;BRRBRACRA074;980,318488;986,55;983,709877;984,317779;;;4;466
2020-08-17;CRA017006HH;BRRBRACRA082;980,709434;990,52;986,316972;990,52;;;5;458
2020-08-17;CRA017006Y3;BRIMWLCRA010;1014,190384;1015,699388;1014,793985;1014,190384;;;5;91
2020-08-17;CRA0170073N;BRCBSCCRA013;1010,245374;1010,245374;1010,245374;1010,245374;;;2;166
2020-08-17;CRA017007ER;BRVERTCRA0K0;975,762174;975,762174;975,762174;975,762174;;;1;250
2020-08-17;CRA017007KB;BRFSECCRA002;489,594615;502,728263;498,981624;502,728263;;;4;420
2020-08-17;CRA017007VF;BRAPCSCRA074;990,97584;990,97584;990,97584;990,97584;;;2;198
2020-08-17;CRA017008SR;BRRBRACRA0A1;940,132302;946,256666;943,155549;946,256666;;;4;1148
2020-08-17;CRA017008SS;BRRBRACRA0B9;1149,625593;1149,625593;1149,625593;1149,625593;;;1;220
2020-08-17;CRA017009KJ;BRECOACRA2B2;938,825096;964,86527;950,836997;953,273079;;;6;1419
2020-08-17;CRA018000MA;BRVERTCRA0Q7;1129,948077;1185,713631;1157,830854;1185,713631;;;2;185
2020-08-17;CRA0180025T;BRVERTCRA0M6;1010,403508;1010,403508;1010,403508;1010,403508;;;1;1
2020-08-17;CRA018002MH;BRECOACRA2S6;990,146154;996,18889;994,846059;996,18889;;;18;626
2020-08-17;CRA018002XL;BRCBSCCRA047;975,31103;987,8;980,453605;978,249787;;;3;901
2020-08-17;CRA018002XM;BRCBSCCRA054;942,681334;944,473832;943,577583;942,681334;;;2;198
2020-08-17;CRA0180040H;BRAPCSCRA0E3;953,396797;961,966378;957,681587;961,966378;;;2;64
2020-08-17;CRA018004MT;BRVERTCRA0W5;980,41;1001,071193;990,740596;980,41;;;2;282
2020-08-17;CRA018004SC;;982,144646;982,144646;982,144646;982,144646;;;1;40
2020-08-17;CRA018004SD;BRVERTCRA0X3;1112,096961;1138,06;1125,07848;1138,06;;;2;51
2020-08-17;CRA01800591;BRVERTCRA112;1162,927171;1162,927171;1162,927171;1162,927171;;;1;151
2020-08-17;CRA018005PO;BRVERTCRA146;878,147943;899,44267;883,471624;878,147943;;;4;365
2020-08-17;CRA0190005L;BRECOACRA3Q8;983,154947;983,154947;983,154947;983,154947;;;1;84
2020-08-17;CRA019000GP;BRVERTCRA138;743,503474;747,4399;744,290759;743,503474;;;5;1012
2020-08-17;CRA019000GS;BRRBRACRA0E3;909,183597;922,344338;916,696979;913,128363;;;4;206
2020-08-17;CRA019000GT;BRRBRACRA0F0;1066,857301;1089,31;1078,08365;1089,31;;;2;33
2020-08-17;CRA019000RT;;876,713976;914,969124;896,439751;876,713976;;;7;208
2020-08-17;CRA019000XD;BRIMWLCRA093;976,900557;982,642928;979,771742;976,900557;;;2;91
2020-08-17;CRA01900132;BRECOACRA3T2;980,803404;983,990989;982,397196;980,803404;;;2;46
2020-08-17;CRA019001E6;BRVERTCRA179;893,795772;893,795772;893,795772;893,795772;;;2;74
2020-08-17;CRA019001E7;BRVERTCRA187;1070,04354;1124,28;1109,019842;1079,608094;;;18;1383
2020-08-17;CRA019002MM;BRVERTCRA161;906,39571;913,018964;909,707337;906,39571;;;2;506
2020-08-17;CRA0190038U;BRGAIACRA052;986,607436;986,804797;986,706116;986,607436;;;2;170
2020-08-17;CRA019003JY;BRVERTCRA1H4;1001,810555;1011,838544;1009,832946;1001,810555;;;10;3050
2020-08-17;CRA019003V3;BRAPCSCRA0N4;974,22705;1000,559836;986,75548;994,113153;;;4;143
2020-08-17;CRA0190040M;BRVERTCRA0V7;935,266054;935,266054;935,266054;935,266054;;;1;46
2020-08-17;CRA01900466;BRECOACRA499;924,593939;924,593939;924,593939;924,593939;;;1;4
2020-08-17;CRA01900467;BRECOACRA4A0;985,313443;1014,627919;995,084935;985,313443;;;3;311
2020-08-17;CRA019004BU;BRAPCSCRA0Q7;1015,588875;1015,588875;1015,588875;1015,588875;;;1;1
2020-08-17;CRA0190053L;BRECOACRA4H5;698,180536;698,180536;698,180536;698,180536;;;2;5403
2020-08-17;CRA019005KC;BRRBRACRA0M6;1056,305615;1089,661123;1063,076034;1062,315348;;;11;2044
