RptDt;TckrSymb;ISIN;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-11;2654217SEN;BRFIAMCTF005;1239,780657;1241,786557;1241,514057;1241,780657;;;14;354
2020-08-11;2713218SR2;BRVDCRCTF016;870,831971;870,831971;870,831971;870,831971;;;2;5000
2020-08-11;2781418SMI;BR002HCTF016;1262,944186;1265,968729;1264,478911;1263,544186;;;5;26
2020-08-11;2781418SN2;BR002HCTF008;1110,228214;1113,228214;1112,228214;1113,228214;;;3;4
2020-08-11;2781419MZ3;;1265,302062;1265,968729;1265,746506;1265,968729;;;3;18
2020-08-11;2781419SN3;;1095,427954;1095,827954;1095,627954;1095,827954;;;2;30
2020-08-11;2781420SM4;;1040,835659;1041,235659;1041,035659;1041,235659;;;2;30
2020-08-11;2894918SEN;BR00JBCTF009;935,647387;935,647387;935,647387;935,647387;;;2;2200
2020-08-11;2986419SEN;BR00SXCTF004;1101,922433;1101,95913;1101,940782;1101,95913;;;2;5450
2020-08-11;3247819SEN;BR032XCTF002;0,964559;1101,959131;40,290494;1,003003;;;56;12403740
2020-08-11;3422019SUB;;1032,692197;1032,792197;1032,758863;1032,792197;;;3;120
2020-08-11;3489720SN1;;1042,483045;1043,983045;1043,76236;1043,983045;;;13;750
2020-08-11;3652820GLP;;1007,755578;1007,875578;1007,845578;1007,875578;;;4;100
2020-08-11;AEGP13;BRAEGPDBS020;9851,879758;9851,879758;9851,879758;9851,879758;;;2;10
2020-08-11;AESL17;BRAESLDBS008;1203,320615;1211,540808;1206,81878;1211,540808;;;5;839
2020-08-11;AGRU41;BRAGRUDBS030;1235,93823;1235,93823;1235,93823;1235,93823;;;1;1
2020-08-11;ALGA15;BRALGTDBS035;1255,791771;1256,091319;1255,866658;1255,791771;;;4;15282
2020-08-11;ALGA26;BRALGTDBS050;1288,664463;1288,664463;1288,664463;1288,664463;;;1;5
2020-08-11;ALIG12;BRALGEDBS011;946,277251;946,748351;946,512801;946,277251;;;2;20
2020-08-11;ALSCA0;BRALSCDBS036;969,938134;969,938134;969,938134;969,938134;;;2;182
2020-08-11;ALUP17;BRALUPDBS034;989,56168;989,661205;989,611442;989,56168;;;4;6132
2020-08-11;AMPLA0;BRCBEEDBS0D0;957,890937;957,890937;957,890937;957,890937;;;2;158
2020-08-11;ANHB18;BRANHBDBS0D8;1146,658548;1175,213475;1163,564759;1173,147534;;;15;8514
2020-08-11;APAR16;BRALUPDBS0A3;674,571574;674,571574;674,571574;674,571574;;;1;192
2020-08-11;APRB28;BRAPRBDBS023;965,466348;965,466348;965,466348;965,466348;;;2;10358
2020-08-11;ARCV12;BRARCVDBS037;1019,765255;1019,765255;1019,765255;1019,765255;;;2;12500
2020-08-11;ARTR35;BRARTRDBS054;1215,76;1215,76;1215,76;1215,76;;;2;4
2020-08-11;ATEV21;BRATEVDBS013;1013,434602;1013,45487;1013,441358;1013,45487;;;3;7698
2020-08-11;B80118E2NKO;;973,97;973,97;973,97;973,97;;;3;30
2020-08-11;B80118J2S27;;954,94;954,94;954,94;954,94;;;3;78
2020-08-11;B80118J2SAZ;;953,42;953,42;953,42;953,42;;;3;15
2020-08-11;BLMN12;BRBLMNDBS026;1285,480669;1347,503678;1322,058671;1285,480669;;;4;410
2020-08-11;BRFS31;BRBRFSDBS026;1095,431848;1095,431848;1095,431848;1095,431848;;;1;74
2020-08-11;BRML17;BRBRMLDBS076;9383,482607;9383,482607;9383,482607;9383,482607;;;2;12
