RptDt;TckrSymb;ISIN;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-05;15I0011480;BRRBRACRI366;874,161231;880,22247;878,202057;880,22247;;;3;813
2020-08-05;16F0071780;BRAPCSCRI218;502,41;502,48;502,47;502,48;;;63;314
2020-08-05;16I0000002;BRAPCSCRI1Z8;1118,495099;1118,495099;1118,495099;1118,495099;;;2;60
2020-08-05;16L0074884;BRCBSCCRI3T1;945,69028;957,315443;949,565334;957,315443;;;3;246
2020-08-05;17D0073654;BROSECCRI0G7;13643,92;14299,1;13971,51;14299,1;;;2;4
2020-08-05;17H0894273;BRAPCSCRI2V5;1062,553901;1113,15714;1087,85552;1113,15714;;;4;90
2020-08-05;17I0181214;BRHBSCCRI254;401,412276;401,412276;401,412276;401,412276;;;1;127
2020-08-05;17I0904388;BRAPCSCRI2U7;978,21998;978,21998;978,21998;978,21998;;;1;306
2020-08-05;17I0905011;BRAPCSCRI2R3;1191,248012;1191,248012;1191,248012;1191,248012;;;9;694
2020-08-05;17J0000001;BRRBRACRI4F4;973,297978;973,297978;973,297978;973,297978;;;2;20
2020-08-05;17J0040025;BRAPCSCRI2Z6;671,347474;672,96;672,495144;672,96;;;22;1328
2020-08-05;18C0682649;BRRBRACRI4T5;975,720118;975,720118;975,720118;975,720118;;;1;97
2020-08-05;18E0907339;BRBZRSCRI098;659,264558;659,264558;659,264558;659,264558;;;2;2
2020-08-05;18E0915989;BRIMWLCRI0U9;1002,049661;1002,43;1002,389971;1002,049661;;;12;362
2020-08-05;18G0627560;BRHBSCCRI0Y2;252,254572;252,292416;252,273494;252,254572;;;2;100
2020-08-05;18G0687521;BRRBRACRI4Y5;432,101601;1198,2044;942,8368;1198,2044;;;3;513
2020-08-05;18H0095066;BRBZRSCRI0B1;1007,13736;1007,288453;1007,212906;1007,13736;;;2;1096
2020-08-05;18K0000201;BRAPCSCRI4C1;962,181958;971,48974;968,738767;965,489875;;;35;1116
2020-08-05;18L0541633;BRAPCSCRI4N8;1041,365664;1074,341654;1063,598952;1068,22;;;24;727
2020-08-05;18L1085826;BRRBRACRI549;1117,861202;1157,536682;1138,631516;1140,61;;;9;92
2020-08-05;19E0959096;BRREICCRI0A9;1026,771612;1138,260726;1082,516169;1138,260726;;;2;4966
2020-08-05;19G0000001;BRRBRACRI5Q8;943,50364;943,50364;943,50364;943,50364;;;2;204
2020-08-05;19G0835181;BRAPCSCRI5L9;966,741305;966,741305;966,741305;966,741305;;;2;64
2020-08-05;19H0262186;BRRBRACRI5T2;973,314216;1043,933704;1013,224055;1043,933704;;;9;544
2020-08-05;19I0737680;;910,069194;910,500938;910,285066;910,069194;;;2;266
2020-08-05;19I0737681;;894,50903;895,491853;895,000441;894,50903;;;2;114
2020-08-05;19I0739706;BRIMWLCRI1L6;659,528185;659,528185;659,528185;659,528185;;;1;30
2020-08-05;19I0739707;BRIMWLCRI1M4;949,996739;949,996739;949,996739;949,996739;;;1;25
2020-08-05;19K0120935;BROSECCRI0J1;934,562508;935,107963;934,835235;935,107963;;;2;22
2020-08-05;19K0981679;BRIMWLCRI1O0;1030,585731;1040,767415;1035,676573;1040,767415;;;4;102
2020-08-05;19K1124486;BROSECCRI0K9;997,607305;1003,607305;1002,467305;1003,607305;;;6;72
2020-08-05;19K1145372;BRRBRACRI630;1042,656868;1042,656868;1042,656868;1042,656868;;;3;38
2020-08-05;19L0840477;;1031,206652;1031,206652;1031,206652;1031,206652;;;1;42
2020-08-05;19L0906443;;1007,582652;1007,582652;1007,582652;1007,582652;;;1;3
2020-08-05;2022114SEN;BRCHCLCTF002;167,024784;167,057464;167,041124;167,024784;;;2;2004
2020-08-05;20A1034935;BRAPCSCRI7H3;1044,144227;1084,647302;1064,395764;1084,647302;;;2;28
2020-08-05;20C1006770;BRAPCSCRI7I1;933,345603;953,094458;943,22003;953,094458;;;10;226
2020-08-05;20E0031084;;1050,577355;1057,471905;1054,02463;1057,471905;;;2;192
2020-08-05;20E0107293;;1058,198659;1058,198659;1058,198659;1058,198659;;;12;1610
2020-08-05;20F0165468;BROSECCRI0M5;1002,49825;1002,599945;1002,566046;1002,599945;;;3;118
2020-08-05;20F0689770;BRASTECRI0J8;1023,340652;1054,25034;1038,795496;1054,25034;;;8;124
2020-08-05;20F0704753;BRTSSACRI0T1;966,435979;977,18;975,005195;966,435979;;;5;8
2020-08-05;20F0834225;BRAPCSCRI7V4;1020,222575;1033,955013;1032,838554;1033,955013;;;123;6486
2020-08-05;20G0703083;BRASTECRI0K6;1017,671032;1022,543641;1020,107336;1017,671032;;;2;2640
2020-08-05;2308316ANG;BRANSBCTF001;187,142514;187,142514;187,142514;187,142514;;;1;150
2020-08-05;2713219SEN;;963,805459;964,249444;964,027451;963,805459;;;2;5160
2020-08-05;2746018LGH;BRFLGTCTF001;0,822203;0,822203;0,822203;0,822203;;;2;3650000
2020-08-05;2763518SEN;BRCHMICTF007;968,01008;968,286827;968,148453;968,01008;;;2;230
2020-08-05;2781419SN3;;1093,608177;1094,808177;1094,688177;1094,808177;;;11;110
2020-08-05;3189019PSS;;1033,807521;1033,807521;1033,807521;1033,807521;;;2;66,7554
2020-08-05;3244419MZA;BRACQICTF011;1003,568093;1003,984555;1003,776324;1003,568093;;;2;150
2020-08-05;3247819SEN;BR032XCTF002;0,955696;0,961769;0,960982;0,961769;;;77;10449754
2020-08-05;3489720SN1;;1042,103009;1042,853098;1042,698876;1042,853098;;;17;472
2020-08-05;3541720BRE;BR0402CTF000;907,68459;928,214911;918,002783;908,077691;;;8;8386
2020-08-05;AALR12;BRAALRDBS024;9149,471543;9154,971988;9152,221765;9149,471543;;;2;108
2020-08-05;AEGP13;BRAEGPDBS020;10020,95994;10020,95994;10020,95994;10020,95994;;;1;9
2020-08-05;AESL17;BRAESLDBS008;1208,589453;1230,337173;1219,261194;1208,589453;;;5;430
2020-08-05;AGRU11;BRAGRUDBS006;923,477591;997,794804;973,022399;997,794804;;;3;75
2020-08-05;AGRU21;BRAGRUDBS014;895,344965;973,870193;947,695117;973,870193;;;3;75
2020-08-05;AGRU31;BRAGRUDBS022;1069,734378;1152,881233;1136,490805;1152,881233;;;7;135
2020-08-05;AGRU41;BRAGRUDBS030;1035,944972;1124,081619;1094,702736;1124,081619;;;3;75
2020-08-05;ALGA26;BRALGTDBS050;1194,048347;1194,048347;1194,048347;1194,048347;;;1;1
2020-08-05;ALGA28;BRALGTDBS0A7;9629,422765;9631,486019;9630,454392;9629,422765;;;2;62
2020-08-05;ALIG12;BRALGEDBS011;971,619054;971,619054;971,619054;971,619054;;;1;52
2020-08-05;ALUP17;BRALUPDBS034;992,119135;992,119135;992,119135;992,119135;;;2;17006
