RptDt;TckrSymb;ISIN;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-27;11H0016706;BRRBCSCRI253;557,534297;557,534297;557,534297;557,534297;;;2;82
2020-07-27;11L0018659;BRRBCSCRI2E8;258326,11;259729,94;259028,025;259729,94;;;2;12
2020-07-27;13G0249947;BRRBRACRI200;793,655527;793,655527;793,655527;793,655527;;;1;1
2020-07-27;1480018S11;BRCRBRCTF0D6;726,0582;726,130813;726,094506;726,0582;;;2;600
2020-07-27;14C0067892;BRRBRACRI2F8;256479,065252;256479,065252;256479,065252;256479,065252;;;1;1
2020-07-27;14K0233294;BRGAIACRI2R8;431892,678544;442089,744775;436991,211659;442089,744775;;;4;4
2020-07-27;15I0011480;BRRBRACRI366;873,333267;880,652444;876,992855;873,333267;;;2;618
2020-07-27;16F0071780;BRAPCSCRI218;502,01;502,01;502,01;502,01;;;42;71
2020-07-27;16G0000001;BRRBRACRI3O8;948,560084;948,560084;948,560084;948,560084;;;2;6
2020-07-27;16I0000002;BRAPCSCRI1Z8;1103,576056;1103,576056;1103,576056;1103,576056;;;2;90
2020-07-27;16I0965158;BRRBRACRI3Q3;984,330575;984,330575;984,330575;984,330575;;;1;100
2020-07-27;17A0899147;BRIMWLCRI0K0;805,442754;819,458706;812,45073;819,458706;;;4;1064
2020-07-27;17C0000201;BRRBRACRI465;979,369002;979,369002;979,369002;979,369002;;;2;34
2020-07-27;17D0073654;BROSECCRI0G7;13833,322487;13834,322487;13834,072487;13834,322487;;;4;12
2020-07-27;17H0894273;BRAPCSCRI2V5;1105,455987;1105,455987;1105,455987;1105,455987;;;2;122
2020-07-27;17I0000201;BRRBRACRI4D9;948,249108;948,249108;948,249108;948,249108;;;2;198
2020-07-27;17I0181214;BRHBSCCRI254;400,237928;400,237928;400,237928;400,237928;;;5;15
2020-07-27;17I0181659;BRAPCECRI028;1038,280377;1038,280377;1038,280377;1038,280377;;;2;130
2020-07-27;17I0904388;BRAPCSCRI2U7;966,203506;976,28958;971,246543;966,203506;;;2;1319
2020-07-27;17I0905011;BRAPCSCRI2R3;1190,019474;1193,380643;1192,552682;1193,380643;;;60;4554
2020-07-27;17J0040025;BRAPCSCRI2Z6;501,94;672,19;658,847407;672,19;;;26;636
2020-07-27;17K0231156;BRRBRACRI4L2;786,911887;864,543899;822,964418;786,911887;;;4;756
2020-07-27;18C0682649;BRRBRACRI4T5;972,025308;988,284309;978,209311;972,025308;;;3;1315
2020-07-27;18C0797834;BRFSECCRI419;901,551503;901,551503;901,551503;901,551503;;;2;904
2020-07-27;18C0842525;BRFSECCRI435;963,918827;963,918827;963,918827;963,918827;;;2;2498
2020-07-27;18C0842527;BRFSECCRI450;1025,923048;1025,923048;1025,923048;1025,923048;;;2;4656
2020-07-27;18D0698877;BRNSECCRI0Q7;7250,86216;7250,86216;7250,86216;7250,86216;;;1;380
2020-07-27;18E0907339;BRBZRSCRI098;658,449323;658,449323;658,449323;658,449323;;;2;198
2020-07-27;18E0915989;BRIMWLCRI0U9;1001,64;1001,64;1001,64;1001,64;;;4;8
2020-07-27;18G0704721;BRRBRACRI4Z2;1035,636217;1037,136217;1036,386217;1037,136217;;;2;8
2020-07-27;18H0014828;BRAPCSCRI3D1;951,98;967,365945;961,83834;967,365945;;;4;1480
2020-07-27;18J0812914;BRAPCSCRI4L2;393,84;393,84;393,84;393,84;;;3;8
2020-07-27;18K0000201;BRAPCSCRI4C1;959,949157;963,74;962,614019;963,74;;;23;444
2020-07-27;18L0541633;BRAPCSCRI4N8;1008,78;1071,164573;1061,853409;1060,79;;;32;983
2020-07-27;18L1085825;BRRBRACRI523;938,112724;942,489324;940,301024;942,489324;;;4;808
2020-07-27;18L1085826;BRRBRACRI549;1110,833406;1156,328843;1119,932493;1156,328843;;;5;837
2020-07-27;18L1168429;BRFSECCRI5X2;960,381828;963,381828;961,881828;963,381828;;;2;4
2020-07-27;19A0782359;BRRBCSCRI394;795,582872;795,582872;795,582872;795,582872;;;1;400
2020-07-27;19B0177968;BRNSECCRI0U9;874,294509;874,294509;874,294509;874,294509;;;1;14000
2020-07-27;19B0268307;BRRBRACRI5G9;980,650338;980,650338;980,650338;980,650338;;;2;11458
2020-07-27;19C0216515;BRRBRACRI5L9;908,41;908,41;908,41;908,41;;;1;19
2020-07-27;19D1329253;BROSECCRI0E2;953,649042;953,889042;953,817042;953,889042;;;5;150
