RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-28;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;225,35;225,45;225,44;225,45;226,05;;9;36
2020-07-28;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;223,5;223,5;223,5;223,5;223,75;;1;1
2020-07-28;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;223,7;224,2;223,97;224;223,75;;21;36
2020-07-28;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;224,1;224,25;224,15;224,1;223,35;;2;3
2020-07-28;CCMF21;BRBMEFCCP247;AGRIBUSINESS;51;51,03;51;51;51,09;;6;14
2020-07-28;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;48,7;48,96;48,89;48,95;48,85;;82;163
2020-07-28;CCMX20;BRBMEFCCP239;AGRIBUSINESS;50,3;50,3;50,3;50,3;50,23;;4;9
2020-07-28;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;117,5;118,2;118,1;117,5;118,2;;3;8
2020-07-28;ABEV3;BRABEVACNOR1;CASH;;;15,05;;;;310;242500
2020-07-28;ABEV3F;BRABEVACNOR1;ODD LOT;;;15,07;;;;192;2325
2020-07-28;ALPA4;BRALPAACNPR7;CASH;;;28,75;;;;5;1500
2020-07-28;ALPA4F;BRALPAACNPR7;ODD LOT;;;28,83;;;;3;51
2020-07-28;ALSO3;BRALSOACNOR5;CASH;;;28,54;;;;4;600
2020-07-28;ALSO3F;BRALSOACNOR5;ODD LOT;;;28,60;;;;3;41
2020-07-28;AZUL4;BRAZULACNPR4;CASH;;;21,50;;;;331;163300
2020-07-28;AZUL4F;BRAZULACNPR4;ODD LOT;;;21,44;;;;132;1907
2020-07-28;B3SA3;BRB3SAACNOR6;CASH;;;64,98;;;;139;37300
2020-07-28;B3SA3F;BRB3SAACNOR6;ODD LOT;;;65,08;;;;90;1122
2020-07-28;BBAS3;BRBBASACNOR3;CASH;;;35,02;;;;250;142800
2020-07-28;BBAS3F;BRBBASACNOR3;ODD LOT;;;35,12;;;;152;2178
2020-07-28;BBDC3;BRBBDCACNOR1;CASH;;;21,48;;;;232;64400
2020-07-28;BBDC3F;BRBBDCACNOR1;ODD LOT;;;21,55;;;;97;1646
2020-07-28;BBDC4;BRBBDCACNPR8;CASH;;;23,57;;;;610;499300
2020-07-28;BBDC4F;BRBBDCACNPR8;ODD LOT;;;23,58;;;;177;2283
2020-07-28;BBSE3;BRBBSEACNOR5;CASH;;;28,11;;;;74;30300
2020-07-28;BBSE3F;BRBBSEACNOR5;ODD LOT;;;28,14;;;;85;1019
2020-07-28;BEEF3;BRBEEFACNOR6;CASH;;;14,87;;;;224;163100
2020-07-28;BEEF3F;BRBEEFACNOR6;ODD LOT;;;14,85;;;;93;2016
2020-07-28;BIDI11;BRBIDICDAXX3;CASH;;;56,41;;;;7;900
2020-07-28;BIDI11F;BRBIDICDAXX3;ODD LOT;;;56,01;;;;5;12
2020-07-28;BPAC11;BRBPACUNT006;CASH;;;84,72;;;;127;29500
2020-07-28;BPAC11F;BRBPACUNT006;ODD LOT;;;84,80;;;;62;818
2020-07-28;BPAN4;BRBPANACNPR1;CASH;;;9,58;;;;39;15100
2020-07-28;BPAN4F;BRBPANACNPR1;ODD LOT;;;9,59;;;;13;115
2020-07-28;BRAP4;BRBRAPACNPR2;CASH;;;42,97;;;;23;4500
2020-07-28;BRAP4F;BRBRAPACNPR2;ODD LOT;;;43,09;;;;2;6
2020-07-28;BRDT3;BRBRDTACNOR1;CASH;;;22,86;;;;55;20100
2020-07-28;BRDT3F;BRBRDTACNOR1;ODD LOT;;;22,86;;;;15;361
2020-07-28;BRFS3;BRBRFSACNOR8;CASH;;;21,30;;;;208;100800
2020-07-28;BRFS3F;BRBRFSACNOR8;ODD LOT;;;21,25;;;;52;854
2020-07-28;BRKM5;BRBRKMACNPA4;CASH;;;23,87;;;;51;19300
2020-07-28;BRKM5F;BRBRKMACNPA4;ODD LOT;;;23,87;;;;16;353
2020-07-28;BRML3;BRBRMLACNOR9;CASH;;;10,35;;;;33;17100
2020-07-28;BRML3F;BRBRMLACNOR9;ODD LOT;;;10,37;;;;13;32
2020-07-28;BRSR6;BRBRSRACNPB4;CASH;;;14,44;;;;32;19300
2020-07-28;BRSR6F;BRBRSRACNPB4;ODD LOT;;;14,45;;;;22;357
2020-07-28;BTOW3;BRBTOWACNOR8;CASH;;;121,28;;;;73;17500
2020-07-28;BTOW3F;BRBTOWACNOR8;ODD LOT;;;121,30;;;;29;366
2020-07-28;CCRO3;BRCCROACNOR2;CASH;;;14,43;;;;66;33900
2020-07-28;CCRO3F;BRCCROACNOR2;ODD LOT;;;14,44;;;;12;297
2020-07-28;CESP6;BRCESPACNPB4;CASH;;;30,89;;;;7;2100
2020-07-28;CESP6F;BRCESPACNPB4;ODD LOT;;;30,97;;;;2;65
2020-07-28;CIEL3;BRCIELACNOR3;CASH;;;5,12;;;;580;852800
2020-07-28;CIEL3F;BRCIELACNOR3;ODD LOT;;;5,14;;;;231;4317
2020-07-28;CMIG4;BRCMIGACNPR3;CASH;;;12,34;;;;102;41500
2020-07-28;CMIG4F;BRCMIGACNPR3;ODD LOT;;;12,40;;;;44;800
2020-07-28;COGN3;BRCOGNACNOR2;CASH;;;9,00;;;;968;801300
2020-07-28;COGN3F;BRCOGNACNOR2;ODD LOT;;;9,01;;;;173;3815
2020-07-28;CPFE3;BRCPFEACNOR0;CASH;;;31,07;;;;21;4800
2020-07-28;CPFE3F;BRCPFEACNOR0;ODD LOT;;;31,05;;;;2;26
2020-07-28;CPLE6;BRCPLEACNPB9;CASH;;;65,59;;;;15;4200
2020-07-28;CPLE6F;BRCPLEACNPB9;ODD LOT;;;65,72;;;;11;144
2020-07-28;CRFB3;BRCRFBACNOR2;CASH;;;22,45;;;;69;28700
2020-07-28;CRFB3F;BRCRFBACNOR2;ODD LOT;;;22,50;;;;44;584
2020-07-28;CSAN3;BRCSANACNOR6;CASH;;;83,12;;;;73;11500
2020-07-28;CSAN3F;BRCSANACNOR6;ODD LOT;;;82,59;;;;19;140
2020-07-28;CSMG3;BRCSMGACNOR5;CASH;;;54,52;;;;11;2700
2020-07-28;CSMG3F;BRCSMGACNOR5;ODD LOT;;;54,63;;;;9;123
2020-07-28;CSNA3;BRCSNAACNOR6;CASH;;;12,29;;;;152;75200
2020-07-28;CSNA3F;BRCSNAACNOR6;ODD LOT;;;12,31;;;;28;430
2020-07-28;CVCB3;BRCVCBACNOR1;CASH;;;21,25;;;;182;69200
2020-07-28;CVCB3F;BRCVCBACNOR1;ODD LOT;;;21,23;;;;56;774
2020-07-28;CYRE3;BRCYREACNOR7;CASH;;;25,61;;;;61;22300
2020-07-28;CYRE3F;BRCYREACNOR7;ODD LOT;;;25,61;;;;41;522
2020-07-28;DTEX3;BRDTEXACNOR3;CASH;;;15,26;;;;10;4000
2020-07-28;DTEX3F;BRDTEXACNOR3;ODD LOT;;;15,31;;;;8;180
2020-07-28;ECOR3;BRECORACNOR8;CASH;;;13,34;;;;91;30700
2020-07-28;ECOR3F;BRECORACNOR8;ODD LOT;;;13,35;;;;18;274
2020-07-28;EGIE3;BREGIEACNOR9;CASH;;;43,95;;;;29;6400
2020-07-28;EGIE3F;BREGIEACNOR9;ODD LOT;;;43,96;;;;39;479
2020-07-28;ELET3;BRELETACNOR6;CASH;;;38,88;;;;70;20100
2020-07-28;ELET3F;BRELETACNOR6;ODD LOT;;;38,91;;;;13;115
2020-07-28;ELET6;BRELETACNPB7;CASH;;;39,54;;;;38;9100
2020-07-28;ELET6F;BRELETACNPB7;ODD LOT;;;39,60;;;;10;229
2020-07-28;EMBR3;BREMBRACNOR4;CASH;;;8,15;;;;191;100700
2020-07-28;EMBR3F;BREMBRACNOR4;ODD LOT;;;8,15;;;;64;1166
2020-07-28;ENBR3;BRENBRACNOR2;CASH;;;18,14;;;;20;3100
2020-07-28;ENBR3F;BRENBRACNOR2;ODD LOT;;;18,21;;;;70;794
2020-07-28;ENEV3;BRENEVACNOR8;CASH;;;49,87;;;;15;6800
2020-07-28;ENEV3F;BRENEVACNOR8;ODD LOT;;;49,91;;;;15;266
2020-07-28;ENGI11;BRENGICDAM16;CASH;;;50,11;;;;7;800
2020-07-28;ENGI11F;BRENGICDAM16;ODD LOT;;;49,98;;;;5;77
2020-07-28;EQTL3;BREQTLACNOR0;CASH;;;24,78;;;;47;17900
2020-07-28;EQTL3F;BREQTLACNOR0;ODD LOT;;;24,84;;;;28;555
2020-07-28;EZTC3;BREZTCACNOR0;CASH;;;39,12;;;;37;9200
2020-07-28;EZTC3F;BREZTCACNOR0;ODD LOT;;;39,16;;;;14;124
2020-07-28;FLRY3;BRFLRYACNOR5;CASH;;;24,53;;;;54;11500
2020-07-28;FLRY3F;BRFLRYACNOR5;ODD LOT;;;24,58;;;;55;577
2020-07-28;GGBR4;BRGGBRACNPR8;CASH;;;17,67;;;;89;35500
2020-07-28;GGBR4F;BRGGBRACNPR8;ODD LOT;;;17,66;;;;23;329
2020-07-28;GNDI3;BRGNDIACNOR2;CASH;;;67,96;;;;9;1500
2020-07-28;GNDI3F;BRGNDIACNOR2;ODD LOT;;;67,94;;;;6;37
2020-07-28;GOAU4;BRGOAUACNPR8;CASH;;;8,16;;;;93;50600
2020-07-28;GOAU4F;BRGOAUACNPR8;ODD LOT;;;8,17;;;;9;120
2020-07-28;GOLL4;BRGOLLACNPR4;CASH;;;19,04;;;;227;110900
2020-07-28;GOLL4F;BRGOLLACNPR4;ODD LOT;;;19,07;;;;127;1367
2020-07-28;HAPV3;BRHAPVACNOR4;CASH;;;65,24;;;;7;700
2020-07-28;HAPV3F;BRHAPVACNOR4;ODD LOT;;;65,29;;;;5;18
2020-07-28;HGTX3;BRHGTXACNOR9;CASH;;;14,65;;;;54;15700
2020-07-28;HGTX3F;BRHGTXACNOR9;ODD LOT;;;14,66;;;;27;489
2020-07-28;HYPE3;BRHYPEACNOR0;CASH;;;36,07;;;;37;8300
2020-07-28;HYPE3F;BRHYPEACNOR0;ODD LOT;;;36,07;;;;29;365
2020-07-28;IGTA3;BRIGTAACNOR5;CASH;;;34,49;;;;69;14500
2020-07-28;IGTA3F;BRIGTAACNOR5;ODD LOT;;;34,44;;;;10;55
2020-07-28;IRBR3;BRIRBRACNOR4;CASH;;;8,18;;;;685;926100
2020-07-28;IRBR3F;BRIRBRACNOR4;ODD LOT;;;8,18;;;;361;6582
2020-07-28;ITSA4;BRITSAACNPR7;CASH;;;10,86;;;;700;438900
2020-07-28;ITSA4F;BRITSAACNPR7;ODD LOT;;;10,89;;;;951;12617
2020-07-28;ITUB4;BRITUBACNPR1;CASH;;;27,63;;;;237;206900
2020-07-28;ITUB4F;BRITUBACNPR1;ODD LOT;;;27,68;;;;141;1606
2020-07-28;JBSS3;BRJBSSACNOR8;CASH;;;22,17;;;;144;95900
2020-07-28;JBSS3F;BRJBSSACNOR8;ODD LOT;;;22,19;;;;25;381
2020-07-28;KLBN11;BRKLBNCDAM18;CASH;;;21,09;;;;61;31800
2020-07-28;KLBN11F;BRKLBNCDAM18;ODD LOT;;;21,16;;;;20;248
2020-07-28;LAME4;BRLAMEACNPR6;CASH;;;34,73;;;;104;46000
2020-07-28;LAME4F;BRLAMEACNPR6;ODD LOT;;;34,73;;;;86;823
2020-07-28;LCAM3;BRLCAMACNOR3;CASH;;;17,75;;;;17;10100
2020-07-28;LCAM3F;BRLCAMACNOR3;ODD LOT;;;17,77;;;;9;298
2020-07-28;LIGT3;BRLIGTACNOR2;CASH;;;18,88;;;;6;2400
2020-07-28;LIGT3F;BRLIGTACNOR2;ODD LOT;;;18,96;;;;31;101
2020-07-28;LINX3;BRLINXACNOR0;CASH;;;27,19;;;;5;1100
2020-07-28;LINX3F;BRLINXACNOR0;ODD LOT;;;27,26;;;;6;18
2020-07-28;LREN3;BRLRENACNOR1;CASH;;;40,13;;;;62;25200
2020-07-28;LREN3F;BRLRENACNOR1;ODD LOT;;;40,28;;;;37;367
