RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-15;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;218;219;218,4;218;218,85;;11;38
2020-07-15;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;217,55;218;217,88;217,55;217,55;;4;8
2020-07-15;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;217;217;217;217;216,35;;1;5
2020-07-15;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;216,65;217;216,94;216,7;216,85;;15;42
2020-07-15;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;216,55;216,7;216,67;216,55;215,95;;4;5
2020-07-15;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;47;47,29;47,16;47;46,94;;168;311
2020-07-15;CCMX20;BRBMEFCCP239;AGRIBUSINESS;48,12;48,25;48,19;48,12;48,07;;7;11
2020-07-15;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;103,5;103,8;103,7;103,8;103,65;;4;5
2020-07-15;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;105,5;105,9;105,8;105,9;105,05;;7;16
2020-07-15;ABEV3;BRABEVACNOR1;CASH;;;14,28;;;;135;98800
2020-07-15;ABEV3F;BRABEVACNOR1;ODD LOT;;;14,31;;;;133;1849
2020-07-15;ALPA4;BRALPAACNPR7;CASH;;;29,01;;;;20;5800
2020-07-15;ALPA4F;BRALPAACNPR7;ODD LOT;;;29,05;;;;15;139
2020-07-15;ALSO3;BRALSOACNOR5;CASH;;;29,38;;;;15;3400
2020-07-15;ALSO3F;BRALSOACNOR5;ODD LOT;;;29,49;;;;13;106
2020-07-15;AZUL4;BRAZULACNPR4;CASH;;;22,75;;;;502;314800
2020-07-15;AZUL4F;BRAZULACNPR4;ODD LOT;;;22,73;;;;375;7385
2020-07-15;B3SA3;BRB3SAACNOR6;CASH;;;61,89;;;;41;11000
2020-07-15;B3SA3F;BRB3SAACNOR6;ODD LOT;;;61,94;;;;92;1036
2020-07-15;BBAS3;BRBBASACNOR3;CASH;;;34,65;;;;230;159100
