RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-06-30;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;221;221,7;221,4;221;220,95;;15;118
2020-06-30;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;217,5;217,5;217,5;217,5;216,9;;1;1
2020-06-30;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;216;216,8;216,28;216;215,85;;31;143
2020-06-30;CCMH21;BRBMEFCCP254;AGRIBUSINESS;48,79;48,79;48,79;48,79;48,88;;1;1
2020-06-30;CCMN20;BRBMEFCCP1X6;AGRIBUSINESS;48,25;48,55;48,48;48,55;48,1;;12;20
2020-06-30;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;46,2;46,49;46,34;46,4;46,26;;101;439
2020-06-30;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;108,2;108,75;108,5;108,2;109,65;;12;20
2020-06-30;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;109,55;110;109,96;110;111,95;;5;24
2020-06-30;ABEV3;BRABEVACNOR1;CASH;;;14,18;;;;83;87300
2020-06-30;ABEV3F;BRABEVACNOR1;ODD LOT;;;14,19;;;;74;1008
2020-06-30;ALPA4;BRALPAACNPR7;CASH;;;29,08;;;;13;2900
2020-06-30;ALPA4F;BRALPAACNPR7;ODD LOT;;;29,16;;;;11;275
2020-06-30;ALSO3;BRALSOACNOR5;CASH;;;28,59;;;;14;4600
2020-06-30;ALSO3F;BRALSOACNOR5;ODD LOT;;;28,68;;;;1;42
2020-06-30;AZUL4;BRAZULACNPR4;CASH;;;20,12;;;;505;266800
2020-06-30;AZUL4F;BRAZULACNPR4;ODD LOT;;;20,18;;;;474;7500
2020-06-30;B3SA3;BRB3SAACNOR6;CASH;;;54,92;;;;98;53800
2020-06-30;B3SA3F;BRB3SAACNOR6;ODD LOT;;;54,98;;;;61;1005
2020-06-30;BBAS3;BRBBASACNOR3;CASH;;;32,16;;;;599;481700
2020-06-30;BBAS3F;BRBBASACNOR3;ODD LOT;;;32,18;;;;241;4531
2020-06-30;BBDC3;BRBBDCACNOR1;CASH;;;19,01;;;;80;44700
2020-06-30;BBDC3F;BRBBDCACNOR1;ODD LOT;;;19,02;;;;86;1368
2020-06-30;BBDC4;BRBBDCACNPR8;CASH;;;20,73;;;;551;498400
2020-06-30;BBDC4F;BRBBDCACNPR8;ODD LOT;;;20,78;;;;258;4077
2020-06-30;BBSE3;BRBBSEACNOR5;CASH;;;27,45;;;;58;18000
2020-06-30;BBSE3F;BRBBSEACNOR5;ODD LOT;;;27,48;;;;202;2570
2020-06-30;BEEF3;BRBEEFACNOR6;CASH;;;13,05;;;;37;37300
2020-06-30;BEEF3F;BRBEEFACNOR6;ODD LOT;;;13,08;;;;9;90
2020-06-30;BIDI11;BRBIDICDAXX3;CASH;;;41,38;;;;8;1200
2020-06-30;BIDI11F;BRBIDICDAXX3;ODD LOT;;;41,45;;;;6;37
2020-06-30;BPAC11;BRBPACUNT006;CASH;;;76,47;;;;45;12100
2020-06-30;BPAC11F;BRBPACUNT006;ODD LOT;;;76,84;;;;26;557
2020-06-30;BPAN4;BRBPANACNPR1;CASH;;;8,83;;;;170;96600
2020-06-30;BPAN4F;BRBPANACNPR1;ODD LOT;;;8,85;;;;123;2668
2020-06-30;BRAP4;BRBRAPACNPR2;CASH;;;36,32;;;;27;6800
2020-06-30;BRAP4F;BRBRAPACNPR2;ODD LOT;;;36,28;;;;2;40
2020-06-30;BRDT3;BRBRDTACNOR1;CASH;;;21,44;;;;37;15400
2020-06-30;BRDT3F;BRBRDTACNOR1;ODD LOT;;;21,43;;;;8;116
2020-06-30;BRFS3;BRBRFSACNOR8;CASH;;;21,28;;;;71;40700
2020-06-30;BRFS3F;BRBRFSACNOR8;ODD LOT;;;21,31;;;;13;193
2020-06-30;BRKM5;BRBRKMACNPA4;CASH;;;23,29;;;;36;13300
2020-06-30;BRKM5F;BRBRKMACNPA4;ODD LOT;;;23,39;;;;21;312
2020-06-30;BRML3;BRBRMLACNOR9;CASH;;;10,07;;;;69;46900
2020-06-30;BRML3F;BRBRMLACNOR9;ODD LOT;;;10,09;;;;64;973
2020-06-30;BRSR6;BRBRSRACNPB4;CASH;;;13,54;;;;110;37000
2020-06-30;BRSR6F;BRBRSRACNPB4;ODD LOT;;;13,56;;;;123;2064
2020-06-30;BTOW3;BRBTOWACNOR8;CASH;;;108,46;;;;201;44900
2020-06-30;BTOW3F;BRBTOWACNOR8;ODD LOT;;;108,25;;;;32;521
2020-06-30;CCRO3;BRCCROACNOR2;CASH;;;14,49;;;;41;16300
2020-06-30;CCRO3F;BRCCROACNOR2;ODD LOT;;;14,51;;;;14;246
2020-06-30;CESP6;BRCESPACNPB4;CASH;;;29,03;;;;9;1600
2020-06-30;CESP6F;BRCESPACNPB4;ODD LOT;;;29,11;;;;8;128
