RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-06-26;CSNA3F;BRCSNAACNOR6;ODD LOT;;;10,71;;;;17;375
2020-06-26;CVCB3;BRCVCBACNOR1;CASH;;;17,89;;;;124;83500
2020-06-26;CVCB3F;BRCVCBACNOR1;ODD LOT;;;17,84;;;;53;931
2020-06-26;CYRE3;BRCYREACNOR7;CASH;;;21,99;;;;93;26700
2020-06-26;CYRE3F;BRCYREACNOR7;ODD LOT;;;22,02;;;;42;713
2020-06-26;DTEX3;BRDTEXACNOR3;CASH;;;12,89;;;;14;4100
2020-06-26;ECOR3;BRECORACNOR8;CASH;;;12,90;;;;42;10300
2020-06-26;ECOR3F;BRECORACNOR8;ODD LOT;;;12,93;;;;4;82
2020-06-26;EGIE3;BREGIEACNOR9;CASH;;;41,63;;;;48;8300
2020-06-26;EGIE3F;BREGIEACNOR9;ODD LOT;;;41,70;;;;75;640
2020-06-26;ELET3;BRELETACNOR6;CASH;;;30,02;;;;73;13900
2020-06-26;ELET3F;BRELETACNOR6;ODD LOT;;;30,06;;;;8;82
2020-06-26;ELET6;BRELETACNPB7;CASH;;;31,31;;;;46;9600
2020-06-26;ELET6F;BRELETACNPB7;ODD LOT;;;31,35;;;;8;254
2020-06-26;EMBR3;BREMBRACNOR4;CASH;;;7,82;;;;390;260800
2020-06-26;EMBR3F;BREMBRACNOR4;ODD LOT;;;7,83;;;;184;3837
2020-06-26;ENBR3;BRENBRACNOR2;CASH;;;17,33;;;;43;7500
2020-06-26;ENBR3F;BRENBRACNOR2;ODD LOT;;;17,37;;;;42;557
2020-06-26;ENEV3;BRENEVACNOR8;CASH;;;42,83;;;;5;1400
2020-06-26;ENEV3F;BRENEVACNOR8;ODD LOT;;;42,69;;;;8;111
2020-06-26;ENGI11;BRENGICDAM16;CASH;;;47,25;;;;35;5500
2020-06-26;ENGI11F;BRENGICDAM16;ODD LOT;;;47,19;;;;4;98
