RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-04;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;226,7;226,7;226,7;226,7;227,8;;1;1
2020-08-04;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;225;225;225;225;225;;3;4
2020-08-04;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;51,75;52;51,91;51,99;51,89;;94;160
2020-08-04;CCMU21;BRBMEFCCP262;AGRIBUSINESS;46,5;46,5;46,5;46,5;46,5;;1;23
2020-08-04;CCMX20;BRBMEFCCP239;AGRIBUSINESS;52,82;52,95;52,83;52,95;52,78;;3;7
2020-08-04;ETHG21;BRBMEFETH3L6;AGRIBUSINESS;1905;1905;1905;1905;1907,5;;2;50
2020-08-04;ETHQ20;BRBMEFETH3F8;AGRIBUSINESS;1760;1760;1760;1760;1770;;2;50
2020-08-04;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;122,5;123;122,76;122,8;124,65;;3;3
2020-08-04;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;126;127,05;126,59;127,05;128,3;;8;18
2020-08-04;ABEV3;BRABEVACNOR1;CASH;;;13,49;;;;273;233300
2020-08-04;ABEV3F;BRABEVACNOR1;ODD LOT;;;13,47;;;;92;1089
2020-08-04;ALPA4;BRALPAACNPR7;CASH;;;31,18;;;;8;2400
2020-08-04;ALPA4F;BRALPAACNPR7;ODD LOT;;;31,20;;;;5;140
2020-08-04;ALSO3;BRALSOACNOR5;CASH;;;26,54;;;;6;1500
2020-08-04;ALSO3F;BRALSOACNOR5;ODD LOT;;;26,44;;;;1;2
2020-08-04;AZUL4;BRAZULACNPR4;CASH;;;19,75;;;;371;116000
2020-08-04;AZUL4F;BRAZULACNPR4;ODD LOT;;;19,76;;;;179;2459
2020-08-04;B3SA3;BRB3SAACNOR6;CASH;;;63,66;;;;129;36400
2020-08-04;B3SA3F;BRB3SAACNOR6;ODD LOT;;;63,57;;;;55;812
2020-08-04;BBAS3;BRBBASACNOR3;CASH;;;33,29;;;;319;201100
2020-08-04;BBAS3F;BRBBASACNOR3;ODD LOT;;;33,31;;;;213;3260
2020-08-04;BBDC3;BRBBDCACNOR1;CASH;;;20,08;;;;82;56700
2020-08-04;BBDC3F;BRBBDCACNOR1;ODD LOT;;;20,06;;;;26;181
2020-08-04;BBDC4;BRBBDCACNPR8;CASH;;;21,69;;;;402;288300
2020-08-04;BBDC4F;BRBBDCACNPR8;ODD LOT;;;21,70;;;;151;2308
2020-08-04;BBSE3;BRBBSEACNOR5;CASH;;;28,29;;;;76;29500
2020-08-04;BBSE3F;BRBBSEACNOR5;ODD LOT;;;28,31;;;;51;838
2020-08-04;BEEF3;BRBEEFACNOR6;CASH;;;13,12;;;;166;64600
2020-08-04;BEEF3F;BRBEEFACNOR6;ODD LOT;;;13,15;;;;21;352
2020-08-04;BIDI11;BRBIDICDAXX3;CASH;;;60,98;;;;5;900
2020-08-04;BIDI11F;BRBIDICDAXX3;ODD LOT;;;61,00;;;;10;213
2020-08-04;BPAC11;BRBPACUNT006;CASH;;;87,22;;;;64;14900
2020-08-04;BPAC11F;BRBPACUNT006;ODD LOT;;;87,21;;;;32;643
2020-08-04;BPAN4;BRBPANACNPR1;CASH;;;9,83;;;;27;18300
2020-08-04;BPAN4F;BRBPANACNPR1;ODD LOT;;;9,84;;;;4;16
2020-08-04;BRAP4;BRBRAPACNPR2;CASH;;;43,01;;;;16;3000
2020-08-04;BRAP4F;BRBRAPACNPR2;ODD LOT;;;43,03;;;;5;62
2020-08-04;BRDT3;BRBRDTACNOR1;CASH;;;21,48;;;;46;25400
2020-08-04;BRDT3F;BRBRDTACNOR1;ODD LOT;;;21,45;;;;9;103
2020-08-04;BRFS3;BRBRFSACNOR8;CASH;;;20,36;;;;143;53700
2020-08-04;BRFS3F;BRBRFSACNOR8;ODD LOT;;;20,38;;;;7;135
2020-08-04;BRKM5;BRBRKMACNPA4;CASH;;;22,60;;;;74;31800
2020-08-04;BRKM5F;BRBRKMACNPA4;ODD LOT;;;22,58;;;;19;362
2020-08-04;BRML3;BRBRMLACNOR9;CASH;;;9,48;;;;64;38600
2020-08-04;BRML3F;BRBRMLACNOR9;ODD LOT;;;9,49;;;;20;385
2020-08-04;BRSR6;BRBRSRACNPB4;CASH;;;13,92;;;;25;10300
2020-08-04;BRSR6F;BRBRSRACNPB4;ODD LOT;;;13,93;;;;23;326
2020-08-04;BTOW3;BRBTOWACNOR8;CASH;;;122,80;;;;49;11300
2020-08-04;BTOW3F;BRBTOWACNOR8;ODD LOT;;;122,98;;;;36;555
2020-08-04;CCRO3;BRCCROACNOR2;CASH;;;14,20;;;;38;16500
2020-08-04;CCRO3F;BRCCROACNOR2;ODD LOT;;;14,21;;;;14;252
2020-08-04;CESP6;BRCESPACNPB4;CASH;;;31,01;;;;7;2500
2020-08-04;CESP6F;BRCESPACNPB4;ODD LOT;;;30,91;;;;5;50
2020-08-04;CIEL3;BRCIELACNOR3;CASH;;;5,13;;;;254;398700
2020-08-04;CIEL3F;BRCIELACNOR3;ODD LOT;;;5,14;;;;71;1060
2020-08-04;CMIG4;BRCMIGACNPR3;CASH;;;11,10;;;;81;43300
2020-08-04;CMIG4F;BRCMIGACNPR3;ODD LOT;;;11,08;;;;38;590
2020-08-04;COGN3;BRCOGNACNOR2;CASH;;;7,40;;;;1018;1150900
2020-08-04;COGN3F;BRCOGNACNOR2;ODD LOT;;;7,41;;;;244;4574
2020-08-04;CPFE3;BRCPFEACNOR0;CASH;;;30,58;;;;12;4000
2020-08-04;CPFE3F;BRCPFEACNOR0;ODD LOT;;;30,57;;;;7;178
2020-08-04;CPLE6;BRCPLEACNPB9;CASH;;;60,94;;;;22;5100
2020-08-04;CPLE6F;BRCPLEACNPB9;ODD LOT;;;60,98;;;;16;176
2020-08-04;CRFB3;BRCRFBACNOR2;CASH;;;21,66;;;;15;2100
2020-08-04;CRFB3F;BRCRFBACNOR2;ODD LOT;;;21,61;;;;11;288
2020-08-04;CSAN3;BRCSANACNOR6;CASH;;;86,48;;;;18;3400
2020-08-04;CSAN3F;BRCSANACNOR6;ODD LOT;;;86,41;;;;14;48
2020-08-04;CSMG3;BRCSMGACNOR5;CASH;;;53,13;;;;6;3300
2020-08-04;CSMG3F;BRCSMGACNOR5;ODD LOT;;;53,03;;;;4;123
2020-08-04;CSNA3;BRCSNAACNOR6;CASH;;;12,75;;;;92;72200
2020-08-04;CSNA3F;BRCSNAACNOR6;ODD LOT;;;12,76;;;;14;276
2020-08-04;CVCB3;BRCVCBACNOR1;CASH;;;18,94;;;;146;65600
2020-08-04;CVCB3F;BRCVCBACNOR1;ODD LOT;;;18,96;;;;169;2124
2020-08-04;CYRE3;BRCYREACNOR7;CASH;;;25,91;;;;93;26700
2020-08-04;CYRE3F;BRCYREACNOR7;ODD LOT;;;25,86;;;;40;690
2020-08-04;DTEX3;BRDTEXACNOR3;CASH;;;16,19;;;;32;10000
2020-08-04;DTEX3F;BRDTEXACNOR3;ODD LOT;;;16,18;;;;18;298
2020-08-04;ECOR3;BRECORACNOR8;CASH;;;13,94;;;;22;6600
2020-08-04;ECOR3F;BRECORACNOR8;ODD LOT;;;13,99;;;;1;14
2020-08-04;EGIE3;BREGIEACNOR9;CASH;;;45,87;;;;19;4700
2020-08-04;EGIE3F;BREGIEACNOR9;ODD LOT;;;45,91;;;;27;175
2020-08-04;ELET3;BRELETACNOR6;CASH;;;37,07;;;;48;9100
2020-08-04;ELET3F;BRELETACNOR6;ODD LOT;;;37,02;;;;9;248
2020-08-04;ELET6;BRELETACNPB7;CASH;;;38,27;;;;28;6000
2020-08-04;ELET6F;BRELETACNPB7;ODD LOT;;;38,18;;;;4;147
2020-08-04;EMBR3;BREMBRACNOR4;CASH;;;7,48;;;;142;66600
2020-08-04;EMBR3F;BREMBRACNOR4;ODD LOT;;;7,49;;;;60;957
2020-08-04;ENBR3;BRENBRACNOR2;CASH;;;17,98;;;;39;10500
2020-08-04;ENBR3F;BRENBRACNOR2;ODD LOT;;;18,00;;;;56;732
2020-08-04;ENEV3;BRENEVACNOR8;CASH;;;49,74;;;;3;300
2020-08-04;ENEV3F;BRENEVACNOR8;ODD LOT;;;49,77;;;;10;147
2020-08-04;ENGI11;BRENGICDAM16;CASH;;;48,21;;;;11;1700
2020-08-04;ENGI11F;BRENGICDAM16;ODD LOT;;;48,39;;;;2;7
2020-08-04;EQTL3;BREQTLACNOR0;CASH;;;24,95;;;;33;22200
2020-08-04;EQTL3F;BREQTLACNOR0;ODD LOT;;;24,87;;;;10;151
2020-08-04;EZTC3;BREZTCACNOR0;CASH;;;38,85;;;;114;48800
2020-08-04;EZTC3F;BREZTCACNOR0;ODD LOT;;;38,89;;;;60;1068
2020-08-04;FLRY3;BRFLRYACNOR5;CASH;;;26,14;;;;40;10700
2020-08-04;FLRY3F;BRFLRYACNOR5;ODD LOT;;;26,13;;;;30;172
2020-08-04;GGBR4;BRGGBRACNPR8;CASH;;;17,53;;;;129;71300
2020-08-04;GGBR4F;BRGGBRACNPR8;ODD LOT;;;17,51;;;;39;703
2020-08-04;GNDI3;BRGNDIACNOR2;CASH;;;66,39;;;;27;3600
2020-08-04;GNDI3F;BRGNDIACNOR2;ODD LOT;;;66,25;;;;2;24
2020-08-04;GOAU4;BRGOAUACNPR8;CASH;;;8,09;;;;122;107600
2020-08-04;GOAU4F;BRGOAUACNPR8;ODD LOT;;;8,07;;;;17;218
2020-08-04;GOLL4;BRGOLLACNPR4;CASH;;;17,59;;;;101;58600
2020-08-04;GOLL4F;BRGOLLACNPR4;ODD LOT;;;17,60;;;;28;692
2020-08-04;HAPV3;BRHAPVACNOR4;CASH;;;64,35;;;;14;2300
2020-08-04;HAPV3F;BRHAPVACNOR4;ODD LOT;;;64,20;;;;3;142
2020-08-04;HGTX3;BRHGTXACNOR9;CASH;;;14,00;;;;70;14600
2020-08-04;HGTX3F;BRHGTXACNOR9;ODD LOT;;;14,01;;;;23;288
2020-08-04;HYPE3;BRHYPEACNOR0;CASH;;;36,35;;;;36;11000
2020-08-04;HYPE3F;BRHYPEACNOR0;ODD LOT;;;36,34;;;;10;181
2020-08-04;IGTA3;BRIGTAACNOR5;CASH;;;32,52;;;;16;3500
2020-08-04;IGTA3F;BRIGTAACNOR5;ODD LOT;;;32,44;;;;10;77
2020-08-04;IRBR3;BRIRBRACNOR4;CASH;;;7,58;;;;583;700700
2020-08-04;IRBR3F;BRIRBRACNOR4;ODD LOT;;;7,59;;;;119;2049
2020-08-04;ITSA4;BRITSAACNPR7;CASH;;;10,23;;;;869;712600
2020-08-04;ITSA4F;BRITSAACNPR7;ODD LOT;;;10,24;;;;545;8106
2020-08-04;ITUB4;BRITUBACNPR1;CASH;;;25,76;;;;964;729500
2020-08-04;ITUB4F;BRITUBACNPR1;ODD LOT;;;25,77;;;;330;6004
2020-08-04;JBSS3;BRJBSSACNOR8;CASH;;;21,97;;;;131;88300
2020-08-04;JBSS3F;BRJBSSACNOR8;ODD LOT;;;21,97;;;;17;249
2020-08-04;KLBN11;BRKLBNCDAM18;CASH;;;20,87;;;;29;9900
2020-08-04;KLBN11F;BRKLBNCDAM18;ODD LOT;;;20,85;;;;6;73
2020-08-04;LAME4;BRLAMEACNPR6;CASH;;;34,17;;;;35;11500
2020-08-04;LAME4F;BRLAMEACNPR6;ODD LOT;;;34,23;;;;10;127
2020-08-04;LCAM3;BRLCAMACNOR3;CASH;;;18,64;;;;14;13200
2020-08-04;LCAM3F;BRLCAMACNOR3;ODD LOT;;;18,67;;;;1;14
2020-08-04;LIGT3;BRLIGTACNOR2;CASH;;;17,47;;;;19;8900
2020-08-04;LIGT3F;BRLIGTACNOR2;ODD LOT;;;17,48;;;;10;202
2020-08-04;LINX3;BRLINXACNOR0;CASH;;;25,32;;;;17;8000
2020-08-04;LINX3F;BRLINXACNOR0;ODD LOT;;;25,34;;;;16;174
2020-08-04;LREN3;BRLRENACNOR1;CASH;;;39,48;;;;89;41200
2020-08-04;LREN3F;BRLRENACNOR1;ODD LOT;;;39,46;;;;40;571
2020-08-04;MDIA3;BRMDIAACNOR7;CASH;;;38,64;;;;1;100
2020-08-04;MDIA3F;BRMDIAACNOR7;ODD LOT;;;38,60;;;;11;147
2020-08-04;MGLU3;BRMGLUACNOR2;CASH;;;82,54;;;;177;65800
2020-08-04;MGLU3F;BRMGLUACNOR2;ODD LOT;;;82,53;;;;143;1742
2020-08-04;MOVI3;BRMOVIACNOR0;CASH;;;16,26;;;;46;25400
2020-08-04;MOVI3F;BRMOVIACNOR0;ODD LOT;;;16,27;;;;22;294
2020-08-04;MRFG3;BRMRFGACNOR0;CASH;;;14,10;;;;71;48700
2020-08-04;MRFG3F;BRMRFGACNOR0;ODD LOT;;;14,12;;;;18;228
2020-08-04;MRVE3;BRMRVEACNOR2;CASH;;;18,61;;;;45;20500
2020-08-04;MRVE3F;BRMRVEACNOR2;ODD LOT;;;18,60;;;;18;223
2020-08-04;MULT3;BRMULTACNOR5;CASH;;;20,28;;;;26;6500
2020-08-04;MULT3F;BRMULTACNOR5;ODD LOT;;;20,35;;;;3;16
2020-08-04;MYPK3;BRMYPKACNOR7;CASH;;;12,91;;;;11;3000
2020-08-04;MYPK3F;BRMYPKACNOR7;ODD LOT;;;12,96;;;;6;164
2020-08-04;NEOE3;BRNEOEACNOR3;CASH;;;20,70;;;;5;1000
2020-08-04;NEOE3F;BRNEOEACNOR3;ODD LOT;;;20,70;;;;2;10
2020-08-04;NTCO3;BRNTCOACNOR5;CASH;;;46,86;;;;34;7600
2020-08-04;NTCO3F;BRNTCOACNOR5;ODD LOT;;;46,82;;;;7;120
2020-08-04;PCAR3;BRPCARACNOR3;CASH;;;68,13;;;;35;8500
2020-08-04;PCAR3F;BRPCARACNOR3;ODD LOT;;;68,12;;;;22;273
2020-08-04;PETR3;BRPETRACNOR9;CASH;;;22,31;;;;172;278500
2020-08-04;PETR3F;BRPETRACNOR9;ODD LOT;;;22,29;;;;17;183
2020-08-04;PETR4;BRPETRACNPR6;CASH;;;21,75;;;;459;494900
2020-08-04;PETR4F;BRPETRACNPR6;ODD LOT;;;21,74;;;;107;1256
2020-08-04;PRIO3;BRPRIOACNOR1;CASH;;;38,34;;;;65;22700
2020-08-04;PRIO3F;BRPRIOACNOR1;ODD LOT;;;38,36;;;;56;960
2020-08-04;PSSA3;BRPSSAACNOR7;CASH;;;57,08;;;;35;10200
2020-08-04;PSSA3F;BRPSSAACNOR7;ODD LOT;;;57,05;;;;26;323
2020-08-04;QUAL3;BRQUALACNOR6;CASH;;;27,90;;;;29;10100
2020-08-04;QUAL3F;BRQUALACNOR6;ODD LOT;;;28,00;;;;6;95
2020-08-04;RADL3;BRRADLACNOR0;CASH;;;118,54;;;;20;2600
2020-08-04;RADL3F;BRRADLACNOR0;ODD LOT;;;118,47;;;;15;320
2020-08-04;RAIL3;BRRAILACNOR9;CASH;;;21,59;;;;40;24500
2020-08-04;RAIL3F;BRRAILACNOR9;ODD LOT;;;21,53;;;;6;71
2020-08-04;RAPT4;BRRAPTACNPR4;CASH;;;11,38;;;;25;9200
2020-08-04;RAPT4F;BRRAPTACNPR4;ODD LOT;;;11,42;;;;13;262
2020-08-04;RENT3;BRRENTACNOR4;CASH;;;49,95;;;;48;24000
2020-08-04;RENT3F;BRRENTACNOR4;ODD LOT;;;50,00;;;;14;168
2020-08-04;SANB11;BRSANBCDAM13;CASH;;;28,94;;;;32;14800
2020-08-04;SANB11F;BRSANBCDAM13;ODD LOT;;;28,97;;;;25;274
2020-08-04;SAPR11;BRSAPRCDAM13;CASH;;;29,66;;;;39;7900
2020-08-04;SAPR11F;BRSAPRCDAM13;ODD LOT;;;29,63;;;;89;928
2020-08-04;SBSP3;BRSBSPACNOR5;CASH;;;58,93;;;;22;3300
2020-08-04;SBSP3F;BRSBSPACNOR5;ODD LOT;;;58,93;;;;9;488
2020-08-04;SMLS3;BRSMLSACNOR1;CASH;;;14,37;;;;13;7200
2020-08-04;SMLS3F;BRSMLSACNOR1;ODD LOT;;;14,40;;;;11;269
2020-08-04;SULA11;BRSULACDAM12;CASH;;;50,41;;;;19;1900
2020-08-04;SULA11F;BRSULACDAM12;ODD LOT;;;50,40;;;;14;123
2020-08-04;SUZB3;BRSUZBACNOR0;CASH;;;42,12;;;;48;22400
2020-08-04;SUZB3F;BRSUZBACNOR0;ODD LOT;;;42,12;;;;10;131
2020-08-04;TAEE11;BRTAEECDAM10;CASH;;;28,66;;;;44;15300
2020-08-04;TAEE11F;BRTAEECDAM10;ODD LOT;;;28,69;;;;41;329
2020-08-04;TCSA3;BRTCSAACNOR3;CASH;;;10,85;;;;17;14100
2020-08-04;TCSA3F;BRTCSAACNOR3;ODD LOT;;;10,90;;;;18;356
2020-08-04;TIMP3;BRTIMPACNOR1;CASH;;;15,05;;;;30;10200
2020-08-04;TIMP3F;BRTIMPACNOR1;ODD LOT;;;15,09;;;;15;148
2020-08-04;TOTS3;BRTOTSACNOR8;CASH;;;25,90;;;;42;9800
2020-08-04;TOTS3F;BRTOTSACNOR8;ODD LOT;;;25,92;;;;21;326
2020-08-04;TRPL4;BRTRPLACNPR1;CASH;;;22,07;;;;53;27300
2020-08-04;TRPL4F;BRTRPLACNPR1;ODD LOT;;;22,04;;;;31;410
2020-08-04;UGPA3;BRUGPAACNOR8;CASH;;;18,85;;;;27;9400
2020-08-04;UGPA3F;BRUGPAACNOR8;ODD LOT;;;18,85;;;;3;36
2020-08-04;USIM5;BRUSIMACNPA6;CASH;;;8,18;;;;194;191700
2020-08-04;USIM5F;BRUSIMACNPA6;ODD LOT;;;8,18;;;;23;265
2020-08-04;VALE3;BRVALEACNOR0;CASH;;;60,73;;;;214;107800
2020-08-04;VALE3F;BRVALEACNOR0;ODD LOT;;;60,69;;;;97;1234
2020-08-04;VIVT4;BRVIVTACNPR7;CASH;;;50,74;;;;14;2400
2020-08-04;VIVT4F;BRVIVTACNPR7;ODD LOT;;;50,75;;;;6;75
2020-08-04;VVAR3;BRVVARACNOR1;CASH;;;19,77;;;;1094;933300
2020-08-04;VVAR3F;BRVVARACNOR1;ODD LOT;;;19,79;;;;311;5801
2020-08-04;WEGE3;BRWEGEACNOR0;CASH;;;67,01;;;;143;28100
2020-08-04;WEGE3F;BRWEGEACNOR0;ODD LOT;;;67,01;;;;109;1487
2020-08-04;YDUQ3;BRYDUQACNOR3;CASH;;;32,80;;;;28;8700
2020-08-04;YDUQ3F;BRYDUQACNOR3;ODD LOT;;;32,81;;;;9;149
