RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-06-25;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;219;219,15;219,11;219;219,95;;9;65
2020-06-25;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;216,85;217,5;217,01;216,85;217,7;;22;73
2020-06-25;CCMN20;BRBMEFCCP1X6;AGRIBUSINESS;46,15;46,15;46,15;46,15;46,1;;1;1
2020-06-25;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;43,83;44,27;44,03;44,27;44,11;;72;110
2020-06-25;CCMX20;BRBMEFCCP239;AGRIBUSINESS;46,79;46,9;46,8;46,9;46,8;;6;54
2020-06-25;ETHV20;BRBMEFETH3I2;AGRIBUSINESS;1819;1825;1820;1820;1842,5;;3;10
2020-06-25;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;103,5;104,35;104,11;104,15;103,25;;24;28
2020-06-25;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;105;105,15;105,04;105;104,95;;3;10
2020-06-25;ABEV3;BRABEVACNOR1;CASH;;;14,19;;;;127;74800
2020-06-25;ABEV3F;BRABEVACNOR1;ODD LOT;;;14,18;;;;72;878
2020-06-25;ALPA4;BRALPAACNPR7;CASH;;;29,86;;;;3;1500
2020-06-25;ALPA4F;BRALPAACNPR7;ODD LOT;;;29,89;;;;6;159
2020-06-25;ALSO3;BRALSOACNOR5;CASH;;;28,86;;;;11;2400
2020-06-25;ALSO3F;BRALSOACNOR5;ODD LOT;;;28,86;;;;1;9
2020-06-25;AZUL4;BRAZULACNPR4;CASH;;;21,17;;;;369;285500
2020-06-25;AZUL4F;BRAZULACNPR4;ODD LOT;;;21,17;;;;133;3087
2020-06-25;B3SA3;BRB3SAACNOR6;CASH;;;55,01;;;;173;59600
2020-06-25;B3SA3F;BRB3SAACNOR6;ODD LOT;;;54,94;;;;95;1058
2020-06-25;BBAS3;BRBBASACNOR3;CASH;;;32,93;;;;216;195100
2020-06-25;BBAS3F;BRBBASACNOR3;ODD LOT;;;32,97;;;;114;1024
2020-06-25;BBDC3;BRBBDCACNOR1;CASH;;;19,63;;;;35;25100
2020-06-25;BBDC3F;BRBBDCACNOR1;ODD LOT;;;19,68;;;;21;453
2020-06-25;BBDC4;BRBBDCACNPR8;CASH;;;21,33;;;;509;324600
2020-06-25;BBDC4F;BRBBDCACNPR8;ODD LOT;;;21,33;;;;64;914
2020-06-25;BBSE3;BRBBSEACNOR5;CASH;;;28,96;;;;17;3100
