RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-08;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;216;216;216;216;216,05;;3;4
2020-07-08;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;213,65;214,8;213,96;213,65;213,95;;7;8
2020-07-08;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;214;214,05;214,02;214;213,95;;2;2
2020-07-08;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;214;214;214;214;214,8;;1;1
2020-07-08;CCMN20;BRBMEFCCP1X6;AGRIBUSINESS;50,25;50,35;50,28;50,3;50,35;;12;19
2020-07-08;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;47,72;47,9;47,82;47,75;47,86;;38;58
2020-07-08;CCMX20;BRBMEFCCP239;AGRIBUSINESS;49,31;49,45;49,38;49,31;49,37;;3;3
2020-07-08;ETHN20;BRBMEFETH3D3;AGRIBUSINESS;1705;1710;1707,5;1705;1707,5;;2;10
2020-07-08;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;107,45;107,5;107,48;107,45;106,85;;3;3
2020-07-08;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;109,5;109,5;109,5;109,5;109,5;;5;11
2020-07-08;ABEV3;BRABEVACNOR1;CASH;;;14,73;;;;83;46700
2020-07-08;ABEV3F;BRABEVACNOR1;ODD LOT;;;14,74;;;;93;843
2020-07-08;ALPA4;BRALPAACNPR7;CASH;;;30,44;;;;15;3900
2020-07-08;ALPA4F;BRALPAACNPR7;ODD LOT;;;30,37;;;;23;324
2020-07-08;ALSO3;BRALSOACNOR5;CASH;;;29,54;;;;5;800
2020-07-08;ALSO3F;BRALSOACNOR5;ODD LOT;;;29,52;;;;5;33
2020-07-08;AZUL4;BRAZULACNPR4;CASH;;;21,54;;;;242;151800
2020-07-08;AZUL4F;BRAZULACNPR4;ODD LOT;;;21,55;;;;95;1388
2020-07-08;B3SA3;BRB3SAACNOR6;CASH;;;60,67;;;;111;40200
2020-07-08;B3SA3F;BRB3SAACNOR6;ODD LOT;;;60,65;;;;73;631
2020-07-08;BBAS3;BRBBASACNOR3;CASH;;;34,04;;;;163;57000
2020-07-08;BBAS3F;BRBBASACNOR3;ODD LOT;;;34,03;;;;86;1063
2020-07-08;BBDC3;BRBBDCACNOR1;CASH;;;20,57;;;;32;18100
2020-07-08;BBDC3F;BRBBDCACNOR1;ODD LOT;;;20,58;;;;36;585
2020-07-08;BBDC4;BRBBDCACNPR8;CASH;;;22,45;;;;209;237500
2020-07-08;BBDC4F;BRBBDCACNPR8;ODD LOT;;;22,46;;;;107;1442
2020-07-08;BBSE3;BRBBSEACNOR5;CASH;;;28,35;;;;25;5200
2020-07-08;BBSE3F;BRBBSEACNOR5;ODD LOT;;;28,37;;;;20;255
2020-07-08;BEEF3;BRBEEFACNOR6;CASH;;;13,60;;;;39;13300
2020-07-08;BEEF3F;BRBEEFACNOR6;ODD LOT;;;13,63;;;;40;899
2020-07-08;BIDI11;BRBIDICDAXX3;CASH;;;46,04;;;;14;4300
2020-07-08;BIDI11F;BRBIDICDAXX3;ODD LOT;;;45,94;;;;33;696
2020-07-08;BPAC11;BRBPACUNT006;CASH;;;84,92;;;;45;7700
2020-07-08;BPAC11F;BRBPACUNT006;ODD LOT;;;84,80;;;;41;570
2020-07-08;BPAN4;BRBPANACNPR1;CASH;;;9,40;;;;27;15100
2020-07-08;BPAN4F;BRBPANACNPR1;ODD LOT;;;9,37;;;;9;320
2020-07-08;BRAP4;BRBRAPACNPR2;CASH;;;37,15;;;;9;1100
2020-07-08;BRDT3;BRBRDTACNOR1;CASH;;;22,87;;;;30;9600
2020-07-08;BRDT3F;BRBRDTACNOR1;ODD LOT;;;22,89;;;;15;245
2020-07-08;BRFS3;BRBRFSACNOR8;CASH;;;20,91;;;;76;79200
2020-07-08;BRFS3F;BRBRFSACNOR8;ODD LOT;;;20,93;;;;21;312
