RptDt;Asst;TckrSymb;EcncIndDesc;PricVal
2020-07-07;AFS;RTDZAW1;ZAR X USD WMR/C. PRICE;17,10875
2020-07-07;ARB;RTARSMAE;ARS X USD MAE;70,8795
2020-07-07;ARB;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;ARS;RTARSMAE;ARS X USD MAE;70,8795
2020-07-07;AUD;RTDAUW1;USD X DAU WMR/C. PRICE;0,69685
2020-07-07;AUD;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;AUS;RTDAUW1;USD X DAU WMR/C. PRICE;0,69685
2020-07-07;BGI;BGILIQ;BOI GORDO - Liquidação;220,2
2020-07-07;BRI;CUSTO IBRX-50;CUSTO DE ALUGUEL IBRX-50;0,43
2020-07-07;BRI;RTIBXPF;ÍNDICE IBRX-50  -  FECHAMENTO;15983
2020-07-07;BRI;RTIBXPL;ÍNDICE IBRX-50  -  LIQUIDAÇÃO;15988
2020-07-07;CAD;RTDCAW1;CAD X USD WMR/C. PRICE;1,3584
2020-07-07;CAD;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;CAN;RTDCAW1;CAD X USD WMR/C. PRICE;1,3584
2020-07-07;CCM;CNILIQ;MILHO - Liquidação;49,84
2020-07-07;CHF;RTDCHW1;CHF X USD WMR/C. PRICE;0,9416
2020-07-07;CHF;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;CHL;RTDCLBC;CLP X USD BANCO CENTRAL CHILE;798,79
2020-07-07;CLP;RTDCLW1;CLP X USD WMR/C. PRICE;791,95
2020-07-07;CLP;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;CNH;RTDNHW1;CNH X USD WMR/C. PRICE;7,01585
2020-07-07;CNY;RTDCNW1;CNY X USD WMR/C. PRICE;7,024
2020-07-07;CNY;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;DCO;RTDOLT1;PTAX800 VENDA;5,3318
2020-07-07;DCO;RTSEL;TAXA SELIC;2,15
2020-07-07;DDI;RTDI1;TAXA DO CDI;2,15
