RptDt;Asst;TckrSymb;EcncIndDesc;PricVal
2020-07-27;AFS;RTDZAW1;ZAR X USD WMR/C. PRICE;16,4
2020-07-27;ARB;RTARSMAE;ARS X USD MAE;72,0793
2020-07-27;ARB;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;ARS;RTARSMAE;ARS X USD MAE;72,0793
2020-07-27;AUD;RTDAUW1;USD X DAU WMR/C. PRICE;0,71475
2020-07-27;AUD;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;AUS;RTDAUW1;USD X DAU WMR/C. PRICE;0,71475
2020-07-27;BGI;BGILIQ;BOI GORDO - Liquidação;221,66
2020-07-27;BRI;CUSTO IBRX-50;CUSTO DE ALUGUEL IBRX-50;0,42
2020-07-27;BRI;RTIBXPF;ÍNDICE IBRX-50  -  FECHAMENTO;17134
2020-07-27;BRI;RTIBXPL;ÍNDICE IBRX-50  -  LIQUIDAÇÃO;17096
2020-07-27;CAD;RTDCAW1;CAD X USD WMR/C. PRICE;1,33695
2020-07-27;CAD;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;CAN;RTDCAW1;CAD X USD WMR/C. PRICE;1,33695
2020-07-27;CCM;CNILIQ;MILHO - Liquidação;49,27
2020-07-27;CHF;RTDCHW1;CHF X USD WMR/C. PRICE;0,91905
2020-07-27;CHF;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;CHL;RTDCLBC;CLP X USD BANCO CENTRAL CHILE;768,63
2020-07-27;CLP;RTDCLW1;CLP X USD WMR/C. PRICE;765,57
2020-07-27;CLP;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;CNH;RTDNHW1;CNH X USD WMR/C. PRICE;6,99825
2020-07-27;CNY;RTDCNW1;CNY X USD WMR/C. PRICE;7,0013
2020-07-27;CNY;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;DCO;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;DCO;RTSEL;TAXA SELIC;2,15
2020-07-27;DDI;RTDI1;TAXA DO CDI;2,15
2020-07-27;DDI;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;DI1;RTDI1;TAXA DO CDI;2,15
2020-07-27;DOL;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;ETH;ALPPHLIQ;ETANOL - Liquidação;1719,5
2020-07-27;EUP;RTEDOW1;USD X EUR WMR/C. PRICE;1,17775
2020-07-27;EUR;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;EUR;RTEDOW1;USD X EUR WMR/C. PRICE;1,17775
2020-07-27;FRO;RTDI1;TAXA DO CDI;2,15
2020-07-27;FRO;RTSEL;TAXA SELIC;2,15
2020-07-27;GBP;RTDGBW1;USD X GBP WMR/C. PRICE;1,2896
2020-07-27;GBP;RTDOLT1;PTAX800 VENDA;5,1889
2020-07-27;GBR;RTDGBW1;USD X GBP WMR/C. PRICE;1,2896
2020-07-27;HSI;HIZ1 - Ajuste;Preço de Ajuste para HSI;23822
2020-07-27;HSI;HIZ2 - Ajuste;Preço de Ajuste para HSI;23239
2020-07-27;HSI;HIZ3 - Ajuste;Preço de Ajuste para HSI;22698
2020-07-27;HSI;HIZ4 - Ajuste;Preço de Ajuste para HSI;22483
2020-07-27;HSI;HIZ5 - Ajuste;Preço de Ajuste para HSI;22470
2020-07-27;ICF;KCH1 - Ajuste;Preço de Ajuste para ICF;115,2
2020-07-27;ICF;KCH1 - Spot;Preço de Spot para ICF;115,2
2020-07-27;ICF;KCH2 - Ajuste;Preço de Ajuste para ICF;121,25
