RptDt;Asst;TckrSymb;EcncIndDesc;PricVal
2020-07-09;AFS;RTDZAW1;ZAR X USD WMR/C. PRICE;16,91
2020-07-09;ARB;RTARSMAE;ARS X USD MAE;70,9388
2020-07-09;ARB;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;ARS;RTARSMAE;ARS X USD MAE;70,9388
2020-07-09;AUD;RTDAUW1;USD X DAU WMR/C. PRICE;0,69615
2020-07-09;AUD;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;AUS;RTDAUW1;USD X DAU WMR/C. PRICE;0,69615
2020-07-09;BGI;BGILIQ;BOI GORDO - Liquidação;219,76
2020-07-09;BRI;CUSTO IBRX-50;CUSTO DE ALUGUEL IBRX-50;0,36
2020-07-09;BRI;RTIBXPF;ÍNDICE IBRX-50  -  FECHAMENTO;16230
2020-07-09;BRI;RTIBXPL;ÍNDICE IBRX-50  -  LIQUIDAÇÃO;16233
2020-07-09;CAD;RTDCAW1;CAD X USD WMR/C. PRICE;1,357
2020-07-09;CAD;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;CAN;RTDCAW1;CAD X USD WMR/C. PRICE;1,357
2020-07-09;CCM;CNILIQ;MILHO - Liquidação;50,21
2020-07-09;CHF;RTDCHW1;CHF X USD WMR/C. PRICE;0,93995
2020-07-09;CHF;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;CHL;RTDCLBC;CLP X USD BANCO CENTRAL CHILE;786,18
2020-07-09;CLP;RTDCLW1;CLP X USD WMR/C. PRICE;781,23
2020-07-09;CLP;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;CNH;RTDNHW1;CNH X USD WMR/C. PRICE;6,9945
2020-07-09;CNY;RTDCNW1;CNY X USD WMR/C. PRICE;6,9866
2020-07-09;CNY;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;DCO;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;DCO;RTSEL;TAXA SELIC;2,15
2020-07-09;DDI;RTDI1;TAXA DO CDI;2,15
2020-07-09;DDI;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;DI1;RTDI1;TAXA DO CDI;2,15
2020-07-09;DOL;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;ETH;ALPPHLIQ;ETANOL - Liquidação;1667,5
2020-07-09;EUP;RTEDOW1;USD X EUR WMR/C. PRICE;1,12935
2020-07-09;EUR;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;EUR;RTEDOW1;USD X EUR WMR/C. PRICE;1,12935
2020-07-09;FRO;RTDI1;TAXA DO CDI;2,15
2020-07-09;FRO;RTSEL;TAXA SELIC;2,15
2020-07-09;GBP;RTDGBW1;USD X GBP WMR/C. PRICE;1,26155
2020-07-09;GBP;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;GBR;RTDGBW1;USD X GBP WMR/C. PRICE;1,26155
2020-07-09;HSI;HIZ1 - Ajuste;Preço de Ajuste para HSI;25504
2020-07-09;HSI;HIZ2 - Ajuste;Preço de Ajuste para HSI;24933
2020-07-09;HSI;HIZ3 - Ajuste;Preço de Ajuste para HSI;24379
2020-07-09;HSI;HIZ4 - Ajuste;Preço de Ajuste para HSI;23957
2020-07-09;HSI;HIZ5 - Ajuste;Preço de Ajuste para HSI;23944
2020-07-09;ICF;KCH1 - Ajuste;Preço de Ajuste para ICF;103,55
2020-07-09;ICF;KCH1 - Spot;Preço de Spot para ICF;103,55
2020-07-09;ICF;KCH2 - Ajuste;Preço de Ajuste para ICF;110,85
2020-07-09;ICF;KCH2 - Spot;Preço de Spot para ICF;110,85
2020-07-09;ICF;KCH3 - Ajuste;Preço de Ajuste para ICF;117,65
2020-07-09;ICF;KCH3 - Spot;Preço de Spot para ICF;117,65
2020-07-09;ICF;KCK1 - Ajuste;Preço de Ajuste para ICF;104,9
2020-07-09;ICF;KCK1 - Spot;Preço de Spot para ICF;104,9
2020-07-09;ICF;KCK2 - Ajuste;Preço de Ajuste para ICF;112
2020-07-09;ICF;KCK2 - Spot;Preço de Spot para ICF;112
2020-07-09;ICF;KCK3 - Ajuste;Preço de Ajuste para ICF;118,65
2020-07-09;ICF;KCK3 - Spot;Preço de Spot para ICF;118,65
2020-07-09;ICF;KCN0 - Ajuste;Preço de Ajuste para ICF;97,7
2020-07-09;ICF;KCN0 - Spot;Preço de Spot para ICF;97,7
2020-07-09;ICF;KCN1 - Ajuste;Preço de Ajuste para ICF;106,25
2020-07-09;ICF;KCN1 - Spot;Preço de Spot para ICF;106,25
2020-07-09;ICF;KCN2 - Ajuste;Preço de Ajuste para ICF;113,1
2020-07-09;ICF;KCN2 - Spot;Preço de Spot para ICF;113,1
2020-07-09;ICF;KCU0 - Ajuste;Preço de Ajuste para ICF;98,75
2020-07-09;ICF;KCU0 - Spot;Preço de Spot para ICF;98,75
2020-07-09;ICF;KCU1 - Ajuste;Preço de Ajuste para ICF;107,5
2020-07-09;ICF;KCU1 - Spot;Preço de Spot para ICF;107,5
2020-07-09;ICF;KCU2 - Ajuste;Preço de Ajuste para ICF;114,2
2020-07-09;ICF;KCU2 - Spot;Preço de Spot para ICF;114,2
2020-07-09;ICF;KCZ0 - Ajuste;Preço de Ajuste para ICF;101,35
2020-07-09;ICF;KCZ0 - Spot;Preço de Spot para ICF;101,35
2020-07-09;ICF;KCZ1 - Ajuste;Preço de Ajuste para ICF;109,15
2020-07-09;ICF;KCZ1 - Spot;Preço de Spot para ICF;109,15
2020-07-09;ICF;KCZ2 - Ajuste;Preço de Ajuste para ICF;115,85
2020-07-09;ICF;KCZ2 - Spot;Preço de Spot para ICF;115,85
2020-07-09;IMV;IMVLIQ;MERVAL INDEX - LIQUIDAÇÃO;43330
2020-07-09;IND;RTIBVPL;ÍNDICE BOVESPA - LIQUIDAÇÃO;99201
2020-07-09;INK;INKLIQ;NIKKEY INDEX - LIQUIDAÇÃO;22290,01
2020-07-09;INK;NHH1 - Ajuste;Preço de Ajuste para INK;22145
2020-07-09;INK;NHH2 - Ajuste;Preço de Ajuste para INK;21660
2020-07-09;INK;NHH3 - Ajuste;Preço de Ajuste para INK;21230
2020-07-09;INK;NHM1 - Ajuste;Preço de Ajuste para INK;21985
2020-07-09;INK;NHM2 - Ajuste;Preço de Ajuste para INK;21555
2020-07-09;INK;NHM3 - Ajuste;Preço de Ajuste para INK;21125
2020-07-09;INK;NHN0 - Ajuste;Preço de Ajuste para INK;22380
2020-07-09;INK;NHQ0 - Ajuste;Preço de Ajuste para INK;22340
2020-07-09;INK;NHU0 - Ajuste;Preço de Ajuste para INK;22385
2020-07-09;INK;NHU1 - Ajuste;Preço de Ajuste para INK;21875
2020-07-09;INK;NHU2 - Ajuste;Preço de Ajuste para INK;21445
2020-07-09;INK;NHV0 - Ajuste;Preço de Ajuste para INK;22275
2020-07-09;INK;NHZ0 - Ajuste;Preço de Ajuste para INK;22235
2020-07-09;INK;NHZ1 - Ajuste;Preço de Ajuste para INK;21770
2020-07-09;INK;NHZ2 - Ajuste;Preço de Ajuste para INK;21340
2020-07-09;INK;NHZ3 - Ajuste;Preço de Ajuste para INK;20905
2020-07-09;INK;NHZ4 - Ajuste;Preço de Ajuste para INK;20470
2020-07-09;INK;NHZ5 - Ajuste;Preço de Ajuste para INK;20040
2020-07-09;ISP;ESH1 - Ajuste;Preço de Ajuste para ISP;3122,75
2020-07-09;ISP;ESM1 - Ajuste;Preço de Ajuste para ISP;3118
2020-07-09;ISP;ESU0 - Ajuste;Preço de Ajuste para ISP;3141
2020-07-09;ISP;ESU1 - Ajuste;Preço de Ajuste para ISP;3109,25
2020-07-09;ISP;ESZ0 - Ajuste;Preço de Ajuste para ISP;3130,5
2020-07-09;ISP;ISPLIQ;S&P INDEX - LIQUIDAÇÃO;3175,59
2020-07-09;JAP;RTYDOW1;JPY X USD WMR/C. PRICE;107,285
2020-07-09;JPY;RTDOLT1;PTAX800 VENDA;5,2978
2020-07-09;JPY;RTYDOW1;JPY X USD WMR/C. PRICE;107,285
2020-07-09;JSE;AIF1 - Ajuste;Preço de Ajuste para JSE;52071
2020-07-09;JSE;AIG1 - Ajuste;Preço de Ajuste para JSE;52205
2020-07-09;JSE;AIH1 - Ajuste;Preço de Ajuste para JSE;52035
2020-07-09;JSE;AIH2 - Ajuste;Preço de Ajuste para JSE;52258
2020-07-09;JSE;AIH3 - Ajuste;Preço de Ajuste para JSE;52830
2020-07-09;JSE;AIJ1 - Ajuste;Preço de Ajuste para JSE;51827
2020-07-09;JSE;AIK1 - Ajuste;Preço de Ajuste para JSE;51996
