RptDt;Asst;TckrSymb;EcncIndDesc;PricVal
2020-07-02;AFS;RTDZAW1;ZAR X USD WMR/C. PRICE;16,96875
2020-07-02;ARB;RTARSMAE;ARS X USD MAE;70,5797
2020-07-02;ARB;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;ARS;RTARSMAE;ARS X USD MAE;70,5797
2020-07-02;AUD;RTDAUW1;USD X DAU WMR/C. PRICE;0,691
2020-07-02;AUD;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;AUS;RTDAUW1;USD X DAU WMR/C. PRICE;0,691
2020-07-02;BGI;BGILIQ;BOI GORDO - Liquidação;219,19
2020-07-02;BRI;CUSTO IBRX-50;CUSTO DE ALUGUEL IBRX-50;0,42
2020-07-02;BRI;RTIBXPF;ÍNDICE IBRX-50  -  FECHAMENTO;15721
2020-07-02;BRI;RTIBXPL;ÍNDICE IBRX-50  -  LIQUIDAÇÃO;15762
2020-07-02;CAD;RTDCAW1;CAD X USD WMR/C. PRICE;1,36075
2020-07-02;CAD;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;CAN;RTDCAW1;CAD X USD WMR/C. PRICE;1,36075
2020-07-02;CCM;CNILIQ;MILHO - Liquidação;49,28
2020-07-02;CHF;RTDCHW1;CHF X USD WMR/C. PRICE;0,94585
2020-07-02;CHF;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;CHL;RTDCLBC;CLP X USD BANCO CENTRAL CHILE;816,29
2020-07-02;CLP;RTDCLW1;CLP X USD WMR/C. PRICE;803,34
2020-07-02;CLP;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;CNH;RTDNHW1;CNH X USD WMR/C. PRICE;7,0711
2020-07-02;CNY;RTDCNW1;CNY X USD WMR/C. PRICE;7,0656
2020-07-02;CNY;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;DCO;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;DCO;RTSEL;TAXA SELIC;2,15
2020-07-02;DDI;RTDI1;TAXA DO CDI;2,15
2020-07-02;DDI;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;DI1;RTDI1;TAXA DO CDI;2,15
2020-07-02;DOL;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;ETH;ALPPHLIQ;ETANOL - Liquidação;1665,5
2020-07-02;EUP;RTEDOW1;USD X EUR WMR/C. PRICE;1,12285
2020-07-02;EUR;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;EUR;RTEDOW1;USD X EUR WMR/C. PRICE;1,12285
2020-07-02;FRO;RTDI1;TAXA DO CDI;2,15
2020-07-02;FRO;RTSEL;TAXA SELIC;2,15
2020-07-02;GBP;RTDGBW1;USD X GBP WMR/C. PRICE;1,2466
2020-07-02;GBP;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;GBR;RTDGBW1;USD X GBP WMR/C. PRICE;1,2466
2020-07-02;HSI;HIZ1 - Ajuste;Preço de Ajuste para HSI;24426
2020-07-02;HSI;HIZ2 - Ajuste;Preço de Ajuste para HSI;23880
2020-07-02;HSI;HIZ3 - Ajuste;Preço de Ajuste para HSI;23349
2020-07-02;HSI;HIZ4 - Ajuste;Preço de Ajuste para HSI;22945
2020-07-02;HSI;HIZ5 - Ajuste;Preço de Ajuste para HSI;22932
2020-07-02;ICF;KCH1 - Ajuste;Preço de Ajuste para ICF;107,95
2020-07-02;ICF;KCH1 - Spot;Preço de Spot para ICF;107,95
2020-07-02;ICF;KCH2 - Ajuste;Preço de Ajuste para ICF;114,55
2020-07-02;ICF;KCH2 - Spot;Preço de Spot para ICF;114,55
2020-07-02;ICF;KCH3 - Ajuste;Preço de Ajuste para ICF;121,15
2020-07-02;ICF;KCH3 - Spot;Preço de Spot para ICF;121,15
2020-07-02;ICF;KCK1 - Ajuste;Preço de Ajuste para ICF;109,05
2020-07-02;ICF;KCK1 - Spot;Preço de Spot para ICF;109,05
2020-07-02;ICF;KCK2 - Ajuste;Preço de Ajuste para ICF;115,65
2020-07-02;ICF;KCK2 - Spot;Preço de Spot para ICF;115,65
2020-07-02;ICF;KCK3 - Ajuste;Preço de Ajuste para ICF;122,15
2020-07-02;ICF;KCK3 - Spot;Preço de Spot para ICF;122,15
2020-07-02;ICF;KCN0 - Ajuste;Preço de Ajuste para ICF;102,25
2020-07-02;ICF;KCN0 - Spot;Preço de Spot para ICF;102,25
2020-07-02;ICF;KCN1 - Ajuste;Preço de Ajuste para ICF;110,25
2020-07-02;ICF;KCN1 - Spot;Preço de Spot para ICF;110,25
2020-07-02;ICF;KCN2 - Ajuste;Preço de Ajuste para ICF;116,7
2020-07-02;ICF;KCN2 - Spot;Preço de Spot para ICF;116,7
2020-07-02;ICF;KCU0 - Ajuste;Preço de Ajuste para ICF;103,2
2020-07-02;ICF;KCU0 - Spot;Preço de Spot para ICF;103,2
2020-07-02;ICF;KCU1 - Ajuste;Preço de Ajuste para ICF;111,4
2020-07-02;ICF;KCU1 - Spot;Preço de Spot para ICF;111,4
2020-07-02;ICF;KCU2 - Ajuste;Preço de Ajuste para ICF;117,75
2020-07-02;ICF;KCU2 - Spot;Preço de Spot para ICF;117,75
2020-07-02;ICF;KCZ0 - Ajuste;Preço de Ajuste para ICF;105,9
2020-07-02;ICF;KCZ0 - Spot;Preço de Spot para ICF;105,9
2020-07-02;ICF;KCZ1 - Ajuste;Preço de Ajuste para ICF;113
2020-07-02;ICF;KCZ1 - Spot;Preço de Spot para ICF;113
2020-07-02;ICF;KCZ2 - Ajuste;Preço de Ajuste para ICF;119,35
2020-07-02;ICF;KCZ2 - Spot;Preço de Spot para ICF;119,35
2020-07-02;IMV;IMVLIQ;MERVAL INDEX - LIQUIDAÇÃO;40228
2020-07-02;IND;RTIBVPL;ÍNDICE BOVESPA - LIQUIDAÇÃO;96442
2020-07-02;INK;INKLIQ;NIKKEY INDEX - LIQUIDAÇÃO;22463,12
2020-07-02;INK;NHH1 - Ajuste;Preço de Ajuste para INK;22075
2020-07-02;INK;NHH2 - Ajuste;Preço de Ajuste para INK;21630
2020-07-02;INK;NHH3 - Ajuste;Preço de Ajuste para INK;21195
2020-07-02;INK;NHM1 - Ajuste;Preço de Ajuste para INK;21950
2020-07-02;INK;NHM2 - Ajuste;Preço de Ajuste para INK;21520
2020-07-02;INK;NHM3 - Ajuste;Preço de Ajuste para INK;21090
2020-07-02;INK;NHN0 - Ajuste;Preço de Ajuste para INK;22345
2020-07-02;INK;NHQ0 - Ajuste;Preço de Ajuste para INK;22305
2020-07-02;INK;NHU0 - Ajuste;Preço de Ajuste para INK;22315
2020-07-02;INK;NHU1 - Ajuste;Preço de Ajuste para INK;21845
2020-07-02;INK;NHU2 - Ajuste;Preço de Ajuste para INK;21410
2020-07-02;INK;NHV0 - Ajuste;Preço de Ajuste para INK;22240
2020-07-02;INK;NHZ0 - Ajuste;Preço de Ajuste para INK;22165
2020-07-02;INK;NHZ1 - Ajuste;Preço de Ajuste para INK;21735
2020-07-02;INK;NHZ2 - Ajuste;Preço de Ajuste para INK;21305
2020-07-02;INK;NHZ3 - Ajuste;Preço de Ajuste para INK;20875
2020-07-02;INK;NHZ4 - Ajuste;Preço de Ajuste para INK;20435
2020-07-02;INK;NHZ5 - Ajuste;Preço de Ajuste para INK;20005
2020-07-02;ISP;ESH1 - Ajuste;Preço de Ajuste para ISP;3112
2020-07-02;ISP;ESM1 - Ajuste;Preço de Ajuste para ISP;3106
2020-07-02;ISP;ESU0 - Ajuste;Preço de Ajuste para ISP;3129
2020-07-02;ISP;ESU1 - Ajuste;Preço de Ajuste para ISP;3097,25
2020-07-02;ISP;ESZ0 - Ajuste;Preço de Ajuste para ISP;3118,5
2020-07-02;ISP;ISPLIQ;S&P INDEX - LIQUIDAÇÃO;3151,38
2020-07-02;JAP;RTYDOW1;JPY X USD WMR/C. PRICE;107,625
2020-07-02;JPY;RTDOLT1;PTAX800 VENDA;5,3028
2020-07-02;JPY;RTYDOW1;JPY X USD WMR/C. PRICE;107,625
2020-07-02;JSE;AIF1 - Ajuste;Preço de Ajuste para JSE;50828
2020-07-02;JSE;AIG1 - Ajuste;Preço de Ajuste para JSE;50963
2020-07-02;JSE;AIH1 - Ajuste;Preço de Ajuste para JSE;50792
2020-07-02;JSE;AIH2 - Ajuste;Preço de Ajuste para JSE;50999
2020-07-02;JSE;AIH3 - Ajuste;Preço de Ajuste para JSE;51474
2020-07-02;JSE;AIJ1 - Ajuste;Preço de Ajuste para JSE;50582
2020-07-02;JSE;AIK1 - Ajuste;Preço de Ajuste para JSE;50751
2020-07-02;JSE;AIM1 - Ajuste;Preço de Ajuste para JSE;50886
2020-07-02;JSE;AIM2 - Ajuste;Preço de Ajuste para JSE;51060
