RptDt;Asst;TckrSymb;EcncIndDesc;PricVal
2020-07-28;AFS;RTDZAW1;ZAR X USD WMR/C. PRICE;16,55065
2020-07-28;ARB;RTARSMAE;ARS X USD MAE;72,138
2020-07-28;ARB;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;ARS;RTARSMAE;ARS X USD MAE;72,138
2020-07-28;AUD;RTDAUW1;USD X DAU WMR/C. PRICE;0,71605
2020-07-28;AUD;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;AUS;RTDAUW1;USD X DAU WMR/C. PRICE;0,71605
2020-07-28;BGI;BGILIQ;BOI GORDO - Liquidação;222,71
2020-07-28;BRI;CUSTO IBRX-50;CUSTO DE ALUGUEL IBRX-50;0,45
2020-07-28;BRI;RTIBXPF;ÍNDICE IBRX-50  -  FECHAMENTO;17054
2020-07-28;BRI;RTIBXPL;ÍNDICE IBRX-50  -  LIQUIDAÇÃO;17086
2020-07-28;CAD;RTDCAW1;CAD X USD WMR/C. PRICE;1,3397
2020-07-28;CAD;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;CAN;RTDCAW1;CAD X USD WMR/C. PRICE;1,3397
2020-07-28;CCM;CNILIQ;MILHO - Liquidação;49,46
2020-07-28;CHF;RTDCHW1;CHF X USD WMR/C. PRICE;0,9173
2020-07-28;CHF;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;CHL;RTDCLBC;CLP X USD BANCO CENTRAL CHILE;768,81
2020-07-28;CLP;RTDCLW1;CLP X USD WMR/C. PRICE;765,55
2020-07-28;CLP;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;CNH;RTDNHW1;CNH X USD WMR/C. PRICE;7,004
2020-07-28;CNY;RTDCNW1;CNY X USD WMR/C. PRICE;7,0079
2020-07-28;CNY;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;DCO;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;DCO;RTSEL;TAXA SELIC;2,15
2020-07-28;DDI;RTDI1;TAXA DO CDI;2,15
2020-07-28;DDI;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;DI1;RTDI1;TAXA DO CDI;2,15
2020-07-28;DOL;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;ETH;ALPPHLIQ;ETANOL - Liquidação;1731,5
2020-07-28;EUP;RTEDOW1;USD X EUR WMR/C. PRICE;1,17285
2020-07-28;EUR;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;EUR;RTEDOW1;USD X EUR WMR/C. PRICE;1,17285
2020-07-28;FRO;RTDI1;TAXA DO CDI;2,15
2020-07-28;FRO;RTSEL;TAXA SELIC;2,15
2020-07-28;GBP;RTDGBW1;USD X GBP WMR/C. PRICE;1,29445
2020-07-28;GBP;RTDOLT1;PTAX800 VENDA;5,1777
2020-07-28;GBR;RTDGBW1;USD X GBP WMR/C. PRICE;1,29445
2020-07-28;HSI;HIZ1 - Ajuste;Preço de Ajuste para HSI;23942
2020-07-28;HSI;HIZ2 - Ajuste;Preço de Ajuste para HSI;23356
2020-07-28;HSI;HIZ3 - Ajuste;Preço de Ajuste para HSI;22812
2020-07-28;HSI;HIZ4 - Ajuste;Preço de Ajuste para HSI;22596
2020-07-28;HSI;HIZ5 - Ajuste;Preço de Ajuste para HSI;22583
2020-07-28;ICF;KCH1 - Ajuste;Preço de Ajuste para ICF;114,55
2020-07-28;ICF;KCH1 - Spot;Preço de Spot para ICF;114,55
2020-07-28;ICF;KCH2 - Ajuste;Preço de Ajuste para ICF;120,6
2020-07-28;ICF;KCH2 - Spot;Preço de Spot para ICF;120,6
2020-07-28;ICF;KCH3 - Ajuste;Preço de Ajuste para ICF;127,05
2020-07-28;ICF;KCH3 - Spot;Preço de Spot para ICF;127,05
2020-07-28;ICF;KCK1 - Ajuste;Preço de Ajuste para ICF;115,6
2020-07-28;ICF;KCK1 - Spot;Preço de Spot para ICF;115,6
2020-07-28;ICF;KCK2 - Ajuste;Preço de Ajuste para ICF;121,7
2020-07-28;ICF;KCK2 - Spot;Preço de Spot para ICF;121,7
2020-07-28;ICF;KCK3 - Ajuste;Preço de Ajuste para ICF;128,3
2020-07-28;ICF;KCK3 - Spot;Preço de Spot para ICF;128,3
2020-07-28;ICF;KCN1 - Ajuste;Preço de Ajuste para ICF;116,45
2020-07-28;ICF;KCN1 - Spot;Preço de Spot para ICF;116,45
2020-07-28;ICF;KCN2 - Ajuste;Preço de Ajuste para ICF;122,75
2020-07-28;ICF;KCN2 - Spot;Preço de Spot para ICF;122,75
2020-07-28;ICF;KCU0 - Ajuste;Preço de Ajuste para ICF;109,65
2020-07-28;ICF;KCU0 - Spot;Preço de Spot para ICF;109,65
2020-07-28;ICF;KCU1 - Ajuste;Preço de Ajuste para ICF;117,25
2020-07-28;ICF;KCU1 - Spot;Preço de Spot para ICF;117,25
2020-07-28;ICF;KCU2 - Ajuste;Preço de Ajuste para ICF;123,85
2020-07-28;ICF;KCU2 - Spot;Preço de Spot para ICF;123,85
2020-07-28;ICF;KCZ0 - Ajuste;Preço de Ajuste para ICF;112,6
2020-07-28;ICF;KCZ0 - Spot;Preço de Spot para ICF;112,6
2020-07-28;ICF;KCZ1 - Ajuste;Preço de Ajuste para ICF;118,9
2020-07-28;ICF;KCZ1 - Spot;Preço de Spot para ICF;118,9
2020-07-28;ICF;KCZ2 - Ajuste;Preço de Ajuste para ICF;125,4
2020-07-28;ICF;KCZ2 - Spot;Preço de Spot para ICF;125,4
2020-07-28;IMV;IMVLIQ;MERVAL INDEX - LIQUIDAÇÃO;48959
2020-07-28;IMV;MYLN0 - Ajuste;Preço de Ajuste para IMV;48959
2020-07-28;IMV;MYLU0 - Ajuste;Preço de Ajuste para IMV;50986
2020-07-28;IND;RTIBVPL;ÍNDICE BOVESPA - LIQUIDAÇÃO;104302
2020-07-28;INK;INKLIQ;NIKKEY INDEX - LIQUIDAÇÃO;22817,1
2020-07-28;INK;NHH1 - Ajuste;Preço de Ajuste para INK;22280
2020-07-28;INK;NHH2 - Ajuste;Preço de Ajuste para INK;21835
2020-07-28;INK;NHH3 - Ajuste;Preço de Ajuste para INK;21400
2020-07-28;INK;NHM1 - Ajuste;Preço de Ajuste para INK;22160
2020-07-28;INK;NHM2 - Ajuste;Preço de Ajuste para INK;21725
2020-07-28;INK;NHM3 - Ajuste;Preço de Ajuste para INK;21295
2020-07-28;INK;NHQ0 - Ajuste;Preço de Ajuste para INK;22520
2020-07-28;INK;NHU0 - Ajuste;Preço de Ajuste para INK;22515
2020-07-28;INK;NHU1 - Ajuste;Preço de Ajuste para INK;22055
2020-07-28;INK;NHU2 - Ajuste;Preço de Ajuste para INK;21620
2020-07-28;INK;NHV0 - Ajuste;Preço de Ajuste para INK;22455
2020-07-28;INK;NHX0 - Ajuste;Preço de Ajuste para INK;22410
2020-07-28;INK;NHZ0 - Ajuste;Preço de Ajuste para INK;22370
2020-07-28;INK;NHZ1 - Ajuste;Preço de Ajuste para INK;21945
2020-07-28;INK;NHZ2 - Ajuste;Preço de Ajuste para INK;21510
2020-07-28;INK;NHZ3 - Ajuste;Preço de Ajuste para INK;21075
2020-07-28;INK;NHZ4 - Ajuste;Preço de Ajuste para INK;20635
2020-07-28;INK;NHZ5 - Ajuste;Preço de Ajuste para INK;20200
2020-07-28;ISP;ESH1 - Ajuste;Preço de Ajuste para ISP;3194,25
