RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-05;AFSU20;BRBMEFAFS0K1;FINANCIAL;;;;;17408,8;;;
2020-08-05;AFSV20;BRBMEFAFS0L9;FINANCIAL;;;;;17464,1;;;
2020-08-05;AFSX20;BRBMEFAFS0M7;FINANCIAL;;;;;17526,7;;;
2020-08-05;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;70,455;;;
2020-08-05;ARBV20;BRBMEFARB0L4;FINANCIAL;;;;;67,339;;;
2020-08-05;ARBX20;BRBMEFARB0M2;FINANCIAL;;;;;63,636;;;
2020-08-05;ARSU20;BRBMEFARS094;FINANCIAL;;;;;75275,8;;;
2020-08-05;ARSV20;BRBMEFARS0A8;FINANCIAL;;;;;78836,8;;;
2020-08-05;ARSX20;BRBMEFARS0B6;FINANCIAL;;;;;83488,8;;;
2020-08-05;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3815,182;;;
2020-08-05;AUDV20;BRBMEFAUD3G1;FINANCIAL;;;;;3819,343;;;
2020-08-05;AUDX20;BRBMEFAUD3H9;FINANCIAL;;;;;3822,567;;;
2020-08-05;AUSU20;BRBMEFAUS0K2;FINANCIAL;719;722,6;720,93;719;719,361;;10;142
2020-08-05;AUSV20;BRBMEFAUS0L0;FINANCIAL;719,6;723,9;723,79;719,6;719,435;;2;825
2020-08-05;AUSX20;BRBMEFAUS0M8;FINANCIAL;;;;;719,493;;;
2020-08-05;B3SAOQ20;BRB3SA380014;FINANCIAL;63;65;63,99;63,3;63,54;;117;35900
2020-08-05;B3SAOU20;BRB3SA390013;FINANCIAL;63,17;65,11;64,25;63,91;63,64;;43;12000
2020-08-05;BGIF21;BRBMEFBGI5R5;AGRIBUSINESS;;;;;216,7;;;
2020-08-05;BGIG21;BRBMEFBGI5S3;AGRIBUSINESS;;;;;215,15;;;
2020-08-05;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;;;;;213,3;;;
2020-08-05;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;;;;;211,7;;;
2020-08-05;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;219;219;219;219;219,05;;1;3
2020-08-05;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;;;;;213;;;
2020-08-05;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;225,9;226,95;226,35;226,5;226,65;;80;215
2020-08-05;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;224,25;224,8;224,53;224,5;224,5;;44;90
2020-08-05;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;224;225,7;224,4;224,5;224,5;;329;883
2020-08-05;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;224;225;224,58;224,55;224,75;;86;153
2020-08-05;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;223,85;225;224,56;223,85;225,3;;72;105
2020-08-05;BRIV20;BRBMEFBRI2V1;FINANCIAL;;;;;16851;;;
2020-08-05;BRIZ20;BRBMEFBRI2W9;FINANCIAL;;;;;16895;;;
2020-08-05;CADU20;BRBMEFCAD3E8;FINANCIAL;;;;;3993,244;;;
2020-08-05;CADV20;BRBMEFCAD3F5;FINANCIAL;;;;;3997,475;;;
2020-08-05;CADX20;BRBMEFCAD3G3;FINANCIAL;;;;;4000,739;;;
