RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-14;CMIGPQ20;BRCMIG480010;FINANCIAL;10,29;10,37;10,33;10,35;10,4;;9;14000
2020-08-14;CMIGPU20;BRCMIG490019;FINANCIAL;10,22;10,39;10,31;10,35;10,42;;64;71700
2020-08-14;CMIGPV20;BRCMIG400018;FINANCIAL;10,21;10,21;10,21;10,21;10,43;;1;1200
2020-08-14;CNHU20;BRBMEFCNH0K2;FINANCIAL;;;;;6949,651;;;
2020-08-14;CNHV20;BRBMEFCNH0L0;FINANCIAL;;;;;6965,493;;;
2020-08-14;CNHX20;BRBMEFCNH0M8;FINANCIAL;;;;;6980,329;;;
2020-08-14;CNYU20;BRBMEFCNY303;FINANCIAL;;;;;7820,157;;;
2020-08-14;CNYV20;BRBMEFCNY311;FINANCIAL;;;;;7808,852;;;
2020-08-14;CNYX20;BRBMEFCNY329;FINANCIAL;;;;;7797,513;;;
2020-08-14;COGNOQ20;BRCOGN380005;FINANCIAL;6,92;7,2;7,02;7,18;7,19;;33;12600
2020-08-14;COGNOU20;BRCOGN390004;FINANCIAL;6,9;7,25;7,07;7,19;7,17;;21;31000
2020-08-14;COGNOV20;BRCOGN300029;FINANCIAL;;;;;7,16;;;
2020-08-14;DAPF21;BRBMEFDAP2R7;FINANCIAL;-1,13;-1,13;-1,13;-1,13;100474,64;;4;700
2020-08-14;DAPF22;BRBMEFDAP322;FINANCIAL;;;;;100555,12;;;
2020-08-14;DAPK21;BRBMEFDAP1K4;FINANCIAL;-1,03;-0,98;-1;-1,01;100748,59;;14;2365
2020-08-14;DAPK23;BRBMEFDAP1G2;FINANCIAL;0,5;0,54;0,5;0,53;98567,2;;14;900
2020-08-14;DAPK25;BRBMEFDAP330;FINANCIAL;1,82;1,85;1,82;1,83;91701,12;;13;2385
2020-08-14;DAPK35;BRBMEFDAP2L0;FINANCIAL;;;;;57481,77;;;
2020-08-14;DAPQ20;BRBMEFDAP0Z4;FINANCIAL;;;;;100008,14;;;
