RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-10;AFSU20;BRBMEFAFS0K1;FINANCIAL;17723;17723;17723;17723;17717,4;;1;6
2020-08-10;AFSV20;BRBMEFAFS0L9;FINANCIAL;17815;17815;17815;17815;17773,4;;1;580
2020-08-10;AFSX20;BRBMEFAFS0M7;FINANCIAL;;;;;17827,6;;;
2020-08-10;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;72,62;;;
2020-08-10;ARBV20;BRBMEFARB0L4;FINANCIAL;;;;;69,767;;;
2020-08-10;ARBX20;BRBMEFARB0M2;FINANCIAL;;;;;66,131;;;
2020-08-10;ARSU20;BRBMEFARS094;FINANCIAL;;;;;75188,8;;;
2020-08-10;ARSV20;BRBMEFARS0A8;FINANCIAL;;;;;78335,1;;;
2020-08-10;ARSX20;BRBMEFARS0B6;FINANCIAL;;;;;82702,9;;;
2020-08-10;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3902,52;;;
2020-08-10;AUDV20;BRBMEFAUD3G1;FINANCIAL;;;;;3906,37;;;
2020-08-10;AUDX20;BRBMEFAUD3H9;FINANCIAL;;;;;3909,488;;;
2020-08-10;AUSU20;BRBMEFAUS0K2;FINANCIAL;717,2;717,5;717,49;717,5;714,723;;2;299
2020-08-10;AUSV20;BRBMEFAUS0L0;FINANCIAL;715;715;715;715;714,777;;1;4
2020-08-10;AUSX20;BRBMEFAUS0M8;FINANCIAL;;;;;714,822;;;
2020-08-10;B3SAOQ20;BRB3SA380014;FINANCIAL;60,02;62,78;61,47;62,45;62,27;;112;33000
2020-08-10;B3SAOU20;BRB3SA390013;FINANCIAL;60,11;62,76;61,27;62,36;62,38;;36;10600
2020-08-10;BGIF21;BRBMEFBGI5R5;AGRIBUSINESS;;;;;216,7;;;
2020-08-10;BGIG21;BRBMEFBGI5S3;AGRIBUSINESS;;;;;215,15;;;
2020-08-10;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;;;;;213,3;;;
2020-08-10;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;;;;;211,7;;;
2020-08-10;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;;;;;219,05;;;
2020-08-10;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;;;;;213;;;
2020-08-10;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;224;225;224,68;225;225,6;;49;171
2020-08-10;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;222,7;223,8;223,09;223,25;223,2;;31;76
2020-08-10;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;221;223,65;222,74;222,95;223,2;;377;873
2020-08-10;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;222;224,65;223,68;224,65;224;;92;139
2020-08-10;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;223;224;223,96;224;224;;29;29
2020-08-10;BRIV20;BRBMEFBRI2V1;FINANCIAL;16978;16978;16978;16978;16940;;1;10
2020-08-10;BRIZ20;BRBMEFBRI2W9;FINANCIAL;16819;16819;16819;16819;16982;;1;10
2020-08-10;CADU20;BRBMEFCAD3E8;FINANCIAL;;;;;4088,943;;;
2020-08-10;CADV20;BRBMEFCAD3F5;FINANCIAL;;;;;4092,94;;;
2020-08-10;CADX20;BRBMEFCAD3G3;FINANCIAL;;;;;4096,189;;;
2020-08-10;CANU20;BRBMEFCAN0K9;FINANCIAL;;;;;1335,354;;;
2020-08-10;CANV20;BRBMEFCAN0L7;FINANCIAL;1334,7;1334,7;1334,7;1334,7;1335,266;;1;6
2020-08-10;CANX20;BRBMEFCAN0M5;FINANCIAL;;;;;1335,187;;;
2020-08-10;CCMF21;BRBMEFCCP247;AGRIBUSINESS;55;56,2;55,69;55,93;56,05;;127;430
2020-08-10;CCMH21;BRBMEFCCP254;AGRIBUSINESS;54,5;55,35;55,01;55,3;55,55;;28;75
2020-08-10;CCMH22;BRBMEFCCP2A2;AGRIBUSINESS;;;;;47;;;
2020-08-10;CCMK21;BRBMEFCCP270;AGRIBUSINESS;52,7;52,9;52,72;52,9;52,97;;7;9
2020-08-10;CCMN21;BRBMEFCCP288;AGRIBUSINESS;;;;;45,5;;;
2020-08-10;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;53,8;55,05;54,43;54,95;55,03;;2925;5430
2020-08-10;CCMU21;BRBMEFCCP262;AGRIBUSINESS;48;48,8;48,5;48,8;48;;9;29
2020-08-10;CCMX20;BRBMEFCCP239;AGRIBUSINESS;54,21;55,5;54,88;55,4;55,43;;697;1483
2020-08-10;CCMX21;BRBMEFCCP296;AGRIBUSINESS;;;;;47;;;
2020-08-10;CCROOQ20;BRCCRO380013;FINANCIAL;14,23;14,59;14,46;14,41;14,35;;84;45100
2020-08-10;CCROOU20;BRCCRO390012;FINANCIAL;14,36;14,6;14,52;14,44;14,38;;29;21900
2020-08-10;CHFU20;BRBMEFCHF304;FINANCIAL;;;;;5969,376;;;
2020-08-10;CHFV20;BRBMEFCHF312;FINANCIAL;;;;;5980,044;;;
2020-08-10;CHFX20;BRBMEFCHF320;FINANCIAL;;;;;5989,683;;;
2020-08-10;CHLU20;BRBMEFCHL0K4;FINANCIAL;;;;;805085,5;;;
2020-08-10;CHLV20;BRBMEFCHL0L2;FINANCIAL;;;;;804777,2;;;
2020-08-10;CHLX20;BRBMEFCHL0M0;FINANCIAL;;;;;804581,1;;;
2020-08-10;CIELOQ20;BRCIEL380015;FINANCIAL;5,06;5,22;5,12;5,16;5,15;;88;225500
2020-08-10;CIELOU20;BRCIEL390014;FINANCIAL;5,1;5,25;5,19;5,1;5,16;;12;38000
