RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-02;AFSQ20;BRBMEFAFS0J3;FINANCIAL;16950;16950;16950;16950;17025,6;;1;10
2020-07-02;AFSU20;BRBMEFAFS0K1;FINANCIAL;;;;;17084,1;;;
2020-07-02;AFSV20;BRBMEFAFS0L9;FINANCIAL;;;;;17129,2;;;
2020-07-02;ARBQ20;BRBMEFARB0J8;FINANCIAL;;;;;73,066;;;
2020-07-02;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;69,482;;;
2020-07-02;ARBV20;BRBMEFARB0L4;FINANCIAL;;;;;66,58;;;
2020-07-02;ARSQ20;BRBMEFARS086;FINANCIAL;;;;;73459,6;;;
2020-07-02;ARSU20;BRBMEFARS094;FINANCIAL;;;;;77330;;;
2020-07-02;ARSV20;BRBMEFARS0A8;FINANCIAL;;;;;80778,8;;;
2020-07-02;AUDQ20;BRBMEFAUD3E6;FINANCIAL;;;;;3716,325;;;
2020-07-02;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3720,458;;;
2020-07-02;AUDV20;BRBMEFAUD3G1;FINANCIAL;;;;;3724,103;;;
2020-07-02;AUSQ20;BRBMEFAUS0J4;FINANCIAL;692,5;694,4;693,05;692,7;692,387;;16;893
2020-07-02;AUSU20;BRBMEFAUS0K2;FINANCIAL;;;;;692,43;;;
2020-07-02;AUSV20;BRBMEFAUS0L0;FINANCIAL;;;;;692,44;;;
2020-07-02;B3SAON20;BRB3SA370015;FINANCIAL;56;57;56,69;56,38;56,25;;18;3800
2020-07-02;B3SAOQ20;BRB3SA380014;FINANCIAL;56,35;57,12;56,85;56,48;56,34;;19;2500
2020-07-02;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;208;208;208;208;204,3;;2;5
2020-07-02;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;216,7;219;217,51;217;216,75;;279;1001
2020-07-02;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;212,5;215;213,23;213,1;214,05;;23;63
2020-07-02;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;212,05;214,4;213,13;212,85;213,05;;43;73
2020-07-02;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;212,65;215;213,18;213;213;;437;1269
2020-07-02;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;212,9;212,9;212,9;212,9;212,05;;4;5
2020-07-02;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;214;214;214;214;213,85;;3;6
2020-07-02;BRIQ20;BRBMEFBRI2U3;FINANCIAL;;;;;15745;;;
2020-07-02;BRIV20;BRBMEFBRI2V1;FINANCIAL;;;;;15787;;;
2020-07-02;CADQ20;BRBMEFCAD3D0;FINANCIAL;;;;;3952,298;;;
2020-07-02;CADU20;BRBMEFCAD3E8;FINANCIAL;;;;;3956,666;;;
2020-07-02;CADV20;BRBMEFCAD3F5;FINANCIAL;;;;;3960,71;;;
2020-07-02;CANQ20;BRBMEFCAN0J1;FINANCIAL;1356,3;1359,5;1358,72;1357,7;1358,048;;21;665
2020-07-02;CANU20;BRBMEFCAN0K9;FINANCIAL;;;;;1357,972;;;
2020-07-02;CANV20;BRBMEFCAN0L7;FINANCIAL;;;;;1357,896;;;
2020-07-02;CCMF21;BRBMEFCCP247;AGRIBUSINESS;50,2;51,1;50,51;50,5;50,64;;18;18
2020-07-02;CCMH21;BRBMEFCCP254;AGRIBUSINESS;48,8;48,8;48,8;48,8;48,85;;2;10
2020-07-02;CCMK21;BRBMEFCCP270;AGRIBUSINESS;;;;;47,2;;;
2020-07-02;CCMN20;BRBMEFCCP1X6;AGRIBUSINESS;48,65;49,25;49;48,8;48,64;;217;718
2020-07-02;CCMN21;BRBMEFCCP288;AGRIBUSINESS;;;;;44,25;;;
2020-07-02;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;46,52;47,2;46,79;46,7;46,71;;1036;3166
2020-07-02;CCMU21;BRBMEFCCP262;AGRIBUSINESS;;;;;43,7;;;
2020-07-02;CCMX20;BRBMEFCCP239;AGRIBUSINESS;49,15;49,7;49,35;49,3;49,4;;53;119
2020-07-02;CCROON20;BRCCRO370014;FINANCIAL;14,95;15,39;15,19;14,98;14,88;;56;36600
2020-07-02;CCROOQ20;BRCCRO380013;FINANCIAL;15,26;15,41;15,3;15,26;14,9;;4;3400
2020-07-02;CHFQ20;BRBMEFCHF2Z6;FINANCIAL;;;;;5681,001;;;
2020-07-02;CHFU20;BRBMEFCHF304;FINANCIAL;;;;;5692,385;;;
2020-07-02;CHFV20;BRBMEFCHF312;FINANCIAL;;;;;5702,716;;;
2020-07-02;CHLQ20;BRBMEFCHL0J6;FINANCIAL;801050;804350;801992,85;801050;802850;;2;70
2020-07-02;CHLU20;BRBMEFCHL0K4;FINANCIAL;;;;;802597,1;;;
2020-07-02;CHLV20;BRBMEFCHL0L2;FINANCIAL;;;;;802141,9;;;
2020-07-02;CIELON20;BRCIEL370016;FINANCIAL;4,79;4,95;4,89;4,82;4,84;;45;145300
2020-07-02;CIELOQ20;BRCIEL380015;FINANCIAL;4,74;4,94;4,87;4,79;4,83;;19;33800
2020-07-02;CLPQ20;BRBMEFCLP2Z8;FINANCIAL;;;;;6685,4;;;
2020-07-02;CLPU20;BRBMEFCLP305;FINANCIAL;;;;;6694,5;;;
2020-07-02;CLPV20;BRBMEFCLP313;FINANCIAL;;;;;6704,8;;;
2020-07-02;CMIGPN20;BRCMIG470011;FINANCIAL;11,1;11,31;11,22;11,1;11,13;;22;25300
2020-07-02;CMIGPQ20;BRCMIG480010;FINANCIAL;11,24;11,26;11,25;11,26;11,15;;2;2400
2020-07-02;CNHQ20;BRBMEFCNH0J4;FINANCIAL;;;;;7080,338;;;
2020-07-02;CNHU20;BRBMEFCNH0K2;FINANCIAL;;;;;7093,363;;;
2020-07-02;CNHV20;BRBMEFCNH0L0;FINANCIAL;;;;;7104,487;;;
2020-07-02;CNYQ20;BRBMEFCNY2Z5;FINANCIAL;;;;;7584,73;;;
2020-07-02;CNYU20;BRBMEFCNY303;FINANCIAL;;;;;7577,81;;;
2020-07-02;CNYV20;BRBMEFCNY311;FINANCIAL;;;;;7571,865;;;
2020-07-02;COGNON20;BRCOGN370006;FINANCIAL;6,8;7,36;7,02;6,99;6,93;;316;95800
2020-07-02;COGNOQ20;BRCOGN380005;FINANCIAL;6,82;7,28;7,11;6,93;6,94;;30;39400
2020-07-02;DAPF21;BRBMEFDAP2R7;FINANCIAL;-1;-1;-1;-1;100543,87;;2;300
2020-07-02;DAPF22;BRBMEFDAP322;FINANCIAL;;;;;100525,76;;;
2020-07-02;DAPK21;BRBMEFDAP1K4;FINANCIAL;-0,66;-0,6;-0,61;-0,66;100583,25;;6;665
2020-07-02;DAPK23;BRBMEFDAP1G2;FINANCIAL;0,72;0,72;0,72;0,72;97946,13;;3;25
2020-07-02;DAPK25;BRBMEFDAP330;FINANCIAL;1,96;2,02;2,01;1,96;90843,95;;5;760
2020-07-02;DAPK35;BRBMEFDAP2L0;FINANCIAL;4,15;4,15;4,15;4,15;55134,64;;1;5
2020-07-02;DAPN20;BRBMEFDAP363;FINANCIAL;;;;;100048,92;;;
2020-07-02;DAPQ20;BRBMEFDAP0Z4;FINANCIAL;-2,49;-2,2;-2,22;-2,49;100320,71;;4;580
2020-07-02;DAPQ22;BRBMEFDAP116;FINANCIAL;0,39;0,42;0,4;0,39;99180,1;;9;570
2020-07-02;DAPQ24;BRBMEFDAP1F4;FINANCIAL;1,52;1,56;1,54;1,52;93954,14;;7;150
2020-07-02;DAPQ26;BRBMEFDAP1L2;FINANCIAL;2,42;2,43;2,42;2,42;86404,73;;15;455
2020-07-02;DAPQ28;BRBMEFDAP280;FINANCIAL;2,91;2,91;2,91;2,91;79206,66;;1;10
2020-07-02;DAPQ30;BRBMEFDAP1E7;FINANCIAL;3,29;3,29;3,29;3,29;72222,03;;1;5
2020-07-02;DAPU20;BRBMEFDAP371;FINANCIAL;;;;;100097,26;;;
2020-07-02;DCOF21;BRBMEFDCO0Q2;FINANCIAL;;;;;99434,88;;;
2020-07-02;DCOF22;BRBMEFDCO0R0;FINANCIAL;;;;;98243,89;;;
2020-07-02;DCOF23;BRBMEFDCO0S8;FINANCIAL;;;;;97019,51;;;
2020-07-02;DCOF24;BRBMEFDCO0T6;FINANCIAL;;;;;95650,25;;;
2020-07-02;DCOF25;BRBMEFDCO0U4;FINANCIAL;;;;;93947,07;;;
2020-07-02;DCOF26;BRBMEFDCO156;FINANCIAL;;;;;92224,69;;;
2020-07-02;DCOF27;BRBMEFDCO1S6;FINANCIAL;;;;;90014,94;;;
2020-07-02;DCOF28;BRBMEFDCO1P2;FINANCIAL;;;;;88064,82;;;
2020-07-02;DCOF29;BRBMEFDCO1R8;FINANCIAL;;;;;85979,72;;;
2020-07-02;DCOF30;BRBMEFDCO1Q0;FINANCIAL;;;;;83969,75;;;
2020-07-02;DCOF31;BRBMEFDCO313;FINANCIAL;;;;;82360,34;;;
2020-07-02;DCOF33;BRBMEFDCO3D4;FINANCIAL;;;;;78959,84;;;
2020-07-02;DCOF35;BRBMEFDCO3C6;FINANCIAL;;;;;75294,42;;;
2020-07-02;DCOG21;BRBMEFDCO3E2;FINANCIAL;;;;;99338,63;;;
2020-07-02;DCOH21;BRBMEFDCO3F9;FINANCIAL;;;;;99246,12;;;
2020-07-02;DCOJ21;BRBMEFDCO214;FINANCIAL;;;;;99150,36;;;
2020-07-02;DCOJ22;BRBMEFDCO2B0;FINANCIAL;;;;;97951,61;;;
2020-07-02;DCOJ23;BRBMEFDCO2P0;FINANCIAL;;;;;96732,46;;;
2020-07-02;DCOJ24;BRBMEFDCO354;FINANCIAL;;;;;95323,81;;;
2020-07-02;DCOJ25;BRBMEFDCO3G7;FINANCIAL;;;;;93556,02;;;
2020-07-02;DCOK21;BRBMEFDCO3H5;FINANCIAL;;;;;99051,72;;;
2020-07-02;DCOM21;BRBMEFDCO3I3;FINANCIAL;;;;;98962,49;;;
2020-07-02;DCON21;BRBMEFDCO115;FINANCIAL;;;;;98850,59;;;
2020-07-02;DCON22;BRBMEFDCO2D6;FINANCIAL;;;;;97666,26;;;
2020-07-02;DCON23;BRBMEFDCO2H7;FINANCIAL;;;;;96475,43;;;
2020-07-02;DCON24;BRBMEFDCO2G9;FINANCIAL;;;;;94809,2;;;
2020-07-02;DCON25;BRBMEFDCO2U0;FINANCIAL;;;;;93196,64;;;
2020-07-02;DCON26;BRBMEFDCO2V8;FINANCIAL;;;;;91332,54;;;
2020-07-02;DCOQ20;BRBMEFDCO370;FINANCIAL;;;;;99857,09;;;
2020-07-02;DCOU20;BRBMEFDCO388;FINANCIAL;;;;;99793,7;;;
2020-07-02;DCOV20;BRBMEFDCO1G1;FINANCIAL;;;;;99720,2;;;
2020-07-02;DCOV21;BRBMEFDCO255;FINANCIAL;;;;;98551,94;;;
2020-07-02;DCOV22;BRBMEFDCO2I5;FINANCIAL;;;;;97329,92;;;
2020-07-02;DCOV23;BRBMEFDCO2Y2;FINANCIAL;;;;;96011,21;;;
2020-07-02;DCOV24;BRBMEFDCO396;FINANCIAL;;;;;94461,61;;;
2020-07-02;DCOX20;BRBMEFDCO3A0;FINANCIAL;;;;;99622,54;;;
2020-07-02;DCOZ20;BRBMEFDCO3B8;FINANCIAL;;;;;99550,25;;;
2020-07-02;DDIF21;BRBMEFDDI2I2;FINANCIAL;;;;;99434,88;;;
2020-07-02;DDIF22;BRBMEFDDI1P9;FINANCIAL;;;;;98243,89;;;
2020-07-02;DDIF23;BRBMEFDDI388;FINANCIAL;;;;;97019,51;;;
2020-07-02;DDIF24;BRBMEFDDI362;FINANCIAL;;;;;95650,25;;;
2020-07-02;DDIF25;BRBMEFDDI321;FINANCIAL;;;;;93947,07;;;
2020-07-02;DDIF26;BRBMEFDDI4C1;FINANCIAL;;;;;92224,69;;;
2020-07-02;DDIF27;BRBMEFDDI4X7;FINANCIAL;;;;;90014,94;;;
2020-07-02;DDIF28;BRBMEFDDI4Z2;FINANCIAL;;;;;88064,82;;;
2020-07-02;DDIF29;BRBMEFDDI4W9;FINANCIAL;;;;;85979,72;;;
2020-07-02;DDIF30;BRBMEFDDI4Y5;FINANCIAL;;;;;83969,75;;;
2020-07-02;DDIF31;BRBMEFDDI693;FINANCIAL;;;;;82360,34;;;
2020-07-02;DDIF33;BRBMEFDDI6L7;FINANCIAL;;;;;78959,84;;;
2020-07-02;DDIF35;BRBMEFDDI6K9;FINANCIAL;;;;;75294,42;;;
2020-07-02;DDIG21;BRBMEFDDI6M5;FINANCIAL;;;;;99338,63;;;
2020-07-02;DDIH21;BRBMEFDDI6N3;FINANCIAL;;;;;99246,12;;;
2020-07-02;DDIJ21;BRBMEFDDI586;FINANCIAL;;;;;99150,36;;;
2020-07-02;DDIJ22;BRBMEFDDI5I5;FINANCIAL;;;;;97951,61;;;
2020-07-02;DDIJ23;BRBMEFDDI5W6;FINANCIAL;;;;;96732,46;;;
2020-07-02;DDIJ24;BRBMEFDDI6D4;FINANCIAL;;;;;95323,81;;;
