RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-17;AFSQ20;BRBMEFAFS0J3;FINANCIAL;;;;;16706,5;;;
2020-07-17;AFSU20;BRBMEFAFS0K1;FINANCIAL;;;;;16761,9;;;
2020-07-17;AFSV20;BRBMEFAFS0L9;FINANCIAL;;;;;16813,1;;;
2020-07-17;ARBQ20;BRBMEFARB0J8;FINANCIAL;;;;;73,894;;;
2020-07-17;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;70,611;;;
2020-07-17;ARBV20;BRBMEFARB0L4;FINANCIAL;;;;;67,229;;;
2020-07-17;ARSQ20;BRBMEFARS086;FINANCIAL;;;;;72877,4;;;
2020-07-17;ARSU20;BRBMEFARS094;FINANCIAL;;;;;76345,8;;;
2020-07-17;ARSV20;BRBMEFARS0A8;FINANCIAL;;;;;80261,5;;;
2020-07-17;AUDQ20;BRBMEFAUD3E6;FINANCIAL;;;;;3769,862;;;
2020-07-17;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3774,257;;;
2020-07-17;AUDV20;BRBMEFAUD3G1;FINANCIAL;;;;;3778,106;;;
2020-07-17;AUSQ20;BRBMEFAUS0J4;FINANCIAL;698,4;700,2;700,13;700,2;700,044;;8;1202
2020-07-17;AUSU20;BRBMEFAUS0K2;FINANCIAL;;;;;700,126;;;
2020-07-17;AUSV20;BRBMEFAUS0L0;FINANCIAL;699,9;699,9;699,9;699,9;700,182;;1;643
2020-07-17;B3SAON20;BRB3SA370015;FINANCIAL;62,49;63,88;63,36;63,85;63,9;;58;13000
2020-07-17;B3SAOQ20;BRB3SA380014;FINANCIAL;62,17;64,11;63,38;63,79;64;;65;14700
2020-07-17;B3SAOU20;BRB3SA390013;FINANCIAL;;;;;64,11;;;
2020-07-17;BGIF21;BRBMEFBGI5R5;AGRIBUSINESS;;;;;216,7;;;
2020-07-17;BGIG21;BRBMEFBGI5S3;AGRIBUSINESS;;;;;215,15;;;
2020-07-17;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;;;;;213,3;;;
2020-07-17;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;;;;;211,7;;;
2020-07-17;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;210;210;210;210;210;;2;2
2020-07-17;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;213;213;213;213;213;;3;29
2020-07-17;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;217,65;218,9;218,31;218,9;218,6;;87;219
2020-07-17;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;216,7;218,25;217,41;218;217,9;;34;65
2020-07-17;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;216,65;217,4;217,02;217,4;217,05;;2;2
2020-07-17;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;216;217,55;216,85;217,55;217,5;;228;568
2020-07-17;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;216;217,5;216,46;217;217,05;;16;24
2020-07-17;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;;;;;218,35;;;
2020-07-17;BRIQ20;BRBMEFBRI2U3;FINANCIAL;;;;;16865;;;
2020-07-17;BRIV20;BRBMEFBRI2V1;FINANCIAL;;;;;16909;;;
2020-07-17;CADQ20;BRBMEFCAD3D0;FINANCIAL;;;;;3966,872;;;
2020-07-17;CADU20;BRBMEFCAD3E8;FINANCIAL;;;;;3971,378;;;
2020-07-17;CADV20;BRBMEFCAD3F5;FINANCIAL;;;;;3975,454;;;
2020-07-17;CANQ20;BRBMEFCAN0J1;FINANCIAL;1357,3;1357,3;1357,3;1357,3;1357,538;;2;369
2020-07-17;CANU20;BRBMEFCAN0K9;FINANCIAL;;;;;1357,42;;;
2020-07-17;CANV20;BRBMEFCAN0L7;FINANCIAL;;;;;1357,302;;;
2020-07-17;CCMF21;BRBMEFCCP247;AGRIBUSINESS;50;50,59;50,16;50,5;50,81;;37;186
2020-07-17;CCMH21;BRBMEFCCP254;AGRIBUSINESS;50,3;50,8;50,41;50,7;50,9;;8;47
2020-07-17;CCMK21;BRBMEFCCP270;AGRIBUSINESS;;;;;48,49;;;
2020-07-17;CCMN21;BRBMEFCCP288;AGRIBUSINESS;46;46;46;46;44,7;;2;2
2020-07-17;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;46,62;48,09;47,35;47,84;47,79;;1625;3531
2020-07-17;CCMU21;BRBMEFCCP262;AGRIBUSINESS;44;44;44;44;44;;2;10
2020-07-17;CCMX20;BRBMEFCCP239;AGRIBUSINESS;48,26;49,2;48,72;49;49;;179;510
2020-07-17;CCROON20;BRCCRO370014;FINANCIAL;14,59;14,65;14,6;14,65;14,75;;5;4200
2020-07-17;CCROOQ20;BRCCRO380013;FINANCIAL;14,61;14,79;14,69;14,79;14,77;;20;11900
2020-07-17;CCROOU20;BRCCRO390012;FINANCIAL;14,81;14,81;14,81;14,81;14,8;;1;700
2020-07-17;CHFQ20;BRBMEFCHF2Z6;FINANCIAL;;;;;5741,131;;;
2020-07-17;CHFU20;BRBMEFCHF304;FINANCIAL;;;;;5752,671;;;
2020-07-17;CHFV20;BRBMEFCHF312;FINANCIAL;;;;;5763,609;;;
2020-07-17;CHLQ20;BRBMEFCHL0J6;FINANCIAL;;;;;786318,2;;;
2020-07-17;CHLU20;BRBMEFCHL0K4;FINANCIAL;;;;;786140,5;;;
2020-07-17;CHLV20;BRBMEFCHL0L2;FINANCIAL;;;;;785832,8;;;
2020-07-17;CIELON20;BRCIEL370016;FINANCIAL;4,97;5,16;5,06;5,16;5,26;;20;36700
2020-07-17;CIELOQ20;BRCIEL380015;FINANCIAL;4,91;5,29;5,03;5,29;5,26;;56;164100
2020-07-17;CIELOU20;BRCIEL390014;FINANCIAL;4,98;5,28;5,12;5,28;5,26;;3;9000
2020-07-17;CLPQ20;BRBMEFCLP2Z8;FINANCIAL;;;;;6848,6;;;
2020-07-17;CLPU20;BRBMEFCLP305;FINANCIAL;;;;;6857,4;;;
2020-07-17;CLPV20;BRBMEFCLP313;FINANCIAL;;;;;6866,5;;;
2020-07-17;CMIGPN20;BRCMIG470011;FINANCIAL;11,23;11,39;11,31;11,3;11,33;;27;16700
2020-07-17;CMIGPQ20;BRCMIG480010;FINANCIAL;11,25;11,42;11,34;11,32;11,35;;48;56400
2020-07-17;CMIGPU20;BRCMIG490019;FINANCIAL;11,27;11,41;11,35;11,34;11,37;;16;31200
2020-07-17;CNHQ20;BRBMEFCNH0J4;FINANCIAL;;;;;6995,583;;;
2020-07-17;CNHU20;BRBMEFCNH0K2;FINANCIAL;;;;;7008,187;;;
2020-07-17;CNHV20;BRBMEFCNH0L0;FINANCIAL;;;;;7020,046;;;
2020-07-17;CNYQ20;BRBMEFCNY2Z5;FINANCIAL;;;;;7700,542;;;
2020-07-17;CNYU20;BRBMEFCNY303;FINANCIAL;;;;;7694,359;;;
2020-07-17;CNYV20;BRBMEFCNY311;FINANCIAL;;;;;7688,037;;;
2020-07-17;COGNON20;BRCOGN370006;FINANCIAL;9,28;9,44;9,35;9,36;9,35;;22;30400
2020-07-17;COGNOQ20;BRCOGN380005;FINANCIAL;9,22;9,5;9,32;9,39;9,36;;96;129000
2020-07-17;COGNOU20;BRCOGN390004;FINANCIAL;;;;;9,38;;;
2020-07-17;DAPF21;BRBMEFDAP2R7;FINANCIAL;-1;-1;-1;-1;100499,77;;5;690
2020-07-17;DAPF22;BRBMEFDAP322;FINANCIAL;;;;;100631,64;;;
2020-07-17;DAPK21;BRBMEFDAP1K4;FINANCIAL;-0,69;-0,67;-0,68;-0,68;100562,05;;8;1125
2020-07-17;DAPK23;BRBMEFDAP1G2;FINANCIAL;0,75;0,75;0,75;0,75;97922,6;;11;680
2020-07-17;DAPK25;BRBMEFDAP330;FINANCIAL;1,82;1,86;1,84;1,84;91611,02;;14;1270
2020-07-17;DAPK35;BRBMEFDAP2L0;FINANCIAL;3,76;3,76;3,76;3,76;58131,73;;1;5
2020-07-17;DAPQ20;BRBMEFDAP0Z4;FINANCIAL;;;;;100239,52;;;
2020-07-17;DAPQ22;BRBMEFDAP116;FINANCIAL;0,28;0,31;0,28;0,31;99360,9;;7;1455
2020-07-17;DAPQ24;BRBMEFDAP1F4;FINANCIAL;1,45;1,45;1,45;1,45;94318,06;;10;353
2020-07-17;DAPQ26;BRBMEFDAP1L2;FINANCIAL;2,28;2,3;2,29;2,28;87215,81;;16;1050
2020-07-17;DAPQ28;BRBMEFDAP280;FINANCIAL;2,79;2,81;2,8;2,79;80117,82;;7;1475
2020-07-17;DAPQ30;BRBMEFDAP1E7;FINANCIAL;3,13;3,15;3,14;3,13;73529,96;;2;445
2020-07-17;DAPU20;BRBMEFDAP371;FINANCIAL;;;;;100117,64;;;
2020-07-17;DAPV20;BRBMEFDAP389;FINANCIAL;;;;;100145,69;;;
2020-07-17;DCOF21;BRBMEFDCO0Q2;FINANCIAL;;;;;100066,54;;;
2020-07-17;DCOF22;BRBMEFDCO0R0;FINANCIAL;;;;;98941,33;;;
2020-07-17;DCOF23;BRBMEFDCO0S8;FINANCIAL;;;;;97778,02;;;
2020-07-17;DCOF24;BRBMEFDCO0T6;FINANCIAL;;;;;96477,09;;;
2020-07-17;DCOF25;BRBMEFDCO0U4;FINANCIAL;;;;;95009,87;;;
2020-07-17;DCOF26;BRBMEFDCO156;FINANCIAL;;;;;93231,76;;;
2020-07-17;DCOF27;BRBMEFDCO1S6;FINANCIAL;;;;;91477,27;;;
2020-07-17;DCOF28;BRBMEFDCO1P2;FINANCIAL;;;;;89556,61;;;
2020-07-17;DCOF29;BRBMEFDCO1R8;FINANCIAL;;;;;87590,92;;;
2020-07-17;DCOF30;BRBMEFDCO1Q0;FINANCIAL;;;;;85686,87;;;
2020-07-17;DCOF31;BRBMEFDCO313;FINANCIAL;;;;;83810,16;;;
2020-07-17;DCOF33;BRBMEFDCO3D4;FINANCIAL;;;;;80461,74;;;
2020-07-17;DCOF35;BRBMEFDCO3C6;FINANCIAL;;;;;76876,92;;;
2020-07-17;DCOG21;BRBMEFDCO3E2;FINANCIAL;;;;;99977,89;;;
2020-07-17;DCOH21;BRBMEFDCO3F9;FINANCIAL;;;;;99892,92;;;
2020-07-17;DCOJ21;BRBMEFDCO214;FINANCIAL;;;;;99792,6;;;
2020-07-17;DCOJ22;BRBMEFDCO2B0;FINANCIAL;;;;;98634,46;;;
2020-07-17;DCOJ23;BRBMEFDCO2P0;FINANCIAL;;;;;97480,14;;;
2020-07-17;DCOJ24;BRBMEFDCO354;FINANCIAL;;;;;96131,3;;;
2020-07-17;DCOJ25;BRBMEFDCO3G7;FINANCIAL;;;;;94708,85;;;
2020-07-17;DCOK21;BRBMEFDCO3H5;FINANCIAL;;;;;99694,82;;;
2020-07-17;DCOM21;BRBMEFDCO3I3;FINANCIAL;;;;;99602,83;;;
2020-07-17;DCON21;BRBMEFDCO115;FINANCIAL;;;;;99527,22;;;
2020-07-17;DCON22;BRBMEFDCO2D6;FINANCIAL;;;;;98418,9;;;
2020-07-17;DCON23;BRBMEFDCO2H7;FINANCIAL;;;;;97141,4;;;
2020-07-17;DCON24;BRBMEFDCO2G9;FINANCIAL;;;;;95771,43;;;
2020-07-17;DCON25;BRBMEFDCO2U0;FINANCIAL;;;;;94399,49;;;
2020-07-17;DCON26;BRBMEFDCO2V8;FINANCIAL;;;;;92407,21;;;
2020-07-17;DCOQ20;BRBMEFDCO370;FINANCIAL;;;;;100451,59;;;
2020-07-17;DCOU20;BRBMEFDCO388;FINANCIAL;;;;;100387,38;;;
2020-07-17;DCOV20;BRBMEFDCO1G1;FINANCIAL;;;;;100317,67;;;
2020-07-17;DCOV21;BRBMEFDCO255;FINANCIAL;;;;;99258,29;;;
2020-07-17;DCOV22;BRBMEFDCO2I5;FINANCIAL;;;;;98063,14;;;
2020-07-17;DCOV23;BRBMEFDCO2Y2;FINANCIAL;;;;;96847,09;;;
2020-07-17;DCOV24;BRBMEFDCO396;FINANCIAL;;;;;95397,57;;;
2020-07-17;DCOX20;BRBMEFDCO3A0;FINANCIAL;;;;;100233,68;;;
2020-07-17;DCOZ20;BRBMEFDCO3B8;FINANCIAL;;;;;100163,91;;;
2020-07-17;DDIF21;BRBMEFDDI2I2;FINANCIAL;;;;;100066,54;;;
2020-07-17;DDIF22;BRBMEFDDI1P9;FINANCIAL;;;;;98941,33;;;
2020-07-17;DDIF23;BRBMEFDDI388;FINANCIAL;;;;;97778,02;;;
2020-07-17;DDIF24;BRBMEFDDI362;FINANCIAL;;;;;96477,09;;;
2020-07-17;DDIF25;BRBMEFDDI321;FINANCIAL;;;;;95009,87;;;
2020-07-17;DDIF26;BRBMEFDDI4C1;FINANCIAL;;;;;93231,76;;;
2020-07-17;DDIF27;BRBMEFDDI4X7;FINANCIAL;;;;;91477,27;;;
2020-07-17;DDIF28;BRBMEFDDI4Z2;FINANCIAL;;;;;89556,61;;;
2020-07-17;DDIF29;BRBMEFDDI4W9;FINANCIAL;;;;;87590,92;;;
2020-07-17;DDIF30;BRBMEFDDI4Y5;FINANCIAL;;;;;85686,87;;;
2020-07-17;DDIF31;BRBMEFDDI693;FINANCIAL;;;;;83810,16;;;
2020-07-17;DDIF33;BRBMEFDDI6L7;FINANCIAL;;;;;80461,74;;;
2020-07-17;DDIF35;BRBMEFDDI6K9;FINANCIAL;;;;;76876,92;;;
2020-07-17;DDIG21;BRBMEFDDI6M5;FINANCIAL;;;;;99977,89;;;
2020-07-17;DDIH21;BRBMEFDDI6N3;FINANCIAL;;;;;99892,92;;;
2020-07-17;DDIJ21;BRBMEFDDI586;FINANCIAL;;;;;99792,6;;;
2020-07-17;DDIJ22;BRBMEFDDI5I5;FINANCIAL;;;;;98634,46;;;
2020-07-17;DDIJ23;BRBMEFDDI5W6;FINANCIAL;;;;;97480,14;;;
2020-07-17;DDIJ24;BRBMEFDDI6D4;FINANCIAL;;;;;96131,3;;;
2020-07-17;DDIJ25;BRBMEFDDI6O1;FINANCIAL;;;;;94708,85;;;
2020-07-17;DDIK21;BRBMEFDDI6P8;FINANCIAL;;;;;99694,82;;;
2020-07-17;DDIM21;BRBMEFDDI6Q6;FINANCIAL;;;;;99602,83;;;
2020-07-17;DDIN21;BRBMEFDDI487;FINANCIAL;;;;;99527,22;;;
2020-07-17;DDIN22;BRBMEFDDI5K1;FINANCIAL;;;;;98418,9;;;
2020-07-17;DDIN23;BRBMEFDDI5O3;FINANCIAL;;;;;97141,4;;;
2020-07-17;DDIN24;BRBMEFDDI5N5;FINANCIAL;;;;;95771,43;;;
2020-07-17;DDIN25;BRBMEFDDI628;FINANCIAL;;;;;94399,49;;;
2020-07-17;DDIN26;BRBMEFDDI636;FINANCIAL;;;;;92407,21;;;
2020-07-17;DDIQ20;BRBMEFDDI6F9;FINANCIAL;;;;;100451,59;;;
2020-07-17;DDIU20;BRBMEFDDI6G7;FINANCIAL;;;;;100387,38;;;
2020-07-17;DDIV20;BRBMEFDDI4M0;FINANCIAL;;;;;100317,67;;;
2020-07-17;DDIV21;BRBMEFDDI5C8;FINANCIAL;;;;;99258,29;;;
2020-07-17;DDIV22;BRBMEFDDI5P0;FINANCIAL;;;;;98063,14;;;
2020-07-17;DDIV23;BRBMEFDDI669;FINANCIAL;;;;;96847,09;;;
2020-07-17;DDIV24;BRBMEFDDI6H5;FINANCIAL;;;;;95397,57;;;
2020-07-17;DDIX20;BRBMEFDDI6I3;FINANCIAL;1,42;1,42;1,42;1,42;100233,68;;1;3000
2020-07-17;DDIZ20;BRBMEFDDI6J1;FINANCIAL;;;;;100163,91;;;
