RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-06-23;AFSN20;BRBMEFAFS0I5;FINANCIAL;17226;17226;17226;17226;17266,9;;1;265
2020-06-23;AFSQ20;BRBMEFAFS0J3;FINANCIAL;17330;17330;17330;17330;17326,7;;1;13
2020-06-23;AFSU20;BRBMEFAFS0K1;FINANCIAL;;;;;17378,3;;;
2020-06-23;ARBN20;BRBMEFARB0I0;FINANCIAL;;;;;72,739;;;
2020-06-23;ARBQ20;BRBMEFARB0J8;FINANCIAL;;;;;69,459;;;
2020-06-23;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;66,01;;;
2020-06-23;ARSN20;BRBMEFARS078;FINANCIAL;;;;;70724,6;;;
2020-06-23;ARSQ20;BRBMEFARS086;FINANCIAL;;;;;74136,4;;;
2020-06-23;ARSU20;BRBMEFARS094;FINANCIAL;;;;;78076,6;;;
2020-06-23;AUDN20;BRBMEFAUD3D8;FINANCIAL;;;;;3565,717;;;
2020-06-23;AUDQ20;BRBMEFAUD3E6;FINANCIAL;;;;;3569,418;;;
2020-06-23;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3572,574;;;
2020-06-23;AUSN20;BRBMEFAUS0I6;FINANCIAL;693;693,7;693,38;693,3;693,123;;4;50
2020-06-23;AUSQ20;BRBMEFAUS0J4;FINANCIAL;692,5;693,4;693,34;692,5;693,171;;2;323
2020-06-23;AUSU20;BRBMEFAUS0K2;FINANCIAL;;;;;693,187;;;
2020-06-23;B3SAON20;BRB3SA370015;FINANCIAL;50,87;52,51;51,93;52,5;52,36;;30;8100
2020-06-23;B3SAOQ20;BRB3SA380014;FINANCIAL;51,61;52,18;51,88;52,18;52,44;;3;900
2020-06-23;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;;;;;205,2;;;
2020-06-23;BGIM20;BRBMEFBGI5K0;AGRIBUSINESS;213,5;215,25;214,68;215;215;;99;226
2020-06-23;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;213,15;216,5;214,93;216,2;216;;141;397
2020-06-23;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;212,45;213,75;213,45;213,5;213;;17;52
2020-06-23;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;213,4;213,4;213,4;213,4;214,1;;2;5
2020-06-23;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;211,5;214,3;212,96;214,05;214;;464;1350
2020-06-23;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;;;;;214,8;;;
2020-06-23;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;214;216;215;216;214,8;;4;20
2020-06-23;BRIQ20;BRBMEFBRI2U3;FINANCIAL;15739;15895;15882;15895;15710;;3;31
2020-06-23;BRIV20;BRBMEFBRI2V1;FINANCIAL;15950;15984;15967;15984;15753;;2;30
2020-06-23;CADN20;BRBMEFCAD3C2;FINANCIAL;;;;;3799,075;;;
2020-06-23;CADQ20;BRBMEFCAD3D0;FINANCIAL;;;;;3803,032;;;
