RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-07-06;AFSQ20;BRBMEFAFS0J3;FINANCIAL;;;;;17069,8;;;
2020-07-06;AFSU20;BRBMEFAFS0K1;FINANCIAL;;;;;17117,7;;;
2020-07-06;AFSV20;BRBMEFAFS0L9;FINANCIAL;;;;;17167,8;;;
2020-07-06;ARBQ20;BRBMEFARB0J8;FINANCIAL;;;;;73,025;;;
2020-07-06;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;69,888;;;
2020-07-06;ARBV20;BRBMEFARB0L4;FINANCIAL;;;;;66,563;;;
2020-07-06;ARSQ20;BRBMEFARS086;FINANCIAL;;;;;73397,7;;;
2020-07-06;ARSU20;BRBMEFARS094;FINANCIAL;;;;;76773,9;;;
2020-07-06;ARSV20;BRBMEFARS0A8;FINANCIAL;;;;;80686,7;;;
2020-07-06;AUDQ20;BRBMEFAUD3E6;FINANCIAL;;;;;3737,379;;;
2020-07-06;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3741,69;;;
2020-07-06;AUDV20;BRBMEFAUD3G1;FINANCIAL;;;;;3745,469;;;
2020-07-06;AUSQ20;BRBMEFAUS0J4;FINANCIAL;697,5;698,1;698,03;697,9;697,294;;26;1666
2020-07-06;AUSU20;BRBMEFAUS0K2;FINANCIAL;;;;;697,349;;;
2020-07-06;AUSV20;BRBMEFAUS0L0;FINANCIAL;;;;;697,38;;;
2020-07-06;B3SAON20;BRB3SA370015;FINANCIAL;56,83;57,75;57,31;56,83;56,56;;16;3800
2020-07-06;B3SAOQ20;BRB3SA380014;FINANCIAL;57;58;57,57;57,74;56,65;;8;1000
2020-07-06;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;;;;;204,5;;;
2020-07-06;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;214,3;218,2;216,16;218;217,55;;192;569
2020-07-06;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;212;214;213,21;214;214,25;;9;23
2020-07-06;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;211;213;211,39;213;212,95;;26;673
2020-07-06;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;211;213,75;212,28;212,9;213,25;;291;599
2020-07-06;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;211,5;214;213,9;214;214;;12;131
2020-07-06;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;212,3;212,3;212,3;212,3;214,05;;4;611
2020-07-06;BRIQ20;BRBMEFBRI2U3;FINANCIAL;;;;;16198;;;
2020-07-06;BRIV20;BRBMEFBRI2V1;FINANCIAL;;;;;16243;;;
