RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-06-26;AALR3;BRAALRACNOR6;AALR;1508865;11,2557793;1;16983451,55
2020-06-26;ABCB4;BRABCBACNPR4;ABCB;2538147;14,3324031;1;36377746,06
2020-06-26;ABEV3;BRABEVACNOR1;ABEV;121487812;13,1840616;1;1601702808,58
2020-06-26;ADHM3;BRADHMACNOR9;ADHM;376;2,5657978;1;964,74
2020-06-26;AFLT3;BRAFLTACNOR1;AFLT;18;12,2333333;1;220,2
2020-06-26;AGRO3;BRAGROACNOR7;AGRO;451895;19,2411697;1;8694988,42
2020-06-26;ALPA3;BRALPAACNOR0;ALPA;250;24,04;1;6010
2020-06-26;ALPA4;BRALPAACNPR7;ALPA;4098922;28,1079339;1;115212228,92
2020-06-26;ALPK3;BRALPKACNOR9;ALPK;3553;9,6343484;1;34230,84
2020-06-26;ALSO3;BRALSOACNOR5;ALSO;3583329;27,7979488;1;99609196,4
2020-06-26;ALUP11;BRALUPCDAM15;ALUP;2495431;24,101774;1;60144314,05
2020-06-26;ALUP3;BRALUPACNOR8;ALUP;4625;9,7249232;1;44977,77
2020-06-26;ALUP4;BRALUPACNPR5;ALUP;443;7,2294582;1;3202,65
2020-06-26;AMAR3;BRAMARACNOR4;AMAR;10466354;7,4704994;1;78188892,02
2020-06-26;ANIM3;BRANIMACNOR6;ANIM;2522329;24,3210599;1;61345714,88
2020-06-26;APER3;BRAPERACNOR9;APER;60841;21,1615765;1;1287491,48
2020-06-26;ARZZ3;BRARZZACNOR3;ARZZ;1296315;44,1346092;1;57212355,94
2020-06-26;ATMP3;BRATMPACNOR8;ATMP;57;5,0289473;1;286,65
2020-06-26;ATOM3;BRATOMACNOR1;ATOM;13944;1,790555;1;24967,5
2020-06-26;AZEV3;BRAZEVACNOR0;AZEV;2500;12,894;1;32235
2020-06-26;AZEV4;BRAZEVACNPR7;AZEV;20284;5,6616554;1;114841,02
2020-06-26;AZUL4;BRAZULACNPR4;AZUL;22922229;21,4582431;1;491870763,91
