RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-08-04;AALR3;BRAALRACNOR6;AALR;992382;11,0968661;1;11012330,26
2020-08-04;AAPL34;BRAAPLBDR004;AAPL;5090;197,3185265;1;1004351,3
2020-08-04;ABCB4;BRABCBACNPR4;ABCB;2368598;14,4843351;1;34307567,26
2020-08-04;ABEV3;BRABEVACNOR1;ABEV;101672513;14,4611433;1;1470300780,36
2020-08-04;ADHM3;BRADHMACNOR9;ADHM;200;2,37;1;474
2020-08-04;AFLT3;BRAFLTACNOR1;AFLT;25;10,65;1;266,25
2020-08-04;AGRO3;BRAGROACNOR7;AGRO;548051;21,3833312;1;11719156,08
2020-08-04;ALPA3;BRALPAACNOR0;ALPA;331;25,0249848;1;8283,27
2020-08-04;ALPA4;BRALPAACNPR7;ALPA;3715735;29,4582109;1;109458905,53
2020-08-04;ALPK3;BRALPKACNOR9;ALPK;9509;9,5818645;1;91113,95
2020-08-04;ALSO3;BRALSOACNOR5;ALSO;4518319;28,8938944;1;130551832,13
2020-08-04;ALUP11;BRALUPCDAM15;ALUP;2508723;24,0111988;1;60237446,79
2020-08-04;ALUP3;BRALUPACNOR8;ALUP;4000;9,753;1;39012
2020-08-04;ALUP4;BRALUPACNPR5;ALUP;70;7,12;1;498,4
2020-08-04;AMAR3;BRAMARACNOR4;AMAR;7242335;7,9226969;1;57378825,24
2020-08-04;AMBP3;BRAMBPACNOR6;AMBP;134004;29,2972799;1;3925952,7
2020-08-04;AMZO34;BRAMZOBDR002;AMZO;21;8280,3171428;1;173886,66
2020-08-04;ANIM3;BRANIMACNOR6;ANIM;4054953;26,5340953;1;107594509,48
2020-08-04;APER3;BRAPERACNOR9;APER;64218;32,3230762;1;2075723,31
2020-08-04;ARZZ3;BRARZZACNOR3;ARZZ;2656139;51,338192;1;136361374,02
2020-08-04;ATMP3;BRATMPACNOR8;ATMP;57;4,9214035;1;280,52
2020-08-04;ATOM3;BRATOMACNOR1;ATOM;8656;2,9288378;1;25352,02
2020-08-04;AURA32;BRAURABDR001;AURA;143568;820;1;117725760
2020-08-04;AZEV4;BRAZEVACNPR7;AZEV;5097;4,6684304;1;23794,99
2020-08-04;AZUL4;BRAZULACNPR4;AZUL;18959259;21,1055219;1;400145057,63
2020-08-04;B3SA3;BRB3SAACNOR6;B3SA;12841886;60,7764058;1;780483675,55
2020-08-04;BAHI3;BRBAHIACNOR1;BAHI;10;132,982;1;1329,82
2020-08-04;BAUH4;BRBAUHACNPR3;BAUH;1;88,55;1;88,55
2020-08-04;BAZA3;BRBAZAACNOR0;BAZA;13;37,38;1;485,94
2020-08-04;BBAS3;BRBBASACNOR3;BBAS;16519847;32,9811099;1;544842889,57
2020-08-04;BBDC3;BRBBDCACNOR1;BBDC;10710290;20,0214464;1;214435497,418605
