RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-10;AALR3;BRAALRACNOR6;AALR;1935891;10,8719389;1;21046888,79
2020-07-10;AAPL34;BRAAPLBDR004;AAPL;1610;203,0645341;1;326933,9
2020-07-10;ABCB4;BRABCBACNPR4;ABCB;2453580;14,4266351;1;35396903,49
2020-07-10;ABEV3;BRABEVACNOR1;ABEV;138092220;13,7510827;1;1898917537,45
2020-07-10;ADHM3;BRADHMACNOR9;ADHM;100;2,54;1;254
2020-07-10;AGRO3;BRAGROACNOR7;AGRO;406198;21,0571907;1;8553388,75
2020-07-10;ALPA3;BRALPAACNOR0;ALPA;337;24,2723442;1;8179,78
2020-07-10;ALPA4;BRALPAACNPR7;ALPA;3730719;28,6548165;1;106903068,59
2020-07-10;ALPK3;BRALPKACNOR9;ALPK;7587;9,5810504;1;72691,43
2020-07-10;ALSO3;BRALSOACNOR5;ALSO;3527057;28,1277427;1;99208152,01
2020-07-10;ALUP11;BRALUPCDAM15;ALUP;2920816;24,1035401;1;70402005,78
2020-07-10;ALUP3;BRALUPACNOR8;ALUP;4200;9,7088095;1;40777
2020-07-10;ALUP4;BRALUPACNPR5;ALUP;72;7,2472222;1;521,8
2020-07-10;AMAR3;BRAMARACNOR4;AMAR;7968098;8,1065793;1;64594019,04
2020-07-10;AMZO34;BRAMZOBDR002;AMZO;20;7781,84;1;155636,8
2020-07-10;ANIM3;BRANIMACNOR6;ANIM;2868270;24,8218543;1;71195780,21
2020-07-10;APER3;BRAPERACNOR9;APER;56030;26,0528615;1;1459741,83
2020-07-10;ARZZ3;BRARZZACNOR3;ARZZ;2431356;48,2003885;1;117192303,93
2020-07-10;ATMP3;BRATMPACNOR8;ATMP;57;5,0377192;1;287,15
2020-07-10;ATOM3;BRATOMACNOR1;ATOM;4194;1,9659895;1;8245,36
2020-07-10;ATTB34;BRATTBBDR007;ATTB;3836;158,59;1;608351,24
2020-07-10;AURA32;BRAURABDR001;AURA;143568;820;1;117725760
2020-07-10;AZEV3;BRAZEVACNOR0;AZEV;4057;13,5319226;1;54899,01
2020-07-10;AZEV4;BRAZEVACNPR7;AZEV;24389;5,3072204;1;129437,8
2020-07-10;AZUL4;BRAZULACNPR4;AZUL;19302374;21,2969721;1;411082121,42
2020-07-10;B3SA3;BRB3SAACNOR6;B3SA;20597317;51,1132417;1;1052795642,88
2020-07-10;BAHI3;BRBAHIACNOR1;BAHI;101;88;1;8888
2020-07-10;BALM4;BRBALMACNPR2;BALM;184;9,8250543;1;1807,81
2020-07-10;BAUH4;BRBAUHACNPR3;BAUH;1;83;1;83
2020-07-10;BAZA3;BRBAZAACNOR0;BAZA;55;35,92;1;1975,6
2020-07-10;BBAS3;BRBBASACNOR3;BBAS;21886708;31,6601468;1;692936390,41
2020-07-10;BBDC3;BRBBDCACNOR1;BBDC;10483807;19,341293;1;202770383,614186
2020-07-10;BBDC4;BRBBDCACNPR8;BBDC;144962896;21,5394411;1;3122419767,76742
2020-07-10;BBRK3;BRBBRKACNOR4;BBRK;639569;2,5841874;1;1652766,18
2020-07-10;BBSD11;BRBBSDCTF000;BBSD;12221;82,7589747;1;1011397,43
2020-07-10;BBSE3;BRBBSEACNOR5;BBSE;17722741;27,9863411;1;495994674,97
2020-07-10;BEEF3;BRBEEFACNOR6;BEEF;9921067;12,9928397;1;128902833,23
2020-07-10;BEES3;BRBEESACNOR9;BEES;1630;6,0387484;1;9843,16
2020-07-10;BEES4;BRBEESACNPR6;BEES;5;6,22;1;31,1
2020-07-10;BGIP4;BRBGIPACNPR8;BGIP;39;31,17;1;1215,63
2020-07-10;BIDI11;BRBIDICDAXX3;BIDI;3423096;39,0166265;1;133557658,11
