RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-16;AALR3;BRAALRACNOR6;AALR;1931384;10,8621456;1;20978974,29
2020-07-16;AAPL34;BRAAPLBDR004;AAPL;1590;203,2081761;1;323101
2020-07-16;ABCB4;BRABCBACNPR4;ABCB;2643612;14,4271104;1;38139682,43
2020-07-16;ABEV3;BRABEVACNOR1;ABEV;134362821;13,7805088;1;1851588042,01
2020-07-16;ABUD34;BRABUDBDR009;ABUD;400;291,87;1;116748
2020-07-16;ADHM3;BRADHMACNOR9;ADHM;100;2,41;1;241
2020-07-16;AGRO3;BRAGROACNOR7;AGRO;370945;21,1405408;1;7841977,94
2020-07-16;ALPA3;BRALPAACNOR0;ALPA;337;24,2723442;1;8179,78
2020-07-16;ALPA4;BRALPAACNPR7;ALPA;3310241;28,746857;1;95159024,93
2020-07-16;ALPK3;BRALPKACNOR9;ALPK;12750;9,5831513;1;122185,18
2020-07-16;ALSO3;BRALSOACNOR5;ALSO;3213783;28,2553719;1;90806633,88
2020-07-16;ALUP11;BRALUPCDAM15;ALUP;2810923;23,9311855;1;67268719,92
2020-07-16;ALUP3;BRALUPACNOR8;ALUP;4000;9,70375;1;38815
2020-07-16;ALUP4;BRALUPACNPR5;ALUP;2667;7,2013123;1;19205,9
2020-07-16;AMAR3;BRAMARACNOR4;AMAR;7014476;8,0996224;1;56814607,58
2020-07-16;AMBP3;BRAMBPACNOR6;AMBP;17439;31,4810178;1;548997,47
2020-07-16;AMZO34;BRAMZOBDR002;AMZO;4;8122,54;1;32490,16
2020-07-16;ANIM3;BRANIMACNOR6;ANIM;2654489;24,737948;1;65666611,08
2020-07-16;APER3;BRAPERACNOR9;APER;74830;32,0447348;1;2397907,51
2020-07-16;ARZZ3;BRARZZACNOR3;ARZZ;3411567;50,226965;1;171352656,42
2020-07-16;ATMP3;BRATMPACNOR8;ATMP;57;4,9810526;1;283,92
2020-07-16;ATOM3;BRATOMACNOR1;ATOM;1979;2,0398534;1;4036,87
2020-07-16;ATTB34;BRATTBBDR007;ATTB;3796;158,59;1;602007,64
2020-07-16;AURA32;BRAURABDR001;AURA;143568;820;1;117725760
2020-07-16;AZEV3;BRAZEVACNOR0;AZEV;2671;13,7593972;1;36751,35
2020-07-16;AZEV4;BRAZEVACNPR7;AZEV;19477;5,1553822;1;100411,38
2020-07-16;AZUL4;BRAZULACNPR4;AZUL;17696239;21,4408332;1;379422109,34
2020-07-16;B3SA3;BRB3SAACNOR6;B3SA;20557607;52,7811808;1;1085054773,92
2020-07-16;BAHI3;BRBAHIACNOR1;BAHI;201;92,5124378;1;18595
2020-07-16;BALM4;BRBALMACNPR2;BALM;1484;11,050539;1;16399
2020-07-16;BAUH4;BRBAUHACNPR3;BAUH;1;83;1;83
2020-07-16;BAZA3;BRBAZAACNOR0;BAZA;13;35,92;1;466,96
2020-07-16;BBAS3;BRBBASACNOR3;BBAS;20579340;31,5002746;1;648254862,35
2020-07-16;BBDC3;BRBBDCACNOR1;BBDC;10644259;19,3866294;1;206356305,04731
2020-07-16;BBDC4;BRBBDCACNPR8;BBDC;145993168;21,6518363;1;3161020176,90088
2020-07-16;BBRK3;BRBBRKACNOR4;BBRK;671035;2,5677992;1;1723083,17
2020-07-16;BBSD11;BRBBSDCTF000;BBSD;122;79,7920491;1;9734,63
2020-07-16;BBSE3;BRBBSEACNOR5;BBSE;16989578;27,8471295;1;473110979,72
2020-07-16;BCSA34;BRBCSABDR005;BCSA;47564;13,2100857;1;628324,52
2020-07-16;BEEF3;BRBEEFACNOR6;BEEF;11118661;13,0912936;1;145557655,68
2020-07-16;BEES3;BRBEESACNOR9;BEES;1720;6,0328139;1;10376,44
2020-07-16;BEES4;BRBEESACNPR6;BEES;1;6,22;1;6,22
2020-07-16;BGIP4;BRBGIPACNPR8;BGIP;97;32,0071134;1;3104,69
2020-07-16;BIDI11;BRBIDICDAXX3;BIDI;3386830;40,983806;1;138805183,73
2020-07-16;BIDI3;BRBIDIACNOR3;BIDI;42317;13,8188035;1;584770,31
2020-07-16;BIDI4;BRBIDIACNPR0;BIDI;3522477;13,0396299;1;45931796,44
2020-07-16;BIOM3;BRBIOMACNOR2;BIOM;16397;17,5846843;1;288336,07
2020-07-16;BKBR3;BRBKBRACNOR4;BKBR;10864334;11,3720983;1;123550274,24
2020-07-16;BMEB4;BRBMEBACNPR5;BMEB;116;14,3544827;1;1665,12
2020-07-16;BMGB4;BRBMGBACNPR0;BMGB;1947130;4,9936068;1;9723201,78
2020-07-16;BMIN4;BRBMINACNPR1;BMIN;1;19,8;1;19,8
2020-07-16;BOBR4;BRBOBRACNPR3;BOBR;74567;1,886954;1;140704,5
2020-07-16;BOVA11;BRBOVACTF003;BOVA;71023753;93,7108363;1;6655695292
2020-07-16;BOVB11;BRBOVBCTF001;BOVB;20740;100,8793553;1;2092237,83
2020-07-16;BOVV11;BRBOVVCTF009;BOVV;30823165;94,3351468;1;2907707797,12
2020-07-16;BPAC11;BRBPACUNT006;BPAC;6717770;77,1561426;1;518317220,32
2020-07-16;BPAC5;BRBPACACNPA0;BPAC;2463;21,762842;1;53601,88
2020-07-16;BPAN4;BRBPANACNPR1;BPAN;16372978;8,080547;1;132302619,23
2020-07-16;BRAP3;BRBRAPACNOR5;BRAP;11366;34,0259194;1;386738,6
2020-07-16;BRAP4;BRBRAPACNPR2;BRAP;6854832;36,4024932;1;249532975,29
2020-07-16;BRAX11;BRBRAXCTF002;BRAX;30420;75,9740844;1;2311131,65
2020-07-16;BRDT3;BRBRDTACNOR1;BRDT;8508123;21,1070603;1;179581465,97
2020-07-16;BRFS3;BRBRFSACNOR8;BRFS;29205951;20,892127;1;610174437,89
2020-07-16;BRKM3;BRBRKMACNOR1;BRKM;3005;24,7118469;1;74259,1
2020-07-16;BRKM5;BRBRKMACNPA4;BRKM;28438265;24,5273347;1;697514846,36
2020-07-16;BRML3;BRBRMLACNOR9;BRML;69390103;10,7307775;1;744609757,59
2020-07-16;BRPR3;BRBRPRACNOR9;BRPR;11087243;9,2345909;1;102386153,59
2020-07-16;BRSR3;BRBRSRACNOR3;BRSR;1000;17,318;1;17318
2020-07-16;BRSR6;BRBRSRACNPB4;BRSR;5172045;14,2688366;1;73799065,42
2020-07-16;BSEV3;BRBSEVACNOR3;BSEV;39607;3,6705776;1;145380,57
2020-07-16;BTOW3;BRBTOWACNOR8;BTOW;4341480;105,4812941;1;457944929
2020-07-16;BTTL3;BRBTTLACNOR0;BTTL;107;6,6641121;1;713,06
2020-07-16;CAMB3;BRCAMBACNOR4;CAMB;86086;4,6995784;1;404567,91
2020-07-16;CAML3;BRCAMLACNOR3;CAML;5203974;10,9822477;1;57151331,57
2020-07-16;CARD3;BRCARDACNOR9;CARD;262334;12,1137077;1;3177837,42
2020-07-16;CCPR3;BRCCPRACNOR9;CCPR;227735;14,5295566;1;3308888,59
2020-07-16;CCRO3;BRCCROACNOR2;CCRO;34462560;14,5636988;1;501902346,94
2020-07-16;CEAB3;BRCEABACNOR1;CEAB;2163773;10,6512363;1;23046857,67
2020-07-16;CESP3;BRCESPACNOR3;CESP;10985;29,1038889;1;319706,22
2020-07-16;CESP6;BRCESPACNPB4;CESP;2875066;28,161805;1;80967048,18
2020-07-16;CGAS5;BRCGASACNPA3;CGAS;1740;184,7793678;1;321516,1
2020-07-16;CGRA3;BRCGRAACNOR2;CGRA;500;25,51;1;12755
2020-07-16;CGRA4;BRCGRAACNPR9;CGRA;8100;24,1477777;1;195597
2020-07-16;CHKE34;BRCHKEBDR001;CHKE;30;65,47;1;1964,1
2020-07-16;CIEL3;BRCIELACNOR3;CIEL;92071519;4,8621655;1;447666966,3
2020-07-16;CLSC4;BRCLSCACNPR3;CLSC;847;58,9532113;1;49933,37
2020-07-16;CMCS34;BRCMCSBDR008;CMCS;40;219,34;1;8773,6
2020-07-16;CMIG3;BRCMIGACNOR6;CMIG;4497864;11,6395117;1;52352940,82
2020-07-16;CMIG4;BRCMIGACNPR3;CMIG;48064050;11,1444063;1;535645303,7
2020-07-16;CNTO3;BRCNTOACNOR5;CNTO;3146292;32,8475702;1;103348047,61
2020-07-16;COCE5;BRCOCEACNPA3;COCE;22050;57,0968027;1;1258984,5
2020-07-16;COGN3;BRCOGNACNOR2;COGN;137342865;7,2682265;1;998239056,83
2020-07-16;CPFE3;BRCPFEACNOR0;CPFE;6326015;31,0341594;1;196322558,43
2020-07-16;CPLE3;BRCPLEACNOR8;CPLE;202263;58,6001422;1;11852640,57
2020-07-16;CPLE6;BRCPLEACNPB9;CPLE;4826462;61,2327322;1;295537455,42
2020-07-16;CPRE3;BRCPREACNOR5;CPRE;100;18,22;1;1822
2020-07-16;CRFB3;BRCRFBACNOR2;CRFB;12159808;19,8710815;1;241628536,66
2020-07-16;CRIV4;BRCRIVACNPR1;CRIV;6;6,5;1;39
2020-07-16;CRPG5;BRCRPGACNPA3;CRPG;5893;22,1973663;1;130809,08
2020-07-16;CSAN3;BRCSANACNOR6;CSAN;10278533;73,3727631;1;754164367,29
2020-07-16;CSCO34;BRCSCOBDR004;CSCO;880;250,4;1;220352
2020-07-16;CSMG3;BRCSMGACNOR5;CSMG;4880561;58,007116;1;283107268,16
2020-07-16;CSNA3;BRCSNAACNOR6;CSNA;32552521;11,1739618;1;363740628,73
2020-07-16;CTKA3;BRCTKAACNOR0;CTKA;1;15,54;1;15,54
2020-07-16;CTKA4;BRCTKAACNPR7;CTKA;24;11,75;1;282
2020-07-16;CTNM4;BRCTNMACNPR6;CTNM;10600;6,2566037;1;66320
2020-07-16;CTSA3;BRCTSAACNOR3;CTSA;1;3,44;1;3,44
2020-07-16;CTSA4;BRCTSAACNPR0;CTSA;3673;3,3463925;1;12291,3
2020-07-16;CVCB3;BRCVCBACNOR1;CVCB;19140238;20,8723813;1;399502346,24
2020-07-16;CYRE3;BRCYREACNOR7;CYRE;24224830;23,8518454;1;577806900,17
2020-07-16;DIRR3;BRDIRRACNOR0;DIRR;7295508;13,9413001;1;101708866,7
2020-07-16;DIVO11;BRDIVOCTF002;DIVO;6566;57,0503091;1;374592,33
2020-07-16;DMMO3;BRDMMOACNOR0;DMMO;1685619;1,5393525;1;2594761,83
2020-07-16;DOHL4;BRDOHLACNPR9;DOHL;82;5,99;1;491,18
2020-07-16;DTEX3;BRDTEXACNOR3;DTEX;8967329;13,1713568;1;118111890,67
2020-07-16;EALT4;BREALTACNPR1;EALT;4898;4,85;1;23755,3
2020-07-16;ECOO11;BRECOOCTF008;ECOO;180;103,8816666;1;18698,7
2020-07-16;ECOR3;BRECORACNOR8;ECOR;10604834;13,4298802;1;142421650,62
2020-07-16;EGIE3;BREGIEACNOR9;EGIE;15304580;42,8529507;1;655846412,94
2020-07-16;ELET3;BRELETACNOR6;ELET;17978137;32,086606;1;576857399,21
2020-07-16;ELET6;BRELETACNPB7;ELET;13745692;34,235189;1;470586364,02
2020-07-16;EMAE4;BREMAEACNPR1;EMAE;1066;29,9889681;1;31968,24
2020-07-16;EMBR3;BREMBRACNOR4;EMBR;24264927;8,3914658;1;203618305,83
2020-07-16;ENAT3;BRENATACNOR0;ENAT;2680769;10,6339922;1;28507276,82
2020-07-16;ENBR3;BRENBRACNOR2;ENBR;19148915;17,6321508;1;337636557
2020-07-16;ENEV3;BRENEVACNOR8;ENEV;4290569;44,7585165;1;192039503,75
2020-07-16;ENGI11;BRENGICDAM16;ENGI;5345892;46,8501066;1;250455610,47
2020-07-16;ENGI3;BRENGIACNOR0;ENGI;213;12,1554929;1;2589,12
2020-07-16;ENGI4;BRENGIACNPR7;ENGI;33;8,86;1;292,38
