RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-06-16;AALR3;BRAALRACNOR6;AALR;1348747;11,7953197;1;15908902,11
2020-06-16;ABCB4;BRABCBACNPR4;ABCB;2542024;13,6544443;1;34709925,25
2020-06-16;ABEV3;BRABEVACNOR1;ABEV;154322017;12,7366091;1;1965539216,7
2020-06-16;ADHM3;BRADHMACNOR9;ADHM;156;2,5076923;1;391,2
2020-06-16;AFLT3;BRAFLTACNOR1;AFLT;212;10,38;1;2200,56
2020-06-16;AGRO3;BRAGROACNOR7;AGRO;330500;19,1581397;1;6331765,18
2020-06-16;ALPA3;BRALPAACNOR0;ALPA;286;20,9002797;1;5977,48
2020-06-16;ALPA4;BRALPAACNPR7;ALPA;2899394;26,1449823;1;75804604,89
2020-06-16;ALPK3;BRALPKACNOR9;ALPK;595;9,815042;1;5839,95
2020-06-16;ALSO3;BRALSOACNOR5;ALSO;3885206;26,2701406;1;102064908,24
2020-06-16;ALUP11;BRALUPCDAM15;ALUP;4360036;23,6972425;1;103320830,66
2020-06-16;ALUP3;BRALUPACNOR8;ALUP;4041;9,7306607;1;39321,6
2020-06-16;ALUP4;BRALUPACNPR5;ALUP;762;7,4811942;1;5700,67
2020-06-16;AMAR3;BRAMARACNOR4;AMAR;11336205;6,9980669;1;79331521,25
2020-06-16;ANIM3;BRANIMACNOR6;ANIM;2066606;21,8265914;1;45106964,76
2020-06-16;APER3;BRAPERACNOR9;APER;64229;20,6759219;1;1327993,79
2020-06-16;ARZZ3;BRARZZACNOR3;ARZZ;1085453;43,1195843;1;46804282,17
2020-06-16;ATMP3;BRATMPACNOR8;ATMP;176;5,0565909;1;889,96
2020-06-16;ATOM3;BRATOMACNOR1;ATOM;601;1,5054409;1;904,77
2020-06-16;AZEV3;BRAZEVACNOR0;AZEV;3407;19,1224126;1;65150,06
2020-06-16;AZEV4;BRAZEVACNPR7;AZEV;7008;5,6900485;1;39875,86
2020-06-16;AZUL4;BRAZULACNPR4;AZUL;10318649;19,120497;1;197297698,18
2020-06-16;B3SA3;BRB3SAACNOR6;B3SA;24423676;44,9320292;1;1097405324,46
2020-06-16;BAHI3;BRBAHIACNOR1;BAHI;201;70,6865671;1;14208
2020-06-16;BALM4;BRBALMACNPR2;BALM;184;9,3008152;1;1711,35
2020-06-16;BAUH4;BRBAUHACNPR3;BAUH;1;83;1;83
2020-06-16;BAZA3;BRBAZAACNOR0;BAZA;55;31,24;1;1718,2
2020-06-16;BBAS3;BRBBASACNOR3;BBAS;31049211;31,8060518;1;987552815,03
2020-06-16;BBDC3;BRBBDCACNOR1;BBDC;11591130;18,44691;1;213820532,734401
2020-06-16;BBDC4;BRBBDCACNPR8;BBDC;109250982;20,4321511;1;2232232572,46756
2020-06-16;BBRK3;BRBBRKACNOR4;BBRK;228811;2,4799472;1;567439,2
2020-06-16;BBSD11;BRBBSDCTF000;BBSD;151;71,2841721;1;10763,91
2020-06-16;BBSE3;BRBBSEACNOR5;BBSE;17824414;25,9281829;1;462154667,81
