RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-20;AALR3;BRAALRACNOR6;AALR;1800798;10,8770439;1;19587359,07
2020-07-20;AAPL34;BRAAPLBDR004;AAPL;1670;203,6685628;1;340126,5
2020-07-20;ABCB4;BRABCBACNPR4;ABCB;2616386;14,4442304;1;37791682,45
2020-07-20;ABEV3;BRABEVACNOR1;ABEV;135449225;13,8094993;1;1870485983,49
2020-07-20;ADHM3;BRADHMACNOR9;ADHM;100;2,41;1;241
2020-07-20;AGRO3;BRAGROACNOR7;AGRO;342615;21,0684249;1;7218358,42
2020-07-20;ALPA3;BRALPAACNOR0;ALPA;337;24,2723442;1;8179,78
2020-07-20;ALPA4;BRALPAACNPR7;ALPA;3386641;28,9025247;1;97882475,2
2020-07-20;ALPK3;BRALPKACNOR9;ALPK;7753;9,5785953;1;74262,85
2020-07-20;ALSO3;BRALSOACNOR5;ALSO;3213420;28,2522424;1;90786320,79
2020-07-20;ALUP11;BRALUPCDAM15;ALUP;2810690;23,9247623;1;67245090,17
2020-07-20;ALUP3;BRALUPACNOR8;ALUP;4000;9,70375;1;38815
2020-07-20;ALUP4;BRALUPACNPR5;ALUP;1153;7,1951431;1;8296
2020-07-20;AMAR3;BRAMARACNOR4;AMAR;8072965;8,1527165;1;65816595
2020-07-20;AMBP3;BRAMBPACNOR6;AMBP;34693;30,6225691;1;1062388,79
2020-07-20;AMZO34;BRAMZOBDR002;AMZO;24;8013,9816666;1;192335,56
2020-07-20;ANIM3;BRANIMACNOR6;ANIM;2669417;24,7967547;1;66192878,79
2020-07-20;APER3;BRAPERACNOR9;APER;61530;32,0900113;1;1974498,4
2020-07-20;ARZZ3;BRARZZACNOR3;ARZZ;3378383;50,7477663;1;171445391,26
2020-07-20;ATMP3;BRATMPACNOR8;ATMP;57;4,9810526;1;283,92
2020-07-20;ATOM3;BRATOMACNOR1;ATOM;4150;2,1448313;1;8901,05
2020-07-20;ATTB34;BRATTBBDR007;ATTB;120;162,82;1;19538,4
2020-07-20;AURA32;BRAURABDR001;AURA;143568;820;1;117725760
2020-07-20;AZEV3;BRAZEVACNOR0;AZEV;2187;13,7902697;1;30159,32
2020-07-20;AZEV4;BRAZEVACNPR7;AZEV;14580;4,9615555;1;72339,48
2020-07-20;AZUL4;BRAZULACNPR4;AZUL;19641645;21,537308;1;423028158,59
2020-07-20;B3SA3;BRB3SAACNOR6;B3SA;20577407;53,7019127;1;1105046114,31
2020-07-20;BAHI3;BRBAHIACNOR1;BAHI;101;88;1;8888
2020-07-20;BAUH4;BRBAUHACNPR3;BAUH;1;88,55;1;88,55
2020-07-20;BAZA3;BRBAZAACNOR0;BAZA;13;35,92;1;466,96
2020-07-20;BBAS3;BRBBASACNOR3;BBAS;21802625;31,8298687;1;693974692,36
2020-07-20;BBDC3;BRBBDCACNOR1;BBDC;11001854;19,4995306;1;214530989,273257
2020-07-20;BBDC4;BRBBDCACNPR8;BBDC;145533321;21,7459477;1;3164759988,88088
2020-07-20;BBRK3;BRBBRKACNOR4;BBRK;759797;2,5510636;1;1938290,51
2020-07-20;BBSD11;BRBBSDCTF000;BBSD;70;80,6857142;1;5648
2020-07-20;BBSE3;BRBBSEACNOR5;BBSE;15205714;27,8126504;1;422911207,69
2020-07-20;BCSA34;BRBCSABDR005;BCSA;4;13,48;1;53,92
2020-07-20;BEEF3;BRBEEFACNOR6;BEEF;11476406;13,1857635;1;151325175,89
2020-07-20;BEES3;BRBEESACNOR9;BEES;1620;6,0305185;1;9769,44
2020-07-20;BERK34;BRBERKBDR002;BERK;2;1018,95;1;2037,9
2020-07-20;BGIP4;BRBGIPACNPR8;BGIP;52;31,47;1;1636,44
