RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-06-19;AALR3;BRAALRACNOR6;AALR;1353646;11,3328254;1;15340633,87
2020-06-19;ABCB4;BRABCBACNPR4;ABCB;2542029;14,0377413;1;35684345,49
2020-06-19;ABEV3;BRABEVACNOR1;ABEV;119721858;12,9280738;1;1547773015,73
2020-06-19;ADHM3;BRADHMACNOR9;ADHM;100;2,54;1;254
2020-06-19;AFLT3;BRAFLTACNOR1;AFLT;11;10,3;1;113,3
2020-06-19;AGRO3;BRAGROACNOR7;AGRO;390732;19,2675045;1;7528430,58
2020-06-19;ALPA3;BRALPAACNOR0;ALPA;286;23,8373426;1;6817,48
2020-06-19;ALPA4;BRALPAACNPR7;ALPA;3907500;27,0608734;1;105740363,03
2020-06-19;ALPK3;BRALPKACNOR9;ALPK;3205;9,6580811;1;30954,15
2020-06-19;ALSO3;BRALSOACNOR5;ALSO;3596555;27,5455002;1;99068906,51
2020-06-19;ALUP11;BRALUPCDAM15;ALUP;2527911;24,0739758;1;60856868,3
2020-06-19;ALUP3;BRALUPACNOR8;ALUP;4440;9,7301126;1;43201,7
2020-06-19;ALUP4;BRALUPACNPR5;ALUP;381;7,217349;1;2749,81
2020-06-19;AMAR3;BRAMARACNOR4;AMAR;9899844;7,3088769;1;72356741,78
2020-06-19;ANIM3;BRANIMACNOR6;ANIM;2039888;22,4034145;1;45700456,59
2020-06-19;APER3;BRAPERACNOR9;APER;64729;20,745026;1;1342804,79
2020-06-19;ARZZ3;BRARZZACNOR3;ARZZ;1037728;43,1045551;1;44730803,81
2020-06-19;ATMP3;BRATMPACNOR8;ATMP;65;5,0401538;1;327,61
2020-06-19;ATOM3;BRATOMACNOR1;ATOM;9851;1,7859171;1;17593,07
2020-06-19;AZEV3;BRAZEVACNOR0;AZEV;3900;18;1;70200
2020-06-19;AZEV4;BRAZEVACNPR7;AZEV;21042;5,7176371;1;120310,52
2020-06-19;AZUL4;BRAZULACNPR4;AZUL;13971310;21,0041398;1;293455348,85
2020-06-19;B3SA3;BRB3SAACNOR6;B3SA;19804028;45,9326595;1;909651675,4
2020-06-19;BAHI3;BRBAHIACNOR1;BAHI;201;70,6865671;1;14208
2020-06-19;BALM4;BRBALMACNPR2;BALM;184;9,3008152;1;1711,35
2020-06-19;BAUH4;BRBAUHACNPR3;BAUH;1;83;1;83
