RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-06-15;AALR3;BRAALRACNOR6;AALR;1656193;11,886814;1;19686858,24
2020-06-15;ABCB4;BRABCBACNPR4;ABCB;2553985;13,5091624;1;34502198,33
2020-06-15;ABEV3;BRABEVACNOR1;ABEV;157437506;12,7420455;1;2006075866,3
2020-06-15;ADHM3;BRADHMACNOR9;ADHM;156;2,5076923;1;391,2
2020-06-15;AFLT3;BRAFLTACNOR1;AFLT;212;10,38;1;2200,56
2020-06-15;AGRO3;BRAGROACNOR7;AGRO;326203;19,1564193;1;6248881,46
2020-06-15;ALPA3;BRALPAACNOR0;ALPA;286;20,9002797;1;5977,48
2020-06-15;ALPA4;BRALPAACNPR7;ALPA;2995275;26,0153393;1;77923095,58
2020-06-15;ALPK3;BRALPKACNOR9;ALPK;772;9,801658;1;7566,88
2020-06-15;ALSO3;BRALSOACNOR5;ALSO;3911857;26,0254144;1;101807699,61
2020-06-15;ALUP11;BRALUPCDAM15;ALUP;3767711;23,7001294;1;89295238,25
2020-06-15;ALUP3;BRALUPACNOR8;ALUP;3183;9,7820012;1;31136,11
2020-06-15;ALUP4;BRALUPACNPR5;ALUP;762;7,4811942;1;5700,67
2020-06-15;AMAR3;BRAMARACNOR4;AMAR;11368999;6,9324849;1;78815414,37
2020-06-15;AMZO34;BRAMZOBDR002;AMZO;100;6483,71;1;648371
2020-06-15;ANIM3;BRANIMACNOR6;ANIM;2126822;21,5291398;1;45788648,18
2020-06-15;APER3;BRAPERACNOR9;APER;64229;20,6703636;1;1327636,79
2020-06-15;ARZZ3;BRARZZACNOR3;ARZZ;1137762;42,7972743;1;48693112,5
2020-06-15;ATMP3;BRATMPACNOR8;ATMP;164;5,0892682;1;834,64
2020-06-15;ATOM3;BRATOMACNOR1;ATOM;3327;1,7433183;1;5800,02
2020-06-15;AVGO34;BRAVGOBDR003;AVGO;900;301,11;1;270999
2020-06-15;AZEV3;BRAZEVACNOR0;AZEV;3407;19,1224126;1;65150,06
2020-06-15;AZEV4;BRAZEVACNPR7;AZEV;7021;5,6989075;1;40012,03
2020-06-15;AZUL4;BRAZULACNPR4;AZUL;11184222;19,306303;1;215925978,94
2020-06-15;B3SA3;BRB3SAACNOR6;B3SA;22331052;44,3598228;1;990601509,67
2020-06-15;BAHI3;BRBAHIACNOR1;BAHI;201;70,6865671;1;14208
2020-06-15;BALM4;BRBALMACNPR2;BALM;184;9,3008152;1;1711,35
2020-06-15;BAUH4;BRBAUHACNPR3;BAUH;1;83;1;83
2020-06-15;BAZA3;BRBAZAACNOR0;BAZA;55;31,24;1;1718,2
2020-06-15;BBAS3;BRBBASACNOR3;BBAS;30679350;31,8216707;1;976268173,63
2020-06-15;BBDC3;BRBBDCACNOR1;BBDC;11746620;18,4146503;1;216309900,354401
2020-06-15;BBDC4;BRBBDCACNPR8;BBDC;106804196;20,3679283;1;2175380208,21002
2020-06-15;BBRK3;BRBBRKACNOR4;BBRK;233211;2,474285;1;577030,5
2020-06-15;BBSD11;BRBBSDCTF000;BBSD;131;70,6512213;1;9255,31
2020-06-15;BBSE3;BRBBSEACNOR5;BBSE;20335258;25,7899718;1;524445731,36
2020-06-15;BEEF3;BRBEEFACNOR6;BEEF;8783734;12,8443411;1;112821276
2020-06-15;BEES3;BRBEESACNOR9;BEES;3229;5,9693093;1;19274,9
2020-06-15;BEES4;BRBEESACNPR6;BEES;51;6,052549;1;308,68
2020-06-15;BGIP4;BRBGIPACNPR8;BGIP;55;24,596;1;1352,78
