RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-22;CAML3;BRCAMLACNOR3;CAML;5205611;11,2927692;1;58785763,7
2020-07-22;CARD3;BRCARDACNOR9;CARD;278358;12,1528623;1;3382846,47
2020-07-22;CCPR3;BRCCPRACNOR9;CCPR;209140;15,6721532;1;3277674,13
2020-07-22;CCRO3;BRCCROACNOR2;CCRO;32438234;14,6180073;1;474182342,95
2020-07-22;CEAB3;BRCEABACNOR1;CEAB;2317580;10,646808;1;24674829,34
2020-07-22;CESP3;BRCESPACNOR3;CESP;11422;32,8504535;1;375217,88
2020-07-22;CESP6;BRCESPACNPB4;CESP;2925194;28,2322271;1;82584741,58
2020-07-22;CGAS5;BRCGASACNPA3;CGAS;4140;179,0478502;1;741258,1
2020-07-22;CGRA3;BRCGRAACNOR2;CGRA;501;25,5118163;1;12781,42
2020-07-22;CGRA4;BRCGRAACNPR9;CGRA;7800;24,0957692;1;187947
2020-07-22;CIEL3;BRCIELACNOR3;CIEL;102614781;4,9839486;1;511426801,52
2020-07-22;CLSC4;BRCLSCACNPR3;CLSC;405;58,0319753;1;23502,95
2020-07-22;CMCS34;BRCMCSBDR008;CMCS;80;226,97875;1;18158,3
2020-07-22;CMIG3;BRCMIGACNOR6;CMIG;3949526;11,6323427;1;45942240,14
2020-07-22;CMIG4;BRCMIGACNPR3;CMIG;48740018;11,1378497;1;542858997,76
2020-07-22;CNTO3;BRCNTOACNOR5;CNTO;4147789;32,4289693;1;134508522,15
2020-07-22;COCE5;BRCOCEACNPA3;COCE;27076;59,9945715;1;1624413,02
2020-07-22;COGN3;BRCOGNACNOR2;COGN;148050391;7,848637;1;1161993779,28
2020-07-22;COPH34;BRCOPHBDR009;COPH;366;55;1;20130
2020-07-22;CPFE3;BRCPFEACNOR0;CPFE;6437690;30,9830562;1;199459311,57
2020-07-22;CPLE3;BRCPLEACNOR8;CPLE;255398;59,4994725;1;15196046,3
2020-07-22;CPLE6;BRCPLEACNPB9;CPLE;4985314;61,4070202;1;306133277,53
2020-07-22;CRFB3;BRCRFBACNOR2;CRFB;10053509;19,9717479;1;200786148,2
2020-07-22;CRIV4;BRCRIVACNPR1;CRIV;6;6,5;1;39
2020-07-22;CRPG5;BRCRPGACNPA3;CRPG;6193;22,2435136;1;137754,08
2020-07-22;CSAN3;BRCSANACNOR6;CSAN;10040074;75,6274853;1;759305549,06
2020-07-22;CSMG3;BRCSMGACNOR5;CSMG;4708131;58,1131201;1;273604182,46
2020-07-22;CSNA3;BRCSNAACNOR6;CSNA;31931673;11,3488727;1;362388492,44
2020-07-22;CTKA3;BRCTKAACNOR0;CTKA;1;15,54;1;15,54
2020-07-22;CTKA4;BRCTKAACNPR7;CTKA;24;11,75;1;282
2020-07-22;CTNM4;BRCTNMACNPR6;CTNM;12400;6,2653225;1;77690
2020-07-22;CTSA3;BRCTSAACNOR3;CTSA;6734;3,4842708;1;23463,08
2020-07-22;CTSA4;BRCTSAACNPR0;CTSA;4373;3,2260004;1;14107,3
2020-07-22;CVCB3;BRCVCBACNOR1;CVCB;19309733;21,50789;1;415311613,84
2020-07-22;CYRE3;BRCYREACNOR7;CYRE;20204509;24,7694072;1;500453712,13
2020-07-22;DIRR3;BRDIRRACNOR0;DIRR;7066504;15,0133011;1;106091552,78
2020-07-22;DIVO11;BRDIVOCTF002;DIVO;6296;57,4376794;1;361627,63
2020-07-22;DMMO3;BRDMMOACNOR0;DMMO;1581725;1,5423187;1;2439524,06
2020-07-22;DOHL4;BRDOHLACNPR9;DOHL;82;5,99;1;491,18
2020-07-22;DTEX3;BRDTEXACNOR3;DTEX;8896309;13,552467;1;120566934,28
2020-07-22;EALT4;BREALTACNPR1;EALT;100;4,52;1;452
2020-07-22;ECOO11;BRECOOCTF008;ECOO;20;100,4;1;2008
2020-07-22;ECOR3;BRECORACNOR8;ECOR;17348344;13,6058926;1;236039705,59
2020-07-22;EGIE3;BREGIEACNOR9;EGIE;11509605;43,0404138;1;495378162,53
2020-07-22;ELET3;BRELETACNOR6;ELET;19468055;33,3036755;1;648357788,17
2020-07-22;ELET6;BRELETACNPB7;ELET;13176621;35,3713663;1;466075088,22
2020-07-22;EMAE4;BREMAEACNPR1;EMAE;966;30,0095652;1;28989,24
2020-07-22;EMBR3;BREMBRACNOR4;EMBR;22244960;8,4009144;1;186878004,93
2020-07-22;ENAT3;BRENATACNOR0;ENAT;3277675;10,7431109;1;35212426,07
2020-07-22;ENBR3;BRENBRACNOR2;ENBR;21976451;17,6807535;1;388560214,61
2020-07-22;ENEV3;BRENEVACNOR8;ENEV;4207266;45,4440093;1;191195035,62
2020-07-22;ENGI11;BRENGICDAM16;ENGI;5817117;46,8701039;1;272648878,32
2020-07-22;ENGI3;BRENGIACNOR0;ENGI;213;12,1554929;1;2589,12
2020-07-22;ENGI4;BRENGIACNPR7;ENGI;33;8,86;1;292,38
2020-07-22;EQPA3;BREQPAACNOR1;EQPA;4600;3,3445652;1;15385
2020-07-22;EQPA5;BREQPAACNPA4;EQPA;300;6,7;1;2010
2020-07-22;EQTL3;BREQTLACNOR0;EQTL;10838421;22,4816161;1;243665220,72
2020-07-22;ESTR4;BRESTRACNPR0;ESTR;9;34,99;1;314,91
2020-07-22;ETER3;BRETERACNOR3;ETER;600692;4,7232098;1;2837194,4
2020-07-22;EUCA4;BREUCAACNPR8;EUCA;51030;5,0678081;1;258610,25
2020-07-22;EVEN3;BREVENACNOR8;EVEN;12267966;12,6480338;1;155165648,79
2020-07-22;EZTC3;BREZTCACNOR0;EZTC;8936683;40,8228509;1;364820878
2020-07-22;FBOK34;BRFBOKBDR006;FBOK;30;639,2666666;1;19178
2020-07-22;FESA3;BRFESAACNOR8;FESA;37;25,86;1;956,82
2020-07-22;FESA4;BRFESAACNPR5;FESA;768823;18,3242587;1;14088111,61
2020-07-22;FHER3;BRFHERACNOR5;FHER;201089;3,0272417;1;608745,02
2020-07-22;FIND11;BRFINDCTF007;FIND;3511;99,2436741;1;348444,54
2020-07-22;FLRY3;BRFLRYACNOR5;FLRY;17981416;25,1227134;1;451741962,26
2020-07-22;FRAS3;BRFRASACNOR0;FRAS;60359;5,4609365;1;329616,67
2020-07-22;FRIO3;BRFRIOACNOR2;FRIO;53;115,66;1;6129,98
2020-07-22;GBIO33;BRGBIOBDR008;GBIO;66080;9,8237548;1;649153,72
2020-07-22;GEPA4;BRGEPAACNPR9;GEPA;32;46,38;1;1484,16
