RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-23;AALR3;BRAALRACNOR6;AALR;1673631;10,9203248;1;18276594,15
2020-07-23;AAPL34;BRAAPLBDR004;AAPL;190;207,5636842;1;39437,1
2020-07-23;ABCB4;BRABCBACNPR4;ABCB;2491044;14,4902566;1;36095867
2020-07-23;ABEV3;BRABEVACNOR1;ABEV;115687543;14,0237947;1;1622378362,31
2020-07-23;ADHM3;BRADHMACNOR9;ADHM;100;2,41;1;241
2020-07-23;AGRO3;BRAGROACNOR7;AGRO;353523;21,4144889;1;7570514,39
2020-07-23;ALPA3;BRALPAACNOR0;ALPA;337;25,0883679;1;8454,78
2020-07-23;ALPA4;BRALPAACNPR7;ALPA;3485687;29,0980121;1;101426562,65
2020-07-23;ALPK3;BRALPKACNOR9;ALPK;8577;9,5980097;1;82322,13
2020-07-23;ALSO3;BRALSOACNOR5;ALSO;4025332;29,1173552;1;117207021,96
2020-07-23;ALUP11;BRALUPCDAM15;ALUP;2810366;23,9569707;1;67327856,15
2020-07-23;ALUP3;BRALUPACNOR8;ALUP;4000;9,7395;1;38958
2020-07-23;ALUP4;BRALUPACNPR5;ALUP;810;7,1376913;1;5781,53
2020-07-23;AMAR3;BRAMARACNOR4;AMAR;7718740;8,2426338;1;63622747,54
2020-07-23;AMBP3;BRAMBPACNOR6;AMBP;48283;30,2458016;1;1460358,04
2020-07-23;AMZO34;BRAMZOBDR002;AMZO;22;7985,8436363;1;175688,56
2020-07-23;ANIM3;BRANIMACNOR6;ANIM;2810397;25,3218563;1;71164469,23
2020-07-23;APER3;BRAPERACNOR9;APER;64216;32,5497953;1;2090217,66
2020-07-23;ARZZ3;BRARZZACNOR3;ARZZ;3361888;51,0357939;1;171576623,14
2020-07-23;ATMP3;BRATMPACNOR8;ATMP;68;4,9195588;1;334,53
2020-07-23;ATOM3;BRATOMACNOR1;ATOM;1201;1,9244213;1;2311,23
2020-07-23;AURA32;BRAURABDR001;AURA;143568;820;1;117725760
2020-07-23;AZEV4;BRAZEVACNPR7;AZEV;1445;4,559391;1;6588,32
2020-07-23;AZUL4;BRAZULACNPR4;AZUL;19440163;21,7098797;1;422043600,28
2020-07-23;B3SA3;BRB3SAACNOR6;B3SA;16847525;57,7706009;1;973291644,29
2020-07-23;BAHI3;BRBAHIACNOR1;BAHI;101;88;1;8888
2020-07-23;BAUH4;BRBAUHACNPR3;BAUH;1;88,55;1;88,55
2020-07-23;BAZA3;BRBAZAACNOR0;BAZA;13;35,92;1;466,96
2020-07-23;BBAS3;BRBBASACNOR3;BBAS;19812531;32,8008701;1;649868257,43
2020-07-23;BBDC3;BRBBDCACNOR1;BBDC;11158066;19,6469878;1;219222387,019033
2020-07-23;BBDC4;BRBBDCACNPR8;BBDC;159154240;21,951641;1;3493696742,77464
2020-07-23;BBRK3;BRBBRKACNOR4;BBRK;845664;2,5319397;1;2141170,31
2020-07-23;BBSD11;BRBBSDCTF000;BBSD;50;79,84;1;3992
2020-07-23;BBSE3;BRBBSEACNOR5;BBSE;14382882;27,965232;1;402220632,94
2020-07-23;BCSA34;BRBCSABDR005;BCSA;14;13,13;1;183,82
2020-07-23;BEEF3;BRBEEFACNOR6;BEEF;13255473;13,6584886;1;181049727,85
2020-07-23;BEES3;BRBEESACNOR9;BEES;1584;6,0221969;1;9539,16
2020-07-23;BERK34;BRBERKBDR002;BERK;10;1020,9;1;10209
2020-07-23;BGIP4;BRBGIPACNPR8;BGIP;39;31,17;1;1215,63
2020-07-23;BIDI11;BRBIDICDAXX3;BIDI;3270260;42,3614871;1;138533077,07
2020-07-23;BIDI3;BRBIDIACNOR3;BIDI;45821;14,0745062;1;644907,95
2020-07-23;BIDI4;BRBIDIACNPR0;BIDI;3404911;15,3963498;1;52423200,81
2020-07-23;BIOM3;BRBIOMACNOR2;BIOM;14097;17,592897;1;248007,07
2020-07-23;BKBR3;BRBKBRACNOR4;BKBR;8418162;11,3723662;1;95734421,76
2020-07-23;BMEB4;BRBMEBACNPR5;BMEB;200;14,4088;1;2881,76
2020-07-23;BMGB4;BRBMGBACNPR0;BMGB;1841977;5,3268689;1;9811970,1
2020-07-23;BMIN4;BRBMINACNPR1;BMIN;301;18,6438538;1;5611,8
2020-07-23;BOBR4;BRBOBRACNPR3;BOBR;65464;2,2630386;1;148147,56
2020-07-23;BOVA11;BRBOVACTF003;BOVA;71533398;95,3923151;1;6823736448,3
2020-07-23;BOVB11;BRBOVBCTF001;BOVB;26090;101,0235875;1;2635705,4
2020-07-23;BOVV11;BRBOVVCTF009;BOVV;25850765;99,5297227;1;2572919473,09
2020-07-23;BPAC11;BRBPACUNT006;BPAC;2857442;83,4544397;1;238466221,28
2020-07-23;BPAC5;BRBPACACNPA0;BPAC;1261;21,7566137;1;27435,09
2020-07-23;BPAN4;BRBPANACNPR1;BPAN;11717060;8,3643703;1;98005828,86
2020-07-23;BRAP3;BRBRAPACNOR5;BRAP;10883;34,7140292;1;377792,78
2020-07-23;BRAP4;BRBRAPACNPR2;BRAP;7726248;38,6576707;1;298678751,22
2020-07-23;BRAX11;BRBRAXCTF002;BRAX;30420;75,9740844;1;2311131,65
2020-07-23;BRDT3;BRBRDTACNOR1;BRDT;6855815;21,7353345;1;149013432,8
2020-07-23;BRFS3;BRBRFSACNOR8;BRFS;25898546;20,9252208;1;541932793,58
2020-07-23;BRKM3;BRBRKMACNOR1;BRKM;2400;24,7375;1;59370
2020-07-23;BRKM5;BRBRKMACNPA4;BRKM;22301045;24,4404974;1;545048633,76
2020-07-23;BRML3;BRBRMLACNOR9;BRML;75051443;10,9927817;1;825024133,64
2020-07-23;BRPR3;BRBRPRACNOR9;BRPR;10983858;9,2389509;1;101479325,43
2020-07-23;BRSR3;BRBRSRACNOR3;BRSR;903;16,3838316;1;14794,6
2020-07-23;BRSR6;BRBRSRACNPB4;BRSR;3995261;14,5862925;1;58276045,64
2020-07-23;BSEV3;BRBSEVACNOR3;BSEV;36664;3,6563986;1;134058,2
2020-07-23;BTOW3;BRBTOWACNOR8;BTOW;6168704;113,3992005;1;699526101,73
2020-07-23;CAMB3;BRCAMBACNOR4;CAMB;103141;4,6977672;1;484532,41
2020-07-23;CAML3;BRCAMLACNOR3;CAML;5113871;11,3209152;1;57893700,22
2020-07-23;CARD3;BRCARDACNOR9;CARD;283601;12,884489;1;3654053,99
2020-07-23;CCPR3;BRCCPRACNOR9;CCPR;211818;15,6607156;1;3317221,47
2020-07-23;CCRO3;BRCCROACNOR2;CCRO;33014212;14,6281523;1;482936923,41
2020-07-23;CEAB3;BRCEABACNOR1;CEAB;2696489;10,6216015;1;28641031,79
2020-07-23;CESP3;BRCESPACNOR3;CESP;12222;32,9158795;1;402297,88
2020-07-23;CESP6;BRCESPACNPB4;CESP;2923579;28,2577758;1;82613840,18
2020-07-23;CGAS5;BRCGASACNPA3;CGAS;9240;179,5869155;1;1659383,1
2020-07-23;CGRA3;BRCGRAACNOR2;CGRA;500;25,51;1;12755
