RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-07-15;AALR3;BRAALRACNOR6;AALR;23;101651;1133408,65;0,1100%;0,1800%;0,2200%;0,2000%;0,5900%;2,2200%
2020-07-15;ABCB4;BRABCBACNPR4;ABCB;8;291064;4307747,2;0,0800%;0,1400%;0,2400%;0,1900%;0,2100%;0,8000%
2020-07-15;ABEV3;BRABEVACNOR1;ABEV;188;5761937;79572349,97;0,0200%;0,0900%;0,5000%;0,0900%;0,1500%;3,5000%
2020-07-15;ADHM3;BRADHMACNOR9;ADHM;1;100;241;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-07-15;AGRO3;BRAGROACNOR7;AGRO;4;11491;250159,07;0,4600%;0,5500%;0,6500%;0,7500%;0,7600%;0,7700%
2020-07-15;ALPA4;BRALPAACNPR7;ALPA;31;165867;4833364,38;0,1000%;0,1800%;0,2800%;0,1600%;0,3000%;1,0000%
2020-07-15;ALPK3;BRALPKACNOR9;ALPK;1;4900;46991;0,4100%;0,4100%;0,4100%;0,4100%;0,4100%;0,4100%
2020-07-15;ALSO3;BRALSOACNOR5;ALSO;11;77100;2257488;0,0900%;0,1700%;0,2400%;0,1200%;0,2100%;0,2600%
2020-07-15;ALUP11;BRALUPCDAM15;ALUP;10;171109;4094638,37;0,0700%;0,1400%;0,1600%;0,1100%;0,2000%;1,0000%
2020-07-15;AMAR3;BRAMARACNOR4;AMAR;21;149510;1338114,5;0,4200%;0,9100%;1,9000%;1,2500%;1,8400%;3,5000%
2020-07-15;AMBP3;BRAMBPACNOR6;AMBP;3;16460;518325,4;0,2000%;0,2200%;3,0000%;0,5000%;0,6600%;5,2000%
2020-07-15;ANIM3;BRANIMACNOR6;ANIM;8;119000;3055920;0,0700%;0,1400%;0,2400%;0,2000%;0,2300%;1,0000%
2020-07-15;APER3;BRAPERACNOR9;APER;2;300;10068;0,4200%;0,4300%;0,4500%;0,4500%;0,6200%;0,7000%
2020-07-15;ARZZ3;BRARZZACNOR3;ARZZ;46;712983;37395958,35;0,1000%;0,1600%;0,6700%;0,1500%;1,3200%;5,0000%
2020-07-15;AZUL4;BRAZULACNPR4;AZUL;117;2374565;50768199,7;0,1000%;1,1000%;2,6000%;0,1000%;1,3400%;7,0000%
2020-07-15;B3SA3;BRB3SAACNOR6;B3SA;162;1346835;82103061,6;0,0200%;0,0400%;0,5000%;0,0300%;0,0900%;1,5000%
2020-07-15;BAHI3;BRBAHIACNOR1;BAHI;1;100;9707;0,7500%;0,7500%;0,7500%;2,1000%;2,1000%;2,1000%
2020-07-15;BALM4;BRBALMACNPR2;BALM;1;300;4221;0,5500%;0,5500%;0,5500%;0,5500%;0,5500%;0,5500%
2020-07-15;BBAS3;BRBBASACNOR3;BBAS;58;729009;24830046,54;0,0100%;0,0400%;0,2000%;0,0100%;0,1500%;1,5000%
2020-07-15;BBDC3;BRBBDCACNOR1;BBDC;37;454793;9150435,16;0,0400%;0,1900%;0,4200%;0,1200%;0,2200%;1,0000%
2020-07-15;BBDC4;BRBBDCACNPR8;BBDC;188;7711177;170108564,62;0,0100%;0,0700%;0,1200%;0,0100%;0,1100%;2,0300%
2020-07-15;BBRK3;BRBBRKACNOR4;BBRK;1;31600;79316;1,2000%;1,2000%;1,2000%;1,3500%;1,3500%;1,3500%
2020-07-15;BBSE3;BRBBSEACNOR5;BBSE;176;1410138;38736490,86;0,0100%;0,2200%;0,5000%;0,1600%;0,3200%;1,5000%
2020-07-15;BCSA34;BRBCSABDR005;BCSA;1;10;135,1;3,0000%;3,0000%;3,0000%;6,6000%;6,6000%;6,6000%
