RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-06-24;AALR3;BRAALRACNOR6;AALR;66;325730;3579772,7;0,1300%;0,2500%;0,5000%;0,4500%;0,5200%;1,0600%
2020-06-24;ABCB4;BRABCBACNPR4;ABCB;12;252515;3881155,55;0,0900%;0,2400%;0,2500%;0,2000%;0,2700%;0,9000%
2020-06-24;ABEV3;BRABEVACNOR1;ABEV;143;5401301;75780253,03;0,0300%;0,0600%;0,5000%;0,0600%;0,1600%;3,5000%
2020-06-24;AFLT3;BRAFLTACNOR1;AFLT;1;15;185,25;3,6000%;3,6000%;3,6000%;6,0000%;6,0000%;6,0000%
2020-06-24;AGRO3;BRAGROACNOR7;AGRO;4;13632;265006,08;0,4800%;1,2200%;1,5000%;0,9500%;1,4100%;2,4300%
2020-06-24;ALPA4;BRALPAACNPR7;ALPA;22;155109;4639310,19;0,0700%;0,1900%;0,2400%;0,1400%;0,2800%;1,0000%
2020-06-24;ALPK3;BRALPKACNOR9;ALPK;1;3167;30466,54;0,3600%;0,3600%;0,3600%;0,6000%;0,6000%;0,6000%
2020-06-24;ALSO3;BRALSOACNOR5;ALSO;17;40177;1176382,56;0,0900%;0,1500%;0,1800%;0,2500%;0,3300%;0,8000%
2020-06-24;ALUP11;BRALUPCDAM15;ALUP;12;35688;868645,92;0,0500%;0,1100%;0,4200%;0,1500%;0,9800%;1,8000%
2020-06-24;ALUP4;BRALUPACNPR5;ALUP;1;72;528,48;3,6000%;3,6000%;3,6000%;6,0000%;6,0000%;6,0000%
2020-06-24;AMAR3;BRAMARACNOR4;AMAR;63;237158;2049045,12;0,3500%;0,6100%;0,7600%;0,4800%;0,8900%;2,4000%
2020-06-24;ANIM3;BRANIMACNOR6;ANIM;11;27910;702494,7;0,0900%;0,1500%;0,2000%;0,1700%;0,2200%;0,9000%
2020-06-24;APER3;BRAPERACNOR9;APER;2;1248;31324,8;0,2100%;0,2300%;0,2500%;0,4200%;0,4700%;0,5200%
2020-06-24;ARZZ3;BRARZZACNOR3;ARZZ;17;78352;3706833,12;0,2000%;0,3800%;0,4600%;0,4000%;0,4600%;2,5000%
2020-06-24;AZEV3;BRAZEVACNOR0;AZEV;3;1000;13770;3,6000%;3,6000%;3,6000%;6,0000%;6,0000%;6,0000%
2020-06-24;AZEV4;BRAZEVACNPR7;AZEV;1;19;102,41;1,3800%;1,3800%;1,3800%;2,7200%;2,7200%;2,7200%
2020-06-24;AZUL4;BRAZULACNPR4;AZUL;166;3012240;64702915,2;0,1000%;3,1000%;4,0000%;0,1000%;3,6900%;7,1300%
2020-06-24;B3SA3;BRB3SAACNOR6;B3SA;102;1251928;65212929,52;0,0100%;0,0700%;0,3000%;0,0200%;0,2100%;1,5800%
2020-06-24;BBAS3;BRBBASACNOR3;BBAS;56;1707190;57310368,3;0,0300%;0,0800%;0,3700%;0,0800%;0,1200%;1,0000%
2020-06-24;BBDC3;BRBBDCACNOR1;BBDC;38;371664;7384963,68;0,0300%;0,0500%;0,4000%;0,0600%;0,0900%;1,0000%
2020-06-24;BBDC4;BRBBDCACNPR8;BBDC;91;5229996;113700113,04;0,0100%;0,0300%;0,1500%;0,0100%;0,0600%;0,6000%
2020-06-24;BBRK3;BRBBRKACNOR4;BBRK;4;76269;208977,06;0,4200%;1,8300%;2,0000%;2,0500%;2,2700%;4,4000%
2020-06-24;BBSD11;BRBBSDCTF000;BBSD;2;23;1842,99;0,5000%;1,5400%;1,7000%;0,8300%;2,8300%;3,1300%
2020-06-24;BBSE3;BRBBSEACNOR5;BBSE;200;1406619;40862281,95;0,1900%;0,3800%;0,4300%;0,3000%;0,4900%;2,3800%
2020-06-24;BEEF3;BRBEEFACNOR6;BEEF;34;556470;7267498,2;0,3800%;0,8100%;1,0000%;0,8500%;1,7200%;3,0400%
2020-06-24;BIDI11;BRBIDICDAXX3;BIDI;69;169793;6601551,84;0,6000%;1,2900%;1,5000%;0,6000%;1,5000%;2,7000%
2020-06-24;BIDI3;BRBIDIACNOR3;BIDI;9;92485;1185657,7;3,0000%;10,1500%;14,0000%;3,0000%;12,8300%;18,0000%
2020-06-24;BIDI4;BRBIDIACNPR0;BIDI;375;338106;4486666,62;1,0000%;5,6400%;6,5000%;1,0000%;9,0600%;10,5000%
2020-06-24;BIOM3;BRBIOMACNOR2;BIOM;2;1300;22490;1,4000%;1,4300%;1,8000%;3,0000%;3,2300%;6,0000%
2020-06-24;BKBR3;BRBKBRACNOR4;BKBR;64;788322;8892272,16;3,1500%;6,6600%;7,3700%;7,2500%;7,5900%;14,4200%
2020-06-24;BMGB4;BRBMGBACNPR0;BMGB;8;158073;891531,72;0,7500%;1,3600%;1,5000%;1,3500%;1,7200%;3,3000%
2020-06-24;BOBR4;BRBOBRACNPR3;BOBR;2;6949;15843,72;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-06-24;BOVA11;BRBOVACTF003;BOVA;1115;2123914;197439045,44;1,0000%;3,1000%;4,8000%;1,0000%;4,0000%;7,0600%
