RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-07-02;AALR3;BRAALRACNOR6;AALR;6;27978;289572,3;0,1400%;0,3700%;0,4800%;0,7900%;0,8700%;2,0000%
2020-07-02;ABCB4;BRABCBACNPR4;ABCB;12;64085;893985,75;0,0700%;0,1500%;0,2000%;0,1500%;0,2500%;0,9000%
2020-07-02;ABEV3;BRABEVACNOR1;ABEV;191;4020394;58134897,24;0,0200%;0,0700%;0,2500%;0,0400%;0,2300%;1,5000%
2020-07-02;AGRO3;BRAGROACNOR7;AGRO;21;91733;2041976,58;0,1000%;0,1700%;0,7000%;0,2000%;0,5000%;1,8000%
2020-07-02;ALPA4;BRALPAACNPR7;ALPA;9;24885;730374,75;0,1100%;0,2200%;0,3600%;0,3000%;0,5100%;0,9600%
2020-07-02;ALPK3;BRALPKACNOR9;ALPK;1;900;8523;1,2000%;1,2000%;1,2000%;2,0000%;2,0000%;2,0000%
2020-07-02;ALSO3;BRALSOACNOR5;ALSO;13;31094;895818,14;0,1300%;0,2300%;0,2600%;0,3000%;0,6600%;1,7000%
2020-07-02;ALUP11;BRALUPCDAM15;ALUP;85;48163;1165062,97;0,0400%;0,0800%;0,1900%;0,0800%;0,1500%;1,0000%
2020-07-02;AMAR3;BRAMARACNOR4;AMAR;27;1264965;10638355,65;0,2700%;0,4800%;0,8200%;0,5500%;0,7600%;3,0000%
2020-07-02;AMZO34;BRAMZOBDR002;AMZO;1;310;2359261,2;5,0000%;5,0000%;5,0000%;5,5000%;5,5000%;5,5000%
2020-07-02;ANIM3;BRANIMACNOR6;ANIM;11;40976;1011697,44;0,0800%;0,1600%;0,2500%;0,2000%;0,2800%;1,0000%
2020-07-02;APER3;BRAPERACNOR9;APER;3;1813;54299,35;0,8000%;0,8700%;1,2000%;1,0000%;1,3000%;2,0000%
2020-07-02;ARZZ3;BRARZZACNOR3;ARZZ;18;86164;4129840,52;0,1800%;0,4700%;0,4800%;0,5000%;0,5400%;2,5000%
2020-07-02;ATTB34;BRATTBBDR007;ATTB;1;150;24195;5,0000%;5,0000%;5,0000%;6,0000%;6,0000%;6,0000%
2020-07-02;AZEV3;BRAZEVACNOR0;AZEV;1;93;1319,67;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-07-02;AZUL4;BRAZULACNPR4;AZUL;157;3066335;64117064,85;1,0000%;2,2800%;4,0000%;1,0000%;2,8000%;8,5000%
2020-07-02;B3SA3;BRB3SAACNOR6;B3SA;84;825938;45525702,56;0,0200%;0,0600%;0,2500%;0,0300%;0,1500%;1,5000%
2020-07-02;BBAS3;BRBBASACNOR3;BBAS;94;1358804;44772591,8;0,0300%;0,0700%;0,2500%;0,0300%;0,1700%;2,0600%
2020-07-02;BBDC3;BRBBDCACNOR1;BBDC;10;154199;2979124,68;0,0500%;0,1200%;0,2800%;0,1500%;0,3100%;0,8000%
2020-07-02;BBDC4;BRBBDCACNPR8;BBDC;102;1963732;41513294,48;0,0200%;0,0400%;0,0700%;0,0200%;0,1100%;1,0300%
2020-07-02;BBRK3;BRBBRKACNOR4;BBRK;4;20285;49292,55;0,8700%;0,9000%;1,4500%;2,8800%;3,9800%;4,0000%
