RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-07-16;AALR3;BRAALRACNOR6;AALR;10;104075;1187495,75;0,1000%;0,2400%;0,2700%;0,2000%;1,4600%;1,7600%
2020-07-16;ABCB4;BRABCBACNPR4;ABCB;3;55332;823340,16;0,0800%;0,1900%;0,1900%;0,1800%;0,2000%;0,8000%
2020-07-16;ABEV3;BRABEVACNOR1;ABEV;167;8356895;119085753,75;0,0200%;0,0800%;0,3000%;0,0900%;0,1500%;1,5200%
2020-07-16;ABUD34;BRABUDBDR009;ABUD;1;400;116748;3,0000%;3,0000%;3,0000%;5,0500%;5,0500%;5,0500%
2020-07-16;AGRO3;BRAGROACNOR7;AGRO;1;10000;213200;0,6500%;0,6500%;0,6500%;0,6800%;0,6800%;0,6800%
2020-07-16;ALPA4;BRALPAACNPR7;ALPA;19;71370;2074012,2;0,0900%;0,1200%;0,1800%;0,1800%;0,3000%;1,0000%
2020-07-16;ALSO3;BRALSOACNOR5;ALSO;9;23999;707250,53;0,1000%;0,1600%;0,1700%;0,1900%;0,2000%;0,2100%
2020-07-16;ALUP11;BRALUPCDAM15;ALUP;9;63419;1521421,81;0,0700%;0,1000%;0,1200%;0,1000%;0,3300%;0,5800%
2020-07-16;AMAR3;BRAMARACNOR4;AMAR;20;269213;2366382,27;0,5500%;0,9800%;1,3800%;0,9500%;1,2400%;3,5000%
2020-07-16;AMBP3;BRAMBPACNOR6;AMBP;1;979;30672,07;2,7000%;2,7000%;2,7000%;3,4000%;3,4000%;3,4000%
2020-07-16;ANIM3;BRANIMACNOR6;ANIM;12;87058;2258284,52;0,0700%;0,1400%;0,1400%;0,1400%;0,1600%;1,0000%
2020-07-16;APER3;BRAPERACNOR9;APER;2;17542;607830,3;0,4500%;0,4800%;0,6000%;0,5000%;0,6400%;1,1800%
2020-07-16;ARZZ3;BRARZZACNOR3;ARZZ;32;356345;18768691,15;0,1000%;0,7100%;1,3500%;0,1600%;1,1500%;5,0000%
2020-07-16;ATOM3;BRATOMACNOR1;ATOM;1;768;1728;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-07-16;AZEV4;BRAZEVACNPR7;AZEV;1;1200;5472;0,8700%;0,8700%;0,8700%;5,6900%;5,6900%;5,6900%
2020-07-16;AZUL4;BRAZULACNPR4;AZUL;128;906910;20432682,3;0,1000%;0,8800%;1,2200%;0,1000%;1,4900%;5,0000%
2020-07-16;B3SA3;BRB3SAACNOR6;B3SA;97;1563399;96696228,15;0,0200%;0,0500%;0,2500%;0,0400%;0,0800%;1,0000%
2020-07-16;BALM4;BRBALMACNPR2;BALM;2;184;2208;0,2800%;2,8900%;6,0000%;0,5500%;4,8600%;10,0000%
2020-07-16;BBAS3;BRBBASACNOR3;BBAS;48;1655337;57407087,16;0,0100%;0,0400%;0,1000%;0,0100%;0,0800%;1,0300%
