RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-06-29;AALR3;BRAALRACNOR6;AALR;56;172445;1779632,4;0,1000%;0,2200%;0,2400%;0,2000%;0,5200%;1,0000%
2020-06-29;ABCB4;BRABCBACNPR4;ABCB;12;22334;319152,86;0,1500%;0,2200%;0,2800%;0,2500%;0,4200%;0,9000%
2020-06-29;ABEV3;BRABEVACNOR1;ABEV;135;4151828;58333183,4;0,0200%;0,0800%;0,2000%;0,0500%;0,1600%;1,0000%
2020-06-29;AGRO3;BRAGROACNOR7;AGRO;9;44389;885116,66;0,3500%;0,9100%;1,2000%;0,7400%;1,1600%;1,6000%
2020-06-29;ALPA4;BRALPAACNPR7;ALPA;38;207888;6070329,6;0,1000%;0,1700%;0,2300%;0,2200%;0,2700%;1,0000%
2020-06-29;ALPK3;BRALPKACNOR9;ALPK;1;100;925;0,1800%;0,1800%;0,1800%;1,0800%;1,0800%;1,0800%
2020-06-29;ALSO3;BRALSOACNOR5;ALSO;20;191691;5327092,89;0,1100%;0,1800%;0,5000%;0,1900%;0,3300%;1,7000%
2020-06-29;ALUP11;BRALUPCDAM15;ALUP;8;33310;795775,9;0,1100%;0,1700%;0,2900%;0,2200%;0,2700%;1,0000%
2020-06-29;AMAR3;BRAMARACNOR4;AMAR;46;1919202;15641496,3;0,2700%;0,5200%;0,6500%;0,3200%;0,7300%;1,6000%
2020-06-29;ANIM3;BRANIMACNOR6;ANIM;41;177341;4192341,24;0,0700%;0,0800%;0,1500%;0,1500%;0,2800%;3,0000%
2020-06-29;APER3;BRAPERACNOR9;APER;1;100;2687;1,2000%;1,2000%;1,2000%;2,0000%;2,0000%;2,0000%
2020-06-29;ARZZ3;BRARZZACNOR3;ARZZ;51;452933;21215381,72;0,1700%;0,3900%;0,4200%;0,3000%;0,4800%;1,2000%
2020-06-29;AZEV4;BRAZEVACNPR7;AZEV;2;1831;9704,3;0,3400%;0,3400%;0,4500%;0,5600%;0,5600%;0,5600%
2020-06-29;AZUL4;BRAZULACNPR4;AZUL;183;2674593;55043123,94;0,1000%;2,5400%;3,3900%;0,1000%;3,9500%;8,0000%
2020-06-29;B3SA3;BRB3SAACNOR6;B3SA;112;1249910;67257657,1;0,0300%;0,0700%;0,2500%;0,0300%;0,2200%;1,5500%
2020-06-29;BAHI3;BRBAHIACNOR1;BAHI;2;101;8888;0,5000%;0,5000%;1,0000%;1,2000%;1,2300%;4,0000%
2020-06-29;BBAS3;BRBBASACNOR3;BBAS;53;530260;17037253,8;0,0300%;0,0800%;0,2500%;0,0300%;0,1900%;1,0500%
2020-06-29;BBDC3;BRBBDCACNOR1;BBDC;39;696272;13319683,36;0,0200%;0,0600%;0,1000%;0,0400%;0,3000%;0,7000%
2020-06-29;BBDC4;BRBBDCACNPR8;BBDC;147;9366047;195001098,54;0,0100%;0,0400%;0,1200%;0,0400%;0,0900%;1,0200%
2020-06-29;BBRK3;BRBBRKACNOR4;BBRK;3;760;1801,2;0,3700%;0,9000%;2,4000%;0,6100%;1,9200%;5,6000%
2020-06-29;BBSD11;BRBBSDCTF000;BBSD;1;3;233,61;0,1800%;0,1800%;0,1800%;0,6800%;0,6800%;0,6800%
2020-06-29;BBSE3;BRBBSEACNOR5;BBSE;83;286158;8066794,02;0,0600%;0,2800%;0,4500%;0,1000%;1,1000%;2,9700%
2020-06-29;BEEF3;BRBEEFACNOR6;BEEF;53;1424409;18488828,82;0,4500%;0,9400%;1,4000%;1,0000%;1,1900%;4,1600%
2020-06-29;BIDI11;BRBIDICDAXX3;BIDI;75;296449;12071403,28;0,5400%;1,2800%;1,4000%;0,5400%;1,4600%;2,7000%
2020-06-29;BIDI3;BRBIDIACNOR3;BIDI;3;4;51,36;2,3600%;2,3600%;2,3600%;7,6000%;7,6000%;7,6000%
2020-06-29;BIDI4;BRBIDIACNPR0;BIDI;74;172879;2430678,74;1,4800%;3,4600%;4,4100%;1,4800%;5,9500%;10,2100%
2020-06-29;BIOM3;BRBIOMACNOR2;BIOM;2;7100;120984;0,2200%;0,2300%;0,2600%;0,4300%;0,4500%;0,4500%
2020-06-29;BKBR3;BRBKBRACNOR4;BKBR;62;464671;4906925,76;1,9000%;6,4400%;7,0000%;1,9000%;7,0800%;9,5000%
2020-06-29;BMEB4;BRBMEBACNPR5;BMEB;1;16;221,12;0,1500%;0,1500%;0,1500%;1,3000%;1,3000%;1,3000%
2020-06-29;BMGB4;BRBMGBACNPR0;BMGB;11;99061;511154,76;1,0000%;1,2900%;4,1400%;2,2500%;3,0900%;6,2000%
2020-06-29;BOBR4;BRBOBRACNPR3;BOBR;3;8457;19197,39;3,5000%;3,5700%;3,6000%;3,5000%;5,2300%;6,0000%
2020-06-29;BOVA11;BRBOVACTF003;BOVA;1255;6283957;572342803,56;0,0200%;2,5100%;5,0000%;0,0200%;2,8800%;6,7000%
2020-06-29;BOVB11;BRBOVBCTF001;BOVB;3;18925;1791440,5;0,4800%;0,6000%;0,6000%;0,6000%;0,6500%;0,6500%
2020-06-29;BOVV11;BRBOVVCTF009;BOVV;116;2076591;197317676,82;0,3900%;0,7900%;0,8000%;0,7700%;0,9100%;4,0000%
2020-06-29;BPAC11;BRBPACUNT006;BPAC;41;1148775;85445884,5;0,8400%;2,7900%;3,0000%;0,8400%;3,5100%;4,5000%
2020-06-29;BPAN4;BRBPANACNPR1;BPAN;26;229823;2132757,44;0,0700%;0,3400%;0,4000%;0,2700%;0,8200%;2,5000%
2020-06-29;BRAP4;BRBRAPACNPR2;BRAP;37;389406;14295094,26;0,0900%;0,1600%;0,2000%;0,1000%;0,2100%;2,0000%
2020-06-29;BRAX11;BRBRAXCTF002;BRAX;1;8230;648935,5;5,0000%;5,0000%;5,0000%;5,0200%;5,0200%;5,0200%
2020-06-29;BRDT3;BRBRDTACNOR1;BRDT;27;154888;3325445,36;0,0900%;0,1700%;0,2500%;0,1500%;0,2400%;0,8000%
2020-06-29;BRFS3;BRBRFSACNOR8;BRFS;84;1506301;32852424,81;0,0300%;0,0800%;0,2000%;0,0600%;0,1100%;1,0000%
2020-06-29;BRKM3;BRBRKMACNOR1;BRKM;1;2600;64064;1,2500%;1,2500%;1,2500%;2,6000%;2,6000%;2,6000%
2020-06-29;BRKM5;BRBRKMACNPA4;BRKM;409;1556754;36505881,3;0,0100%;0,6500%;1,0000%;0,2100%;1,3300%;5,0000%
2020-06-29;BRML3;BRBRMLACNOR9;BRML;63;596917;5873663,28;0,0500%;0,1500%;0,2900%;0,1000%;0,2300%;1,5000%
2020-06-29;BRPR3;BRBRPRACNOR9;BRPR;17;170398;1492686,48;0,1400%;0,2400%;2,0000%;0,2000%;0,3100%;2,1500%
2020-06-29;BRSR6;BRBRSRACNPB4;BRSR;21;388899;5378473,17;0,2100%;0,6800%;1,0500%;0,4100%;1,3000%;5,0000%
2020-06-29;BSEV3;BRBSEVACNOR3;BSEV;2;5001;17553,51;0,6900%;0,8300%;1,0400%;1,1500%;1,2300%;1,3500%
2020-06-29;BTOW3;BRBTOWACNOR8;BTOW;52;103434;10715762,4;0,0500%;0,5200%;0,7500%;0,1500%;0,9100%;2,6100%
2020-06-29;CAMB3;BRCAMBACNOR4;CAMB;3;8500;39440;1,7500%;3,5800%;3,6000%;4,5000%;5,9800%;6,0000%
2020-06-29;CAML3;BRCAMLACNOR3;CAML;15;198458;2151284,72;0,4400%;0,6900%;0,8500%;0,8000%;0,8400%;3,2800%
2020-06-29;CARD3;BRCARDACNOR9;CARD;11;8084;106870,48;0,0800%;1,2900%;2,0000%;2,0000%;3,9900%;6,0700%
2020-06-29;CCPR3;BRCCPRACNOR9;CCPR;2;92219;1398040,04;0,2300%;0,2300%;0,2300%;0,3900%;0,4900%;0,5000%
2020-06-29;CCRO3;BRCCROACNOR2;CCRO;141;3339287;50156090,74;0,0800%;0,3200%;0,4100%;0,1200%;0,4400%;2,0000%
2020-06-29;CEAB3;BRCEABACNOR1;CEAB;19;227111;2237043,35;0,6000%;0,9400%;1,0000%;0,6000%;1,1400%;2,0000%
2020-06-29;CESP6;BRCESPACNPB4;CESP;9;92407;2599408,91;0,0500%;0,0800%;0,1000%;0,0800%;0,1300%;0,1400%
2020-06-29;CGAS5;BRCGASACNPA3;CGAS;1;100;17943;0,3000%;0,3000%;0,3000%;2,6000%;2,6000%;2,6000%
2020-06-29;CIEL3;BRCIELACNOR3;CIEL;113;6673378;31164675,26;1,4800%;6,3600%;9,5000%;2,0800%;8,2300%;18,7200%
2020-06-29;CLSC4;BRCLSCACNPR3;CLSC;1;300;15993;1,1900%;1,1900%;1,1900%;2,0000%;2,0000%;2,0000%
2020-06-29;CMIG3;BRCMIGACNOR6;CMIG;14;212990;2470684;0,2300%;0,5800%;0,6000%;0,6000%;0,8100%;2,5000%
2020-06-29;CMIG4;BRCMIGACNPR3;CMIG;81;2955298;31799006,48;0,0300%;0,1100%;0,1600%;0,0300%;0,1600%;0,8000%
2020-06-29;CNTO3;BRCNTOACNOR5;CNTO;26;133132;4296169,64;0,1000%;2,5700%;2,8600%;0,1000%;3,0700%;5,3000%
2020-06-29;COGN3;BRCOGNACNOR2;COGN;117;9458578;60818656,54;0,0600%;0,1600%;0,3000%;0,1500%;0,2300%;1,5000%
2020-06-29;CPFE3;BRCPFEACNOR0;CPFE;14;40800;1219104;0,0500%;0,3200%;0,3700%;0,0700%;0,3200%;0,9000%
2020-06-29;CPLE3;BRCPLEACNOR8;CPLE;8;7700;461076;0,1100%;0,1800%;0,3000%;0,2100%;0,3600%;1,0000%
2020-06-29;CPLE6;BRCPLEACNPB9;CPLE;18;40543;2482447,89;0,2800%;0,8700%;1,1000%;0,9200%;1,1700%;2,6000%
