RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-06-18;AALR3;BRAALRACNOR6;AALR;6;55100;590672;0,3300%;0,4600%;0,4800%;0,5300%;0,6900%;2,5000%
2020-06-18;ABCB4;BRABCBACNPR4;ABCB;15;127582;1962211,16;0,1600%;0,2400%;0,2800%;0,3000%;0,4000%;0,9000%
2020-06-18;ABEV3;BRABEVACNOR1;ABEV;139;3934323;54018254,79;0,0200%;0,0400%;0,2500%;0,0400%;0,1300%;1,0300%
2020-06-18;AGRO3;BRAGROACNOR7;AGRO;7;40100;795584;0,7900%;1,5900%;2,3000%;1,8000%;2,3700%;4,6000%
2020-06-18;ALPA3;BRALPAACNOR0;ALPA;1;250;6010;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-06-18;ALPA4;BRALPAACNPR7;ALPA;62;367707;10663503;0,0800%;0,1300%;0,1600%;0,1500%;0,3100%;2,0000%
2020-06-18;ALPK3;BRALPKACNOR9;ALPK;1;2500;24100;1,5800%;1,5800%;1,5800%;3,1000%;3,1000%;3,1000%
2020-06-18;ALSO3;BRALSOACNOR5;ALSO;31;131921;3887711,87;0,0500%;0,1000%;0,1300%;0,0900%;0,1300%;0,8000%
2020-06-18;ALUP11;BRALUPCDAM15;ALUP;2;1600;38896;0,0500%;0,1400%;0,2500%;1,5000%;1,7800%;2,0000%
2020-06-18;ALUP3;BRALUPACNOR8;ALUP;1;177;1722,21;2,3000%;2,3000%;2,3000%;3,8400%;3,8400%;3,8400%
2020-06-18;AMAR3;BRAMARACNOR4;AMAR;24;1072300;9125273;0,4800%;0,8200%;0,8900%;0,4800%;0,9600%;2,4000%
2020-06-18;ANIM3;BRANIMACNOR6;ANIM;13;126500;3022085;0,0400%;0,0700%;0,1200%;0,1200%;0,1300%;0,1700%
2020-06-18;APER3;BRAPERACNOR9;APER;2;300;7242;0,2300%;0,2300%;0,2300%;0,6500%;0,6500%;0,6500%
2020-06-18;ARZZ3;BRARZZACNOR3;ARZZ;14;20202;875352,66;0,2700%;0,7000%;0,8500%;0,5500%;1,4900%;5,0000%
