RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-07-08;AALR3;BRAALRACNOR6;AALR;154;237851;2559276,76;0,1400%;0,2300%;0,3000%;0,3500%;0,5400%;3,0000%
2020-07-08;AAPL34;BRAAPLBDR004;AAPL;1;90;18155,7;2,4000%;2,4000%;2,4000%;4,0000%;4,0000%;4,0000%
2020-07-08;ABCB4;BRABCBACNPR4;ABCB;9;41182;596727,18;0,1000%;0,2800%;0,3200%;0,3000%;0,3600%;1,1300%
2020-07-08;ABEV3;BRABEVACNOR1;ABEV;240;12741555;182968729,8;0,0100%;0,0500%;0,2400%;0,0400%;0,1800%;2,0600%
2020-07-08;AGRO3;BRAGROACNOR7;AGRO;7;18526;410721,42;0,0900%;0,6600%;0,9600%;0,7500%;1,3300%;4,5700%
2020-07-08;ALPA3;BRALPAACNOR0;ALPA;1;87;2169,78;0,5000%;0,5000%;0,5000%;1,6000%;1,6000%;1,6000%
2020-07-08;ALPA4;BRALPAACNPR7;ALPA;17;110061;3244598,28;0,1000%;0,2100%;0,2900%;0,2000%;0,3100%;1,2000%
2020-07-08;ALPK3;BRALPKACNOR9;ALPK;1;251;2449,76;1,8000%;1,8000%;1,8000%;3,0000%;3,0000%;3,0000%
2020-07-08;ALSO3;BRALSOACNOR5;ALSO;10;184824;5478183,36;0,1000%;0,1700%;0,2000%;0,1600%;0,2200%;1,5000%
2020-07-08;ALUP11;BRALUPCDAM15;ALUP;13;302418;7300370,52;0,0400%;0,1100%;0,3400%;0,1400%;0,1700%;1,3000%
2020-07-08;AMAR3;BRAMARACNOR4;AMAR;27;297555;2639312,85;0,3400%;0,6200%;1,3200%;0,6600%;2,1200%;3,3000%
2020-07-08;ANIM3;BRANIMACNOR6;ANIM;30;120558;3088695,96;0,1200%;0,2000%;0,2900%;0,2000%;0,2900%;1,0000%
2020-07-08;APER3;BRAPERACNOR9;APER;1;1300;43134;0,2200%;0,2200%;0,2200%;0,7300%;0,7300%;0,7300%
2020-07-08;ARZZ3;BRARZZACNOR3;ARZZ;52;449785;22790605,95;0,2000%;0,4300%;0,5500%;0,4700%;0,5300%;2,5000%
2020-07-08;ATMP3;BRATMPACNOR8;ATMP;1;5;25,15;2,0000%;2,0000%;2,0000%;5,0000%;5,0000%;5,0000%
2020-07-08;ATOM3;BRATOMACNOR1;ATOM;1;2961;5892,39;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-07-08;AZEV4;BRAZEVACNPR7;AZEV;1;200;926;1,1700%;1,1700%;1,1700%;4,9300%;4,9300%;4,9300%
2020-07-08;AZUL4;BRAZULACNPR4;AZUL;154;2510018;54743492,58;1,0000%;1,7000%;2,3800%;1,9000%;2,2700%;5,2200%
2020-07-08;B3SA3;BRB3SAACNOR6;B3SA;84;1099360;62663520;0,0100%;0,0500%;0,2000%;0,0100%;0,2800%;1,0600%
2020-07-08;BAHI3;BRBAHIACNOR1;BAHI;1;10;966,3;0,1000%;0,1000%;0,1000%;1,2000%;1,2000%;1,2000%
2020-07-08;BBAS3;BRBBASACNOR3;BBAS;75;685479;23100642,3;0,0200%;0,0500%;0,2500%;0,0400%;0,1700%;1,5500%
2020-07-08;BBDC3;BRBBDCACNOR1;BBDC;29;127734;2567453,4;0,0500%;0,1100%;0,2700%;0,0900%;0,2200%;0,9000%
2020-07-08;BBDC4;BRBBDCACNPR8;BBDC;199;15350418;337555691,82;0,0200%;0,0400%;0,2500%;0,0200%;0,0600%;2,0300%
2020-07-08;BBRK3;BRBBRKACNOR4;BBRK;2;3830;9996,3;0,3600%;0,5200%;0,5200%;3,0000%;3,0000%;3,0000%
2020-07-08;BBSD11;BRBBSDCTF000;BBSD;1;31;2511,62;2,8000%;2,8000%;2,8000%;4,1000%;4,1000%;4,1000%
2020-07-08;BBSE3;BRBBSEACNOR5;BBSE;22;38812;1078585,48;0,0700%;0,1000%;0,1500%;0,1000%;0,3300%;0,9000%
2020-07-08;BEEF3;BRBEEFACNOR6;BEEF;51;566776;7725156,88;0,1000%;0,8600%;1,1500%;0,1000%;1,6400%;3,0000%
2020-07-08;BIDI11;BRBIDICDAXX3;BIDI;24;533263;24146148,64;0,7900%;2,2300%;3,5000%;1,0000%;3,1000%;5,0000%
2020-07-08;BIDI3;BRBIDIACNOR3;BIDI;2;23951;348247,54;2,0000%;2,0000%;2,9900%;2,0500%;2,0600%;3,9900%
2020-07-08;BIDI4;BRBIDIACNPR0;BIDI;55;231918;3559941,3;0,2000%;2,4100%;3,6500%;1,4200%;4,2800%;9,1400%
2020-07-08;BKBR3;BRBKBRACNOR4;BKBR;35;891941;10123530,35;2,6400%;5,0800%;5,7000%;4,5500%;5,9500%;8,4000%
2020-07-08;BMGB4;BRBMGBACNPR0;BMGB;3;5200;28028;0,2000%;0,5900%;1,9200%;3,2000%;5,1700%;5,7000%
2020-07-08;BOBR4;BRBOBRACNPR3;BOBR;1;6599;15771,61;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-07-08;BOVA11;BRBOVACTF003;BOVA;1100;6814898;643190073,24;0,8000%;2,1200%;3,0000%;0,8000%;2,4200%;5,0000%
