RptDt;TckrSymb;ISIN;Asst;XprtnCd;SgmtNm;OpnIntrst;VartnOpnIntrst;DstrbtnId;CvrdQty;TtlBlckdPos;UcvrdQty;TtlPos;BrrwrQty;LndrQty;CurQty;FwdPric
2020-07-14;BGIN20P020400;BRBMEFVBNDQ2;BGI;NNMC;AGRIBUSINESS;7;0;;;;;;;;;
2020-07-14;BGIN20P020500;BRBMEFVBNDS8;BGI;NNMF;AGRIBUSINESS;35;0;;;;;;;;;
2020-07-14;BGIN20P020600;BRBMEFVBNDU4;BGI;NNMH;AGRIBUSINESS;50;0;;;;;;;;;
2020-07-14;BGIN20P020700;BRBMEFVBNDW0;BGI;NNMK;AGRIBUSINESS;10;0;;;;;;;;;
2020-07-14;BGIN20P020900;BRBMEFVBNE01;BGI;NNMP;AGRIBUSINESS;55;0;;;;;;;;;
2020-07-14;BGIN20P021000;BRBMEFVBNE27;BGI;NNMR;AGRIBUSINESS;295;0;;;;;;;;;
2020-07-14;BGIN20P021200;BRBMEFVBNF75;BGI;NNP2;AGRIBUSINESS;185;0;;;;;;;;;
2020-07-14;BGIN20P021300;BRBMEFVBNF83;BGI;NNP3;AGRIBUSINESS;514;0;;;;;;;;;
2020-07-14;BGIN20P021400;BRBMEFVBNF91;BGI;NNP4;AGRIBUSINESS;50;0;;;;;;;;;
2020-07-14;BGIN20P021500;BRBMEFVBNEX6;BGI;NNNR;AGRIBUSINESS;175;0;;;;;;;;;
2020-07-14;BGIQ20;BRBMEFBGI5J2;BGI;Q20;AGRIBUSINESS;1553;-2;;;;;;;;;
2020-07-14;BGIQ20C020000;BRBMEFCBQDP7;BGI;QNJB;AGRIBUSINESS;4;0;;;;;;;;;
2020-07-14;BGIQ20C020500;BRBMEFCBQDZ6;BGI;QNJN;AGRIBUSINESS;5;0;;;;;;;;;
2020-07-14;BGIQ20C020800;BRBMEFCBQE50;BGI;QNJV;AGRIBUSINESS;14;0;;;;;;;;;
2020-07-14;BGIQ20C021000;BRBMEFCBQE92;BGI;QNJZ;AGRIBUSINESS;26;0;;;;;;;;;
2020-07-14;BGIQ20C021250;BRBMEFCBQEE9;BGI;QNK4;AGRIBUSINESS;20;0;;;;;;;;;
