RptDt;TckrSymb;ISIN;Asst;XprtnCd;SgmtNm;OpnIntrst;VartnOpnIntrst;DstrbtnId;CvrdQty;TtlBlckdPos;UcvrdQty;TtlPos;BrrwrQty;LndrQty;CurQty;FwdPric
2020-06-29;AFSN20;BRBMEFAFS0I5;AFS;N20;FINANCIAL;2600;-24;;;;;;;;;
2020-06-29;AFSQ20;BRBMEFAFS0J3;AFS;Q20;FINANCIAL;84;84;;;;;;;;;
2020-06-29;AUDN20;BRBMEFAUD3D8;AUD;N20;FINANCIAL;24;0;;;;;;;;;
2020-06-29;AUDQ20;BRBMEFAUD3E6;AUD;Q20;FINANCIAL;4;0;;;;;;;;;
2020-06-29;AUSN20;BRBMEFAUS0I6;AUS;N20;FINANCIAL;218;-339;;;;;;;;;
2020-06-29;AUSQ20;BRBMEFAUS0J4;AUS;Q20;FINANCIAL;27360;369;;;;;;;;;
2020-06-29;AUSU20;BRBMEFAUS0K2;AUS;U20;FINANCIAL;354;0;;;;;;;;;
2020-06-29;B3SAON20;BRB3SA370015;B3SAO;N20;FINANCIAL;166800;3700;;;;;;;;;
2020-06-29;B3SAOQ20;BRB3SA380014;B3SAO;Q20;FINANCIAL;10100;1700;;;;;;;;;
2020-06-29;BGIK21;BRBMEFBGI5P9;BGI;K21;AGRIBUSINESS;55;0;;;;;;;;;
2020-06-29;BGIM20;BRBMEFBGI5K0;BGI;M20;AGRIBUSINESS;1385;-13;;;;;;;;;
2020-06-29;BGIM20C020000;BRBMEFCBMBO3;BGI;MNI3;AGRIBUSINESS;3;0;;;;;;;;;
2020-06-29;BGIM20C020300;BRBMEFCBMBU0;BGI;MNI9;AGRIBUSINESS;8;0;;;;;;;;;
2020-06-29;BGIM20C020500;BRBMEFCBMBY2;BGI;MNIF;AGRIBUSINESS;5;0;;;;;;;;;
2020-06-29;BGIM20C021000;BRBMEFCBMC80;BGI;MNIR;AGRIBUSINESS;12;0;;;;;;;;;
2020-06-29;BGIM20C021300;BRBMEFCBMD48;BGI;MNJS;AGRIBUSINESS;8;0;;;;;;;;;
2020-06-29;BGIM20C021500;BRBMEFCBMCZ7;BGI;MNJM;AGRIBUSINESS;10;0;;;;;;;;;
2020-06-29;BGIM20P017000;BRBMEFVBMBL9;BGI;MNM0;AGRIBUSINESS;1;0;;;;;;;;;
2020-06-29;BGIM20P018500;BRBMEFVBMCL7;BGI;MNN5;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIM20P019000;BRBMEFVBMC95;BGI;MNMS;AGRIBUSINESS;280;0;;;;;;;;;
2020-06-29;BGIM20P019500;BRBMEFVBMCB8;BGI;MNMV;AGRIBUSINESS;87;0;;;;;;;;;
2020-06-29;BGIM20P019800;BRBMEFVBMD86;BGI;MNNX;AGRIBUSINESS;1;0;;;;;;;;;
2020-06-29;BGIM20P019900;BRBMEFVBMD94;BGI;MNNY;AGRIBUSINESS;20;0;;;;;;;;;
2020-06-29;BGIM20P020000;BRBMEFVBMBO3;BGI;MNM3;AGRIBUSINESS;20;0;;;;;;;;;
2020-06-29;BGIM20P020200;BRBMEFVBMBS4;BGI;MNM7;AGRIBUSINESS;40;0;;;;;;;;;
2020-06-29;BGIM20P021000;BRBMEFVBMC87;BGI;MNMR;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIN20;BRBMEFBGI5L8;BGI;N20;AGRIBUSINESS;2950;79;;;;;;;;;
2020-06-29;BGIN20C018500;BRBMEFCBNE38;BGI;NNIS;AGRIBUSINESS;85;0;;;;;;;;;
2020-06-29;BGIN20C018900;BRBMEFCBNEB2;BGI;NNJ1;AGRIBUSINESS;500;0;;;;;;;;;
2020-06-29;BGIN20C019000;BRBMEFCBNED8;BGI;NNJ3;AGRIBUSINESS;135;0;;;;;;;;;
2020-06-29;BGIN20C019200;BRBMEFCBNEH9;BGI;NNJ7;AGRIBUSINESS;315;0;;;;;;;;;
2020-06-29;BGIN20C019900;BRBMEFCBNEV0;BGI;NNJP;AGRIBUSINESS;25;0;;;;;;;;;
2020-06-29;BGIN20C020000;BRBMEFCBNDI9;BGI;NNI3;AGRIBUSINESS;732;0;;;;;;;;;
2020-06-29;BGIN20C020100;BRBMEFCBNDK5;BGI;NNI5;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIN20C020500;BRBMEFCBNDS8;BGI;NNIF;AGRIBUSINESS;1904;0;;;;;;;;;
2020-06-29;BGIN20C020700;BRBMEFCBNDW0;BGI;NNIK;AGRIBUSINESS;4;0;;;;;;;;;
2020-06-29;BGIN20C020800;BRBMEFCBNDY6;BGI;NNIM;AGRIBUSINESS;5;0;;;;;;;;;
2020-06-29;BGIN20C020900;BRBMEFCBNE04;BGI;NNIP;AGRIBUSINESS;5;0;;;;;;;;;
2020-06-29;BGIN20C021000;BRBMEFCBNE20;BGI;NNIR;AGRIBUSINESS;874;0;;;;;;;;;
2020-06-29;BGIN20C021100;BRBMEFCBNEW8;BGI;NNJQ;AGRIBUSINESS;10;0;;;;;;;;;
2020-06-29;BGIN20C021200;BRBMEFCBNF78;BGI;NNK2;AGRIBUSINESS;60;0;;;;;;;;;
2020-06-29;BGIN20C021400;BRBMEFCBNF94;BGI;NNK4;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIN20C021500;BRBMEFCBNEX6;BGI;NNJR;AGRIBUSINESS;250;0;;;;;;;;;
2020-06-29;BGIN20C021600;BRBMEFCBNEY4;BGI;NNJS;AGRIBUSINESS;10;0;;;;;;;;;
2020-06-29;BGIN20C021700;BRBMEFCBNF03;BGI;NNJV;AGRIBUSINESS;4;0;;;;;;;;;
2020-06-29;BGIN20C021800;BRBMEFCBNF29;BGI;NNJX;AGRIBUSINESS;570;0;;;;;;;;;
2020-06-29;BGIN20C021900;BRBMEFCBNF45;BGI;NNJZ;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIN20C022000;BRBMEFCBNF60;BGI;NNK1;AGRIBUSINESS;758;0;;;;;;;;;
2020-06-29;BGIN20C022200;BRBMEFCBNFC7;BGI;NNK7;AGRIBUSINESS;227;227;;;;;;;;;
2020-06-29;BGIN20C022500;BRBMEFCBNFI4;BGI;NNKF;AGRIBUSINESS;500;0;;;;;;;;;
2020-06-29;BGIN20C022800;BRBMEFCBNFO2;BGI;NNKM;AGRIBUSINESS;520;0;;;;;;;;;
2020-06-29;BGIN20C023000;BRBMEFCBNFS3;BGI;NNKR;AGRIBUSINESS;150;0;;;;;;;;;
2020-06-29;BGIN20C023500;BRBMEFCBNG10;BGI;NNL1;AGRIBUSINESS;500;0;;;;;;;;;
2020-06-29;BGIN20P017000;BRBMEFVBNDF5;BGI;NNM0;AGRIBUSINESS;1;0;;;;;;;;;
2020-06-29;BGIN20P018000;BRBMEFVBNDH1;BGI;NNM2;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIN20P018500;BRBMEFVBNE35;BGI;NNMS;AGRIBUSINESS;550;0;;;;;;;;;
2020-06-29;BGIN20P018900;BRBMEFVBNEB2;BGI;NNN1;AGRIBUSINESS;33;0;;;;;;;;;
2020-06-29;BGIN20P019000;BRBMEFVBNED8;BGI;NNN3;AGRIBUSINESS;425;0;;;;;;;;;
2020-06-29;BGIN20P019100;BRBMEFVBNEF3;BGI;NNN5;AGRIBUSINESS;80;0;;;;;;;;;
2020-06-29;BGIN20P019200;BRBMEFVBNEH9;BGI;NNN7;AGRIBUSINESS;15;0;;;;;;;;;
2020-06-29;BGIN20P019300;BRBMEFVBNEJ5;BGI;NNN9;AGRIBUSINESS;5;0;;;;;;;;;
2020-06-29;BGIN20P019400;BRBMEFVBNEL1;BGI;NNNC;AGRIBUSINESS;2;0;;;;;;;;;
2020-06-29;BGIN20P019500;BRBMEFVBNEN7;BGI;NNNF;AGRIBUSINESS;408;0;;;;;;;;;
2020-06-29;BGIN20P019600;BRBMEFVBNEP2;BGI;NNNH;AGRIBUSINESS;50;0;;;;;;;;;
2020-06-29;BGIN20P019700;BRBMEFVBNER8;BGI;NNNK;AGRIBUSINESS;70;0;;;;;;;;;
2020-06-29;BGIN20P019800;BRBMEFVBNET4;BGI;NNNM;AGRIBUSINESS;79;0;;;;;;;;;
2020-06-29;BGIN20P019900;BRBMEFVBNEV0;BGI;NNNP;AGRIBUSINESS;1;0;;;;;;;;;
