RptDt;PRFNm;VrtxCd;ScnroId;PRFVal;TpShck
2020-08-05;A1AP34;102;9998;200,99;M
2020-08-05;A1AP34;102;9999;271,2561;M
2020-08-05;A1AP34;102;10000;140,0819;M
2020-08-05;A1BM34;100;9998;422,3;M
2020-08-05;A1BM34;100;9999;628,5851;M
2020-08-05;A1BM34;100;10000;260,5084;M
2020-08-05;A1DI34;102;9998;306,85;M
2020-08-05;A1DI34;102;9999;401,7525;M
2020-08-05;A1DI34;102;10000;222,7731;M
2020-08-05;A1DM34;102;9998;229,53;M
2020-08-05;A1DM34;102;9999;309,0024;M
2020-08-05;A1DM34;102;10000;168,4566;M
2020-08-05;A1EE34;102;9998;212,81;M
2020-08-05;A1EE34;102;9999;268,6172;M
2020-08-05;A1EE34;102;10000;155,0618;M
2020-08-05;A1EN34;103;9998;280,76;M
2020-08-05;A1EN34;103;9999;351,5564;M
2020-08-05;A1EN34;103;10000;221,8677;M
2020-08-05;A1EP34;102;9998;224,67;M
2020-08-05;A1EP34;102;9999;281,0711;M
2020-08-05;A1EP34;102;10000;176,3569;M
2020-08-05;A1ES34;103;9998;81,93;M
2020-08-05;A1ES34;103;9999;113,8761;M
2020-08-05;A1ES34;103;10000;59,3369;M
2020-08-05;A1FL34;102;9998;188,67;M
2020-08-05;A1FL34;102;9999;282,522;M
2020-08-05;A1FL34;102;10000;112,734;M
2020-08-05;A1GI34;102;9998;260,7;M
2020-08-05;A1GI34;102;9999;338,1174;M
2020-08-05;A1GI34;102;10000;197,7565;M
2020-08-05;A1GN34;102;9998;266,93;M
2020-08-05;A1GN34;102;9999;336,0328;M
2020-08-05;A1GN34;102;10000;203,1871;M
2020-08-05;A1IV34;102;9998;193,74;M
2020-08-05;A1IV34;102;9999;277,3116;M
2020-08-05;A1IV34;102;10000;116,9569;M
2020-08-05;A1JG34;102;9998;280,59;M
2020-08-05;A1JG34;102;9999;371,142;M
2020-08-05;A1JG34;102;10000;192,1031;M
2020-08-05;A1KA34;100;9998;292,86;M
2020-08-05;A1KA34;100;9999;423,4521;M
2020-08-05;A1KA34;100;10000;192,2567;M
2020-08-05;A1LB34;102;9998;472,41;M
2020-08-05;A1LB34;102;9999;633,8608;M
2020-08-05;A1LB34;102;10000;350,4526;M
2020-08-05;A1LG34;100;9998;393,14;M
2020-08-05;A1LG34;100;9999;653,4301;M
2020-08-05;A1LG34;100;10000;227,2978;M
2020-08-05;A1LK34;101;9998;189,54;M
2020-08-05;A1LK34;101;9999;315,4552;M
2020-08-05;A1LK34;101;10000;128,9326;M
2020-08-05;A1LL34;102;9998;59,75;M
2020-08-05;A1LL34;102;9999;84,0515;M
2020-08-05;A1LL34;102;10000;33,9666;M
2020-08-05;A1LX34;100;9998;272,41;M
2020-08-05;A1LX34;100;9999;379,5434;M
2020-08-05;A1LX34;100;10000;173,7975;M
2020-08-05;A1MB34;102;9998;276,22;M
2020-08-05;A1MB34;102;9999;349,584;M
2020-08-05;A1MB34;102;10000;212,6894;M
2020-08-05;A1MD34;100;9998;451,91;M
2020-08-05;A1MD34;100;9999;706,0641;M
2020-08-05;A1MD34;100;10000;293,0907;M
2020-08-05;A1ME34;102;9998;255,61;M
2020-08-05;A1ME34;102;9999;329,5119;M
2020-08-05;A1ME34;102;10000;192,5459;M
2020-08-05;A1MP34;102;9998;208,02;M
2020-08-05;A1MP34;102;9999;323,1465;M
2020-08-05;A1MP34;102;10000;137,4762;M
2020-08-05;A1MT34;102;9998;343,43;M
2020-08-05;A1MT34;102;9999;440,0299;M
2020-08-05;A1MT34;102;10000;250,8412;M
2020-08-05;A1NE34;100;9998;313,58;M
2020-08-05;A1NE34;100;9999;456,5724;M
2020-08-05;A1NE34;100;10000;198,1323;M
2020-08-05;A1NS34;100;9998;412,77;M
2020-08-05;A1NS34;100;9999;545,0545;M
2020-08-05;A1NS34;100;10000;304,3931;M
2020-08-05;A1NT34;102;9998;290,82;M
2020-08-05;A1NT34;102;9999;392,1649;M
2020-08-05;A1NT34;102;10000;180,1688;M
2020-08-05;A1ON34;103;9998;263,75;M
2020-08-05;A1ON34;103;9999;345,3226;M
2020-08-05;A1ON34;103;10000;187,3047;M
2020-08-05;A1OS34;103;9998;254,28;M
2020-08-05;A1OS34;103;9999;333,2085;M
2020-08-05;A1OS34;103;10000;187,5162;M
2020-08-05;A1PA34;103;9998;85,38;M
2020-08-05;A1PA34;103;9999;112,9338;M
2020-08-05;A1PA34;103;10000;61,4599;M
2020-08-05;A1PD34;102;9998;377,39;M
2020-08-05;A1PD34;102;9999;487,769;M
2020-08-05;A1PD34;102;10000;288,9297;M
2020-08-05;A1PH34;102;9998;287,37;M
2020-08-05;A1PH34;102;9999;373,3511;M
2020-08-05;A1PH34;102;10000;210,1479;M
2020-08-05;A1RE34;102;9998;230,87;M
2020-08-05;A1RE34;102;9999;311,3235;M
2020-08-05;A1RE34;102;10000;151,7647;M
2020-08-05;A1SU34;101;9998;163,21;M
2020-08-05;A1SU34;101;9999;231,2359;M
2020-08-05;A1SU34;101;10000;105,5642;M
2020-08-05;A1TM34;102;9998;274,17;M
2020-08-05;A1TM34;102;9999;341,1552;M
2020-08-05;A1TM34;102;10000;199,7712;M
2020-08-05;A1TT34;102;9998;249,77;M
2020-08-05;A1TT34;102;9999;342,4046;M
2020-08-05;A1TT34;102;10000;157,5948;M
2020-08-05;A1UT34;100;9998;322,54;M
2020-08-05;A1UT34;100;9999;432,41;M
2020-08-05;A1UT34;100;10000;222,2429;M
2020-08-05;A1VB34;102;9998;200,18;M
2020-08-05;A1VB34;102;9999;279,5793;M
2020-08-05;A1VB34;102;10000;141,9836;M
2020-08-05;A1VY34;102;9998;308,46;M
2020-08-05;A1VY34;102;9999;385,5503;M
2020-08-05;A1VY34;102;10000;230,1851;M
2020-08-05;A1WK34;102;9998;195;M
2020-08-05;A1WK34;102;9999;247,4472;M
2020-08-05;A1WK34;102;10000;154,2684;M
2020-08-05;AALL34;115;9998;67,52;M
2020-08-05;AALL34;115;9999;86,9657;M
2020-08-05;AALL34;115;10000;49,9107;M
2020-08-05;AALR3;102;9998;10,72;M
2020-08-05;AALR3;102;9999;15,008;M
2020-08-05;AALR3;102;10000;6,432;M
2020-08-05;AAPL34;133;9998;233,89;M
2020-08-05;AAPL34;133;9999;314,3481;M
2020-08-05;AAPL34;133;10000;164,6585;M
2020-08-05;ABBV34;118;9998;495,4;M
2020-08-05;ABBV34;118;9999;626,9782;M
