RptDt;PRFNm;VrtxCd;ScnroId;PRFVal;TpShck
2020-08-17;A1TM34;102;9999;357,2069;M
2020-08-17;A1TM34;102;10000;209,1706;M
2020-08-17;A1TT34;102;9998;262,41;M
2020-08-17;A1TT34;102;9999;359,7326;M
2020-08-17;A1TT34;102;10000;165,5702;M
2020-08-17;A1UT34;100;9998;328,92;M
2020-08-17;A1UT34;100;9999;440,9633;M
2020-08-17;A1UT34;100;10000;226,639;M
2020-08-17;A1VB34;102;9998;213,42;M
2020-08-17;A1VB34;102;9999;298,0709;M
2020-08-17;A1VB34;102;10000;151,3745;M
2020-08-17;A1VY34;102;9998;318,69;M
2020-08-17;A1VY34;102;9999;398,337;M
2020-08-17;A1VY34;102;10000;237,8192;M
2020-08-17;A1WK34;103;9998;202,07;M
2020-08-17;A1WK34;103;9999;256,4187;M
2020-08-17;A1WK34;103;10000;159,8616;M
2020-08-17;AALL34;115;9998;69,9;M
2020-08-17;AALL34;115;9999;90,0312;M
2020-08-17;AALL34;115;10000;51,67;M
2020-08-17;AALR3;102;9998;10,44;M
2020-08-17;AALR3;102;9999;14,6159;M
2020-08-17;AALR3;102;10000;6,2639;M
2020-08-17;AAPL34;134;9998;253,64;M
2020-08-17;AAPL34;134;9999;340,8921;M
2020-08-17;AAPL34;134;10000;178,5625;M
2020-08-17;ABBV34;118;9998;529,21;M
2020-08-17;ABBV34;118;9999;669,7681;M
2020-08-17;ABBV34;118;10000;400,5061;M
2020-08-17;ABCB4;134;9998;13,43;M
2020-08-17;ABCB4;134;9999;18,802;M
2020-08-17;ABCB4;134;10000;8,058;M
2020-08-17;ABCP11;294;9998;89,1;M
2020-08-17;ABCP11;294;9999;133,65;M
2020-08-17;ABCP11;294;10000;44,55;M
2020-08-17;ABEV3;122;9998;12,85;M
2020-08-17;ABEV3;122;9999;14,649;M
2020-08-17;ABEV3;122;10000;10,4727;M
2020-08-17;ABEV3AJ;0;9998;12,85;M
2020-08-17;ABEV3AJ;0;9999;14,649;M
2020-08-17;ABEV3AJ;0;10000;10,4727;M
2020-08-17;ABTT34;135;9998;138,66;M
2020-08-17;ABTT34;135;9999;178,594;M
2020-08-17;ABTT34;135;10000;103,7176;M
2020-08-17;ABUD34;102;9998;309;M
2020-08-17;ABUD34;102;9999;403,3216;M
2020-08-17;ABUD34;102;10000;202,526;M
2020-08-17;ACC_IGPM;0;9998;1,0062;M
2020-08-17;ACC_IGPM;0;9999;1,0062;M
2020-08-17;ACC_IGPM;0;10000;1,0062;M
2020-08-17;ACC_IGPM_GAR;0;9998;1,0062;M
2020-08-17;ACC_IGPM_GAR;0;9999;1,0062;M
2020-08-17;ACC_IGPM_GAR;0;10000;1,0062;M
2020-08-17;ACC_IPCA;0;9998;1;M
2020-08-17;ACC_IPCA;0;9999;1;M
