RptDt;PRFNm;VrtxCd;ScnroId;PRFVal;TpShck
2020-06-18;A1AP34;101;9998;180,22;M
2020-06-18;A1AP34;101;9999;243,2249;M
2020-06-18;A1AP34;101;10000;125,6061;M
2020-06-18;A1AP34;102;9998;198,02;M
2020-06-18;A1AP34;102;9999;267,2477;M
2020-06-18;A1AP34;102;10000;138,012;M
2020-06-18;A1BM34;100;9998;339,6544;M
2020-06-18;A1BM34;100;9999;505,5687;M
2020-06-18;A1BM34;100;10000;209,526;M
2020-06-18;A1DI34;102;9998;329,2782;M
2020-06-18;A1DI34;102;9999;431,1173;M
2020-06-18;A1DI34;102;10000;239,0559;M
2020-06-18;A1DM34;102;9998;217,6062;M
2020-06-18;A1DM34;102;9999;292,9501;M
2020-06-18;A1DM34;102;10000;159,7055;M
2020-06-18;A1EE34;102;9998;194,2798;M
2020-06-18;A1EE34;102;9999;245,2277;M
2020-06-18;A1EE34;102;10000;141,56;M
2020-06-18;A1EN34;102;9998;262,9185;M
2020-06-18;A1EN34;102;9999;329,216;M
2020-06-18;A1EN34;102;10000;207,7687;M
2020-06-18;A1EP34;102;9998;219,1613;M
2020-06-18;A1EP34;102;9999;274,1795;M
2020-06-18;A1EP34;102;10000;172,0328;M
2020-06-18;A1ES34;102;9998;72,0707;M
2020-06-18;A1ES34;102;9999;100,1725;M
2020-06-18;A1ES34;102;10000;52,1964;M
2020-06-18;A1FL34;102;9998;198,9987;M
2020-06-18;A1FL34;102;9999;297,9886;M
2020-06-18;A1FL34;102;10000;118,9057;M
2020-06-18;A1GI34;101;9998;236,5355;M
2020-06-18;A1GI34;101;9999;306,777;M
2020-06-18;A1GI34;101;10000;179,4263;M
2020-06-18;A1GN34;102;9998;276,1368;M
2020-06-18;A1GN34;102;9999;347,623;M
2020-06-18;A1GN34;102;10000;210,1953;M
2020-06-18;A1IV34;102;9998;208,9191;M
2020-06-18;A1IV34;102;9999;299,0384;M
2020-06-18;A1IV34;102;10000;126,1202;M
2020-06-18;A1JG34;102;9998;265,8946;M
2020-06-18;A1JG34;102;9999;351,7041;M
2020-06-18;A1JG34;102;10000;182,042;M
2020-06-18;A1KA34;100;9998;269,97;M
2020-06-18;A1KA34;100;9999;390,355;M
2020-06-18;A1KA34;100;10000;177,2299;M
2020-06-18;A1LB34;102;9998;422,6107;M
2020-06-18;A1LB34;102;9999;567,0421;M
2020-06-18;A1LB34;102;10000;313,5095;M
2020-06-18;A1LG34;100;9998;354,7362;M
2020-06-18;A1LG34;100;9999;589,5999;M
2020-06-18;A1LG34;100;10000;205,0942;M
2020-06-18;A1LK34;101;9998;200,8219;M
2020-06-18;A1LK34;101;9999;334,2319;M
2020-06-18;A1LK34;101;10000;136,607;M
2020-06-18;A1LL34;102;9998;65,3945;M
2020-06-18;A1LL34;102;9999;91,9917;M
2020-06-18;A1LL34;102;10000;37,1754;M
2020-06-18;A1LX34;100;9998;311,8772;M
2020-06-18;A1LX34;100;9999;434,5322;M
2020-06-18;A1LX34;100;10000;198,9776;M
2020-06-18;A1MB34;102;9998;268,7903;M
2020-06-18;A1MB34;102;9999;340,181;M
2020-06-18;A1MB34;102;10000;206,9685;M
2020-06-18;A1MD34;100;9998;289,7841;M
2020-06-18;A1MD34;100;9999;452,7586;M
2020-06-18;A1MD34;100;10000;187,9423;M
2020-06-18;A1ME34;102;9998;239,163;M
2020-06-18;A1ME34;102;9999;308,3098;M
2020-06-18;A1ME34;102;10000;180,1567;M
2020-06-18;A1MP34;102;9998;201,8005;M
2020-06-18;A1MP34;102;9999;313,4849;M
2020-06-18;A1MP34;102;10000;133,3659;M
2020-06-18;A1MT34;102;9998;323,7817;M
2020-06-18;A1MT34;102;9999;414,855;M
2020-06-18;A1MT34;102;10000;236,4901;M
2020-06-18;A1NE34;100;9998;294,1947;M
2020-06-18;A1NE34;100;9999;428,3474;M
2020-06-18;A1NE34;100;10000;185,8839;M
2020-06-18;A1NS34;100;9998;387,916;M
2020-06-18;A1NS34;100;9999;512,2353;M
2020-06-18;A1NS34;100;10000;286,0647;M
2020-06-18;A1NT34;102;9998;284,7756;M
2020-06-18;A1NT34;102;9999;384,0142;M
2020-06-18;A1NT34;102;10000;176,4241;M
2020-06-18;A1ON34;102;9998;256,1887;M
2020-06-18;A1ON34;102;9999;335,4227;M
2020-06-18;A1ON34;102;10000;181,9349;M
2020-06-18;A1OS34;102;9998;257,0198;M
2020-06-18;A1OS34;102;9999;336,7987;M
2020-06-18;A1OS34;102;10000;189,5366;M
2020-06-18;A1PA34;102;9998;76,2533;M
2020-06-18;A1PA34;102;9999;100,8617;M
2020-06-18;A1PA34;102;10000;54,8901;M
2020-06-18;A1PD34;101;9998;319,2103;M
2020-06-18;A1PD34;101;9999;412,5729;M
2020-06-18;A1PD34;101;10000;244,3874;M
2020-06-18;A1PH34;102;9998;262,6504;M
2020-06-18;A1PH34;102;9999;341,2353;M
2020-06-18;A1PH34;102;10000;192,0709;M
2020-06-18;A1RE34;101;9998;228,2237;M
2020-06-18;A1RE34;101;9999;307,755;M
2020-06-18;A1RE34;101;10000;150,0251;M
2020-06-18;A1SU34;101;9998;143,4844;M
2020-06-18;A1SU34;101;9999;203,2886;M
2020-06-18;A1SU34;101;10000;92,8057;M
2020-06-18;A1TM34;102;9998;271,9541;M
2020-06-18;A1TM34;102;9999;338,3979;M
2020-06-18;A1TM34;102;10000;198,1566;M
2020-06-18;A1TT34;102;9998;264,7685;M
2020-06-18;A1TT34;102;9999;362,9658;M
2020-06-18;A1TT34;102;10000;167,0583;M
2020-06-18;A1UT34;100;9998;319,1566;M
2020-06-18;A1UT34;100;9999;427,8741;M
2020-06-18;A1UT34;100;10000;219,9116;M
2020-06-18;A1VB34;101;9998;214,7373;M
2020-06-18;A1VB34;101;9999;299,9107;M
2020-06-18;A1VB34;101;10000;152,3088;M
2020-06-18;A1VY34;102;9998;312,3062;M
2020-06-18;A1VY34;102;9999;390,3577;M
2020-06-18;A1VY34;102;10000;233,0553;M
2020-06-18;A1WK34;102;9998;173,1653;M
2020-06-18;A1WK34;102;9999;219,7398;M
2020-06-18;A1WK34;102;10000;136,9945;M
2020-06-18;AALL34;115;9998;88,426;M
2020-06-18;AALL34;115;9999;113,8926;M
2020-06-18;AALL34;115;10000;65,3644;M
2020-06-18;AALR3;102;9998;10,73;M
2020-06-18;AALR3;102;9999;15,022;M
2020-06-18;AALR3;102;10000;6,438;M
2020-06-18;AAPL34;133;9998;188,6117;M
2020-06-18;AAPL34;133;9999;253,4941;M
2020-06-18;AAPL34;133;10000;132,7826;M
2020-06-18;ABBV34;117;9998;515,8629;M
2020-06-18;ABBV34;117;9999;652,876;M
2020-06-18;ABBV34;117;10000;390,405;M
2020-06-18;ABCB4;133;9998;15,6;M
2020-06-18;ABCB4;133;9999;21,84;M
2020-06-18;ABCB4;133;10000;9,36;M
2020-06-18;ABCP11;293;9998;89,6;M
2020-06-18;ABCP11;293;9999;89,6;M
2020-06-18;ABCP11;293;10000;89,6;M
2020-06-18;ABEV3;122;9998;13,68;M
2020-06-18;ABEV3;122;9999;15,5952;M
2020-06-18;ABEV3;122;10000;11,1491;M
2020-06-18;ABEV3AJ;0;9998;13,68;M
2020-06-18;ABEV3AJ;0;9999;15,5952;M
2020-06-18;ABEV3AJ;0;10000;11,1491;M
2020-06-18;ABTT34;134;9998;120,9892;M
2020-06-18;ABTT34;134;9999;155,834;M
2020-06-18;ABTT34;134;10000;90,4999;M
2020-06-18;ABUD34;102;9998;277,6651;M
2020-06-18;ABUD34;102;9999;362,4218;M
2020-06-18;ABUD34;102;10000;181,9883;M
2020-06-18;ACC_IGPM;0;9998;1,0068;M
2020-06-18;ACC_IGPM;0;9999;1,0068;M
2020-06-18;ACC_IGPM;0;10000;1,0068;M
2020-06-18;ACC_IGPM_GAR;0;9998;1,0068;M
2020-06-18;ACC_IGPM_GAR;0;9999;1,0068;M
2020-06-18;ACC_IGPM_GAR;0;10000;1,0068;M
2020-06-18;ACC_IPCA;0;9998;1,0003;M
2020-06-18;ACC_IPCA;0;9999;1,0003;M
2020-06-18;ACC_IPCA;0;10000;1,0003;M
2020-06-18;ACC_IPCA_GAR;0;9998;1,0003;M
2020-06-18;ACC_IPCA_GAR;0;9999;1,0003;M
2020-06-18;ACC_IPCA_GAR;0;10000;1,0003;M
2020-06-18;ACNB34;111;9998;1088,1918;M
2020-06-18;ACNB34;111;9999;1462,5297;M
2020-06-18;ACNB34;111;10000;766,087;M
2020-06-18;ADBE34;100;9998;450,9349;M
2020-06-18;ADBE34;100;9999;616,1574;M
2020-06-18;ADBE34;100;10000;309,5217;M
2020-06-18;ADHM3;102;9998;2,56;M
2020-06-18;ADHM3;102;9999;4,608;M
2020-06-18;ADHM3;102;10000;0,5119;M
2020-06-18;ADPR34;104;9998;406,8185;M
2020-06-18;ADPR34;104;9999;514,8694;M
2020-06-18;ADPR34;104;10000;311,4602;M
2020-06-18;AFCR11;101;9998;99,98;M
2020-06-18;AFCR11;101;9999;99,98;M
2020-06-18;AFCR11;101;10000;99,98;M
2020-06-18;AFLT3;114;9998;10,22;M
2020-06-18;AFLT3;114;9999;18,396;M
2020-06-18;AFLT3;114;10000;2,0439;M
2020-06-18;AGRO3;109;9998;19,79;M
2020-06-18;AGRO3;109;9999;34,6325;M
2020-06-18;AGRO3;109;10000;4,9475;M
2020-06-18;AHEB3;106;9998;25;M
2020-06-18;AHEB3;106;9999;75;M
2020-06-18;AHEB3;106;10000;0;M
2020-06-18;AHEB5;106;9998;25;M
2020-06-18;AHEB5;106;9999;75;M
2020-06-18;AHEB5;106;10000;0;M
2020-06-18;AHEB6;106;9998;30,99;M
2020-06-18;AHEB6;106;9999;92,97;M
2020-06-18;AHEB6;106;10000;0;M
2020-06-18;AIGB34;115;9998;174,1171;M
2020-06-18;AIGB34;115;9999;253,5144;M
2020-06-18;AIGB34;115;10000;107,2561;M
2020-06-18;ALEF3B;112;9998;1;M
2020-06-18;ALEF3B;112;9999;2;M
2020-06-18;ALEF3B;112;10000;0;M
2020-06-18;ALMI11;250;9998;1380,01;M
2020-06-18;ALMI11;250;9999;1380,01;M
2020-06-18;ALMI11;250;10000;1380,01;M
2020-06-18;ALPA3;229;9998;24,35;M
2020-06-18;ALPA3;229;9999;43,83;M
2020-06-18;ALPA3;229;10000;4,8699;M
2020-06-18;ALPA4;229;9998;29,1;M
2020-06-18;ALPA4;229;9999;36,375;M
2020-06-18;ALPA4;229;10000;21,825;M
2020-06-18;ALPK3;100;9998;9,84;M
2020-06-18;ALPK3;100;9999;13,776;M
2020-06-18;ALPK3;100;10000;5,904;M
2020-06-18;ALSO3;100;9998;29,71;M
2020-06-18;ALSO3;100;9999;37,1375;M
2020-06-18;ALSO3;100;10000;22,2825;M
2020-06-18;ALUP11;111;9998;24,62;M
2020-06-18;ALUP11;111;9999;30,0364;M
2020-06-18;ALUP11;111;10000;17,9726;M
2020-06-18;ALUP3;111;9998;9,85;M
2020-06-18;ALUP3;111;9999;17,73;M
2020-06-18;ALUP3;111;10000;1,9699;M
2020-06-18;ALUP4;111;9998;7,43;M
2020-06-18;ALUP4;111;9999;13,374;M
2020-06-18;ALUP4;111;10000;1,4859;M
2020-06-18;ALZR11;129;9998;133,7;M
2020-06-18;ALZR11;129;9999;133,7;M
2020-06-18;ALZR11;129;10000;133,7;M
2020-06-18;ALZR11;130;9998;133,1036;M
2020-06-18;ALZR11;130;9999;133,1036;M
2020-06-18;ALZR11;130;10000;133,1036;M
2020-06-18;AMAR3;112;9998;8,54;M
2020-06-18;AMAR3;112;9999;11,956;M
2020-06-18;AMAR3;112;10000;5,124;M
2020-06-18;AMGN34;134;9998;1235,068;M
2020-06-18;AMGN34;134;9999;1590,7675;M
2020-06-18;AMGN34;134;10000;923,8308;M
2020-06-18;AMZO34;101;9998;7115,8512;M
2020-06-18;AMZO34;101;9999;10360,6793;M
2020-06-18;AMZO34;101;10000;4383,3643;M
2020-06-18;ANCR11B;148;9998;2950;M
2020-06-18;ANCR11B;148;9999;2950;M
2020-06-18;ANCR11B;148;10000;2950;M
2020-06-18;ANIM3;106;9998;23,45;M
2020-06-18;ANIM3;106;9999;35,175;M
2020-06-18;ANIM3;106;10000;11,725;M
2020-06-18;APER3;102;9998;24,45;M
2020-06-18;APER3;102;9999;34,7189;M
2020-06-18;APER3;102;10000;14,181;M
2020-06-18;APTI3;129;9998;300;M
2020-06-18;APTI3;129;9999;900;M
2020-06-18;APTI3;129;10000;0;M
2020-06-18;APTI4;129;9998;3500;M
2020-06-18;APTI4;129;9999;10500;M
2020-06-18;APTI4;129;10000;0;M
2020-06-18;APTV34;102;9998;205,4067;M
2020-06-18;APTV34;102;9999;259,9627;M
2020-06-18;APTV34;102;10000;155,4517;M
2020-06-18;AQLL11;101;9998;500;M
2020-06-18;AQLL11;101;9999;500;M
2020-06-18;AQLL11;101;10000;500;M
2020-06-18;ARFI11B;100;9998;1109;M
2020-06-18;ARFI11B;100;9999;1109;M
2020-06-18;ARFI11B;100;10000;1109;M
2020-06-18;ARMT34;117;9998;28,3403;M
2020-06-18;ARMT34;117;9999;42,8505;M
2020-06-18;ARMT34;117;10000;17,4576;M
2020-06-18;ARNC34;115;9998;84,4042;M
2020-06-18;ARNC34;115;9999;119,1112;M
2020-06-18;ARNC34;115;10000;54,2212;M
2020-06-18;ARRI11;106;9998;81,03;M
2020-06-18;ARRI11;106;9999;81,03;M
2020-06-18;ARRI11;106;10000;81,03;M
2020-06-18;ARZZ3;137;9998;43,95;M
2020-06-18;ARZZ3;137;9999;57,135;M
2020-06-18;ARZZ3;137;10000;30,765;M
2020-06-18;ASML34;102;9998;1924,4581;M
2020-06-18;ASML34;102;9999;2499,1782;M
2020-06-18;ASML34;102;10000;1433,7366;M
2020-06-18;ATCR11;124;9998;1;M
2020-06-18;ATCR11;124;9999;1;M
2020-06-18;ATCR11;124;10000;1;M
2020-06-18;ATMP3;100;9998;4,9;M
2020-06-18;ATMP3;100;9999;14,7;M
2020-06-18;ATMP3;100;10000;0;M
2020-06-18;ATOM3;103;9998;1,78;M
2020-06-18;ATOM3;103;9999;3,56;M
2020-06-18;ATOM3;103;10000;0;M
2020-06-18;ATSA11;135;9998;114;M
2020-06-18;ATSA11;135;9999;114;M
2020-06-18;ATSA11;135;10000;114;M
2020-06-18;ATTB34;131;9998;162,6952;M
2020-06-18;ATTB34;131;9999;209,5514;M
2020-06-18;ATTB34;131;10000;121,696;M
2020-06-18;ATVI34;101;9998;407,596;M
2020-06-18;ATVI34;101;9999;561,5042;M
2020-06-18;ATVI34;101;10000;279,7738;M
2020-06-18;AVGO34;104;9998;341,8101;M
2020-06-18;AVGO34;104;9999;455,5645;M
2020-06-18;AVGO34;104;10000;246,6501;M
2020-06-18;AVGO34;105;9998;321,1167;M
2020-06-18;AVGO34;105;9999;427,9843;M
2020-06-18;AVGO34;105;10000;231,7178;M
2020-06-18;AWII34;103;9998;407,0062;M
2020-06-18;AWII34;103;9999;578,9256;M
2020-06-18;AWII34;103;10000;265,0424;M
2020-06-18;AXPB34;132;9998;547,9837;M
2020-06-18;AXPB34;132;9999;767,1771;M
2020-06-18;AXPB34;132;10000;361,6692;M
2020-06-18;AZEV3;117;9998;16,3;M
2020-06-18;AZEV3;117;9999;32,6;M
2020-06-18;AZEV3;117;10000;0;M
2020-06-18;AZEV4;117;9998;5,47;M
2020-06-18;AZEV4;117;9999;16,41;M
2020-06-18;AZEV4;117;10000;0;M
2020-06-18;AZOI34;100;9998;305,6729;M
2020-06-18;AZOI34;100;9999;400,5537;M
2020-06-18;AZOI34;100;10000;225,9534;M
2020-06-18;AZUL4;100;9998;21,93;M
2020-06-18;AZUL4;100;9999;31,7985;M
2020-06-18;AZUL4;100;10000;12,0615;M
2020-06-18;AZUL4AJ;0;9998;21,93;M
2020-06-18;AZUL4AJ;0;9999;31,7985;M
2020-06-18;AZUL4AJ;0;10000;12,0615;M
2020-06-18;B1AX34;102;9998;224,8186;M
2020-06-18;B1AX34;102;9999;273,1995;M
2020-06-18;B1AX34;102;10000;166,7794;M
2020-06-18;B1BT34;102;9998;217,1772;M
2020-06-18;B1BT34;102;9999;323,0206;M
2020-06-18;B1BT34;102;10000;155,3772;M
