RptDt;PRFNm;VrtxCd;ScnroId;PRFVal;TpShck
2020-08-11;A1AP34;102;9998;207,24;M
2020-08-11;A1AP34;102;9999;279,6911;M
2020-08-11;A1AP34;102;10000;144,4379;M
2020-08-11;A1BM34;100;9998;406,74;M
2020-08-11;A1BM34;100;9999;605,4243;M
2020-08-11;A1BM34;100;10000;250,9097;M
2020-08-11;A1DI34;102;9998;317,78;M
2020-08-11;A1DI34;102;9999;416,0629;M
2020-08-11;A1DI34;102;10000;230,7082;M
2020-08-11;A1DM34;102;9998;241,19;M
2020-08-11;A1DM34;102;9999;324,6996;M
2020-08-11;A1DM34;102;10000;177,0141;M
2020-08-11;A1EE34;102;9998;220,23;M
2020-08-11;A1EE34;102;9999;277,9831;M
2020-08-11;A1EE34;102;10000;160,4683;M
2020-08-11;A1EN34;103;9998;291,51;M
2020-08-11;A1EN34;103;9999;365,0171;M
2020-08-11;A1EN34;103;10000;230,3628;M
2020-08-11;A1EP34;103;9998;226,26;M
2020-08-11;A1EP34;103;9999;283,0603;M
2020-08-11;A1EP34;103;10000;177,605;M
2020-08-11;A1ES34;103;9998;92,64;M
2020-08-11;A1ES34;103;9999;128,7621;M
2020-08-11;A1ES34;103;10000;67,0935;M
2020-08-11;A1FL34;102;9998;198;M
2020-08-11;A1FL34;102;9999;296,4931;M
2020-08-11;A1FL34;102;10000;118,3089;M
2020-08-11;A1GI34;102;9998;261,83;M
2020-08-11;A1GI34;102;9999;339,583;M
2020-08-11;A1GI34;102;10000;198,6137;M
2020-08-11;A1GN34;102;9998;283,74;M
2020-08-11;A1GN34;102;9999;357,1946;M
2020-08-11;A1GN34;102;10000;215,9828;M
2020-08-11;A1IV34;102;9998;201,98;M
2020-08-11;A1IV34;102;9999;289,106;M
2020-08-11;A1IV34;102;10000;121,9312;M
2020-08-11;A1JG34;102;9998;291,78;M
2020-08-11;A1JG34;102;9999;385,9432;M
2020-08-11;A1JG34;102;10000;199,7642;M
2020-08-11;A1KA34;100;9998;288,89;M
2020-08-11;A1KA34;100;9999;417,7118;M
2020-08-11;A1KA34;100;10000;189,6505;M
2020-08-11;A1LB34;102;9998;499,18;M
2020-08-11;A1LB34;102;9999;669,7797;M
2020-08-11;A1LB34;102;10000;370,3116;M
2020-08-11;A1LG34;100;9998;416,77;M
2020-08-11;A1LG34;100;9999;692,705;M
2020-08-11;A1LG34;100;10000;240,9597;M
2020-08-11;A1LK34;101;9998;212,43;M
2020-08-11;A1LK34;101;9999;353,5514;M
2020-08-11;A1LK34;101;10000;144,5033;M
2020-08-11;A1LL34;102;9998;67,59;M
2020-08-11;A1LL34;102;9999;95,0802;M
2020-08-11;A1LL34;102;10000;38,4235;M
2020-08-11;A1LX34;100;9998;275,99;M
2020-08-11;A1LX34;100;9999;384,5313;M
2020-08-11;A1LX34;100;10000;176,0816;M
2020-08-11;A1MB34;102;9998;274,67;M
2020-08-11;A1MB34;102;9999;347,6223;M
2020-08-11;A1MB34;102;10000;211,4959;M
2020-08-11;A1MD34;100;9998;425,3;M
2020-08-11;A1MD34;100;9999;664,4887;M
2020-08-11;A1MD34;100;10000;275,8325;M
2020-08-11;A1ME34;102;9998;270,52;M
2020-08-11;A1ME34;102;9999;348,7327;M
